id,target,gold_source,top_10_sources,llm_selected_sources,reranker_reasoning,gold_rank,status,condition
11,Nervous System,Circuits,"['The Nervous System', 'The Brain', 'The Neural Network of Computers', 'Neural Networks', 'How the Human Brain Works', 'Human Body', 'Operating System', 'Computer Processor', 'A Distributed Computing System', 'communication networks']","['The Neural Network of Computers', 'Neural Networks', 'The Brain']","To select the best analogous source concepts for the target concept ""Nervous System"", we need to analyze the properties and descriptions of each candidate source. The nervous system is a complex system that coordinates actions and sensory information by transmitting signals to and from different parts of the body. We are looking for source concepts that have similar structural and functional properties, but are from different domains.

The Neural Network of Computers and Neural Networks are good candidates because they are modeled after the biological neural networks found in animals and humans, and they have similar properties such as neurons, neural signals, and synapses. They are also from a different domain (computer science), which makes them a good fit for a far-field analogy.

The Brain is also a good candidate because it is the center of the nervous system in both vertebrates and most invertebrates, and it contains billions of neurons that transmit signals. Although it is from the same domain as the target concept, it is a more specific and detailed example that can help explain the nervous system.",-1,success,name_props_desc
12,Immune System,Army,"['Immunity', 'Human Body', 'The Nervous System', 'Skin System', 'Disease', 'Firewall', 'illness', 'Healing', 'Human Hands', 'The Brain']","['Firewall', 'Skin System', 'The Nervous System']","To select the best analogous source concepts for the Immune System, we need to analyze the properties and descriptions of each candidate. The Immune System is a complex network that protects the body from pathogens, consisting of immune cells, antibodies, lymphoid tissue, and regulatory organs. We are looking for sources that have a strong structural or functional correspondence with the Immune System and are from different domains (far-field analogies).

The top 3 selected candidates are:

1. Firewall: A firewall is a security tool that prevents unauthorized communications between computer networks, similar to how the Immune System prevents pathogens from entering the body. Both have a protective function and work as a barrier to keep harmful entities out.
2. Skin System: The Skin System acts as a shield between the internal organs and the external environment, similar to how the Immune System protects the body from external pathogens. Both have a protective function and regulate the interaction between the internal and external environments.
3. The Nervous System: The Nervous System detects environmental changes and coordinates the body's response, similar to how the Immune System detects pathogens and responds to them. Both have a detection and response function, although they operate in different domains.

These three candidates have a strong structural or functional correspondence with the Immune System and are from different domains, making them the best analogous source concepts.",-1,success,name_props_desc
13,Cell Membranes,Walls,"['Walls', 'The Brain', 'Mirrors', 'Chemical Reactions', 'Neural Networks', 'Skin System', 'sponge', 'communication networks', 'Heart', 'Camera']","['Skin System', 'Walls', 'sponge']","To select the best analogous source concepts for the target concept ""Cell Membranes"", we need to analyze the properties and description of the target concept and review each candidate source. The target concept ""Cell Membranes"" has properties such as ""cell"", ""substances"", and ""maintain"", and its description highlights its role as a protective barrier that separates the interior from the outside environment.

Based on the selection criteria, we prefer sources that are familiar, have strong structural/functional correspondence with the target, and are from different domains (far-field analogies). With these criteria in mind, we can evaluate each candidate source.

The top 3 selected candidates are:

1. ""Skin System"" - This source concept has a similar function to cell membranes, acting as a shield between the internal organs and the surrounding environment. It also has properties related to protection and regulation, making it a strong analogy.
2. ""Walls"" - This source concept is a physical barrier that protects the people living within, similar to how cell membranes protect the cell. The structural correspondence between walls and cell membranes makes it a good analogy.
3. ""Sponge"" - This source concept has a unique property of adsorbing and filtering impurities, which is similar to how cell membranes regulate the substances that enter and leave the cell. The functional correspondence between sponges and cell membranes makes it a good analogy.",2,success,name_props_desc
14,Protein folding,a three-dimensional puzzle,"['Origami', 'wrinkles', 'a three-dimensional puzzle', 'Molecular Symmetry', 'Evolution', 'A Puzzle', 'The Puzzle', 'Blankets', 'Chemical Reactions', 'Drama']","['Origami', 'a three-dimensional puzzle', 'Molecular Symmetry']","To select the best analogous source concepts for protein folding, we need to analyze the properties and descriptions of the target concept and the candidate sources. Protein folding involves transforming a linear chain of amino acids into a biologically functional three-dimensional structure. We are looking for sources that have similar structural or functional correspondence and are from different domains.

Origami is a strong candidate as it involves folding a flat sheet of paper into a three-dimensional structure, similar to protein folding. Wrinkles, on the other hand, are a natural part of the ageing process and do not have a direct relation to protein folding. Three-dimensional puzzles, molecular symmetry, and chemical reactions all have some relevance to protein folding, but they are not as directly analogous as origami.

Evolution, drama, and blankets do not have a clear connection to protein folding. Puzzles, in general, could be considered, but they are too broad and do not have the same level of structural correspondence as origami.

Therefore, the top 3 selected candidates are origami, three-dimensional puzzles, and molecular symmetry.",2,success,name_props_desc
15,Photosynthesis,Power Generation,"['Greenhouse', 'Plants', 'Burning Energy', 'respiration', 'Sun Protection', 'Greenhouses', 'Solar Panels', 'Evolution', 'Desert', 'Planting']","['Solar Panels', 'Burning Energy', 'respiration']","To find the best analogous source concepts for the target concept of Photosynthesis, we need to analyze the properties and description of Photosynthesis and compare them with the properties and descriptions of the candidate sources.

Photosynthesis is a process that converts light energy into chemical energy, producing oxygen and glucose. It involves the use of Chlorophyll and takes place in plants and other organisms.

Based on this analysis, we can select the top 3 candidates that would make the best analogies for Photosynthesis:

1. Solar Panels: Solar panels harness solar energy to generate electricity, which is similar to how Photosynthesis converts light energy into chemical energy. This analogy highlights the structural correspondence between the two concepts.
2. Burning Energy: Burning energy is a process that converts chemical energy into usable energy, which is similar to how Photosynthesis converts light energy into chemical energy. This analogy highlights the functional correspondence between the two concepts.
3. Respiration: Respiration is a process that converts food into energy, which is similar to how Photosynthesis converts light energy into chemical energy. This analogy highlights the functional correspondence between the two concepts and is a good example of a far-field analogy.",-1,success,name_props_desc
16,Platelets,Construction Workers,"['A Pinball Game', 'sponge', 'air filter', 'the replicator', 'line', 'kirigami', 'Origami', 'Dominoes', 'Printers Print Documents', 'Healing']","['A Pinball Game', 'sponge', 'air filter']","To select the best analogous source concepts for the target concept ""Platelets"", we need to analyze the properties and description of platelets and compare them with the candidate sources. Platelets are a component of the human body's blood system, and their main function is to react to bleeding caused by damaged tissue or blood vessel injury by clumping and forming a platelet plug. 

Looking at the candidate sources, we can identify some similarities and analogies. For example, ""A Pinball Game"" can be seen as analogous to the way platelets interact with each other and their environment, with the collision force and marble density similar to the interaction between platelets and blood vessels. 

Another candidate source, ""sponge"", has properties similar to platelets, such as being able to adsorb and filter impurities, similar to how platelets help to remove impurities from the blood. 

Finally, ""air filter"" can be seen as analogous to platelets in terms of their function of removing impurities from a system, in this case, the air we breathe. 

These three candidates have strong structural and functional correspondence with platelets and are from different domains, making them good far-field analogies.",-1,success,name_props_desc
17,Genome,Operating System,"['Evolution', 'Ecosystem', 'Computer Code', 'bacterial mutation', 'Computer Processor', 'Disease', 'Operating System', 'life', 'Machines', 'Pedigree Trees']","['Computer Code', 'Operating System', 'Pedigree Trees']","To find the best analogous source concepts for the target concept ""Genome"", we need to analyze the properties and description of the genome and compare them with the candidate sources. The genome is a complete set of genetic information of an organism, consisting of DNA or RNA sequences. It includes various regions of the genome, such as regulatory sequences, non-coding DNA, and even genes that control the organism.

Based on this analysis, we can identify the following key characteristics of the genome:

1. It is a complex system that contains a large amount of information.
2. It is responsible for controlling the organism's traits and behavior.
3. It is composed of different regions with distinct functions.

With these characteristics in mind, we can review each candidate source and its information to determine which ones would make the best analogies for the genome.

1. Evolution: While evolution is related to the genome, it is a process that occurs over time and is not a direct analogy for the genome itself.
2. Ecosystem: An ecosystem is a complex network of biological species and their surrounding physical environment, but it does not have a direct structural or functional correspondence to the genome.
3. Computer Code: Computer code is a set of instructions that a computer can execute to perform specific tasks, which is similar to how the genome contains instructions for the organism's development and function. This is a strong analogy.
4. Bacterial mutation: Bacterial mutation is a process that occurs in bacteria, but it is not a direct analogy for the genome.
5. Computer Processor: A computer processor is an electrical component that performs operations on memory or other data streams, but it does not have a direct structural or functional correspondence to the genome.
6. Disease: A disease is an abnormal condition that affects the structure or function of an organism, but it is not a direct analogy for the genome.
7. Operating System: An operating system is a vital system software that manages the hardware and software resources of a computer system, which is similar to how the genome manages the organism's traits and behavior. This is a strong analogy.
8. Life: Life is a precious and unique quality that distinguishes living matter from non-living matter, but it is too broad and abstract to be a direct analogy for the genome.
9. Machines: Machines are physical systems designed to perform actions using power and mechanisms, but they do not have a direct structural or functional correspondence to the genome.
10. Pedigree Trees: Pedigree trees are a way to represent family relationships, especially when it comes to genealogy or the study of ancestry, but they do not have a direct structural or functional correspondence to the genome.

Based on this analysis, the top 3 selected candidates that would make the best analogies for the genome are:",2,success,name_props_desc
18,Brain,Computer Processor,"['The Brain', 'How the Human Brain Works', 'The Nervous System', 'mind', 'Computer Processor', 'Final Exam', 'knowledge', 'The Neural Network of Computers', 'Crime Scene', 'CPU']","['Computer Processor', 'The Neural Network of Computers', 'CPU']","To select the best analogous source concepts for the target concept ""Brain"", we need to analyze the properties and descriptions of each candidate source. The brain is a complex organ that serves as the center of the nervous system, made up of billions of neurons connected by synapses. We are looking for sources that are familiar, have strong structural/functional correspondence with the brain, and are from different domains (far-field analogies).

The candidates can be grouped into three categories: 

1. Directly related to the brain or nervous system (The Brain, How the Human Brain Works, The Nervous System, mind)
2. Computer-related (Computer Processor, The Neural Network of Computers, CPU)
3. Unrelated (Final Exam, knowledge, Crime Scene)

The first category, although directly related to the brain, may not provide the best analogies as they are too similar to the target concept. The third category is unrelated and does not share any structural or functional correspondence with the brain.

The second category, computer-related sources, provides the best analogies. Computer processors and neural networks are complex systems that process information, similar to the brain. They have strong structural/functional correspondence with the brain and are from a different domain, making them ideal far-field analogies.",1,success,name_props_desc
19,Nucleus,CPU,"['Reactor', 'atom', 'The Brain', 'The Nervous System', 'The Neural Network of Computers', 'Neural Networks', 'Computer Processor', 'A Distributed Computing System', 'Building Structure', 'Molecular Symmetry']","['The Brain', 'Computer Processor', 'Reactor']","To find the best analogous source concepts for the target concept ""Nucleus"", we need to analyze the properties and description of the nucleus and compare them with the properties and descriptions of the candidate sources. The nucleus is described as the central and essential component of both an atom and a eukaryotic cell, containing genetic information and controlling biochemical reactions. We are looking for sources that have similar structural or functional correspondence with the nucleus, and that are from different domains (far-field analogies).",-1,success,name_props_desc
20,Biological Evolution,Urban Evolution,"['Biological Evolution', 'Evolution', 'Ecosystem', 'natural selection', 'ecosystem', 'bacterial mutation', 'Pedigree Trees', 'Urban Evolution', 'Human Body', 'life']","['Pedigree Trees', 'Urban Evolution', 'bacterial mutation']","To select the best analogous source concepts for the target concept of Biological Evolution, we need to analyze the properties and descriptions of each candidate source. The goal is to find sources that are familiar, have strong structural or functional correspondence with the target, and are from different domains (far-field analogies).

After reviewing the candidates, we can eliminate those that are too similar to the target concept or do not provide a useful analogy. For example, ""Biological Evolution"" and ""Evolution"" are too similar to the target concept, while ""Ecosystem"" and ""ecosystem"" do not provide a clear analogy.

The selected sources should provide a useful analogy for understanding the process of Biological Evolution. ""natural selection"" is a fundamental process of evolution, but it is not a source concept that provides an analogy. ""bacterial mutation"" provides an example of genetic change, but it is not a clear analogy for the process of Biological Evolution.

""Pedigree Trees"" provides a useful analogy for understanding the relationships between species and the concept of similarity. ""Urban Evolution"" provides an analogy for understanding how populations adapt to changing environments. ""Human Body"" does not provide a clear analogy for Biological Evolution, but ""life"" provides a broad context for understanding the concept of evolution.",2,success,name_props_desc
21,DNA Replication,Printers Print Documents,"['bacterial mutation', 'code', 'the replicator', 'program', 'Molecular Symmetry', 'The Helix Bridge', 'Baking', 'laboratory', 'Chemical Reactions', 'Pedigree Trees']","['code', 'program', 'The Helix Bridge']","To find the best analogous source concepts for DNA Replication, we need to analyze the properties and descriptions of the target concept and the candidate sources. DNA Replication is a biological process that involves the accurate passing of genetic information from one generation to the next. The process involves the unwinding of the original DNA strand and the creation of a new DNA strand. We are looking for source concepts that have similar properties and structural/functional correspondence.

After reviewing the candidate sources, we can eliminate those that do not have similar properties or functional correspondence. Bacterial mutation, Molecular Symmetry, and Chemical Reactions are all related to biology and chemistry, but they do not have the same level of structural/functional correspondence as DNA Replication.

The Replicator, code, and program all have properties related to replication, which makes them potential candidates. However, The Replicator is a device that replicates physical items, whereas code and program are related to information processing systems.

Upon further analysis, we can see that code and program have strong structural/functional correspondence with DNA Replication. Code is a set of instructions that enables the conversion of information into symbols, which is similar to the process of DNA Replication where genetic information is encoded in the DNA strand. Program is a set of instructions designed to perform a specific task, which is similar to the process of DNA Replication where the genetic information is used to create a new DNA strand.

The Helix Bridge is a pedestrian bridge that has a structural correspondence with DNA Replication, as the bridge's design is inspired by the double helix structure of DNA.",-1,success,name_props_desc
22,Food Chain,Supply Chain,"['Supply Chain', 'Circular Economy', 'Factory System', 'Factory', 'Recipes', 'Cooking', ""the factory's production line"", 'Planting', 'The Real World', 'Information Flow']","['Supply Chain', 'Circular Economy', 'Recipes']","To find the best analogous source concepts for the target concept ""Food Chain"", we need to analyze the properties and descriptions of each candidate source. The food chain is a network of trophic relations between species in an ecosystem, describing how each species serves as both a predator and prey. We are looking for sources that have similar structural or functional correspondence, preferably from different domains.

After reviewing the candidates, we can see that ""Supply Chain"" has a similar network structure, with a focus on the transformation of raw materials into finished products. ""Circular Economy"" also has a similar theme of resource flow and recycling, although it's more focused on production and consumption. ""Recipes"" has a similar concept of a series of steps to create a finished product, although it's more focused on cooking.

The other candidates, such as ""Factory System"", ""Factory"", ""the factory's production line"", ""Planting"", ""The Real World"", and ""Information Flow"", do not have as strong of a correspondence to the food chain concept.",1,success,name_props_desc
23,DNA Double Helix Structure,The Helix Bridge,"['The Helix Bridge', 'Molecular Symmetry', 'Blankets', 'Building Structure', 'Human Hands', 'a three-dimensional puzzle', 'The Puzzle', 'bacterial mutation', 'A Puzzle', 'A Jigsaw Puzzle']","['The Helix Bridge', 'Molecular Symmetry', 'a three-dimensional puzzle']","The DNA Double Helix Structure is a complex molecular structure that is held together by base pairs. To find the best analogous source concepts, we need to look for structures that have similar properties, such as being composed of multiple components that are held together in a specific way. We also want to prioritize sources that are from different domains, as these will provide the most insightful analogies.

The Helix Bridge is a good candidate because it is a physical structure that is composed of multiple components (columns) that are held together in a specific way, similar to the DNA Double Helix Structure. Additionally, it is from a different domain (architecture) than the target concept, making it a good candidate for a far-field analogy.

Molecular Symmetry is another good candidate because it is a concept that deals with the arrangement of molecules, which is similar to the arrangement of base pairs in the DNA Double Helix Structure. It is also from the same domain (chemistry) as the target concept, but provides a different perspective on the structure.

A three-dimensional puzzle is also a good candidate because it is a structure that is composed of multiple components (puzzle pieces) that must be arranged in a specific way to form a complete picture. This is similar to the way that base pairs are arranged in the DNA Double Helix Structure.",1,success,name_props_desc
24,Food Chain,Information Flow,"['Supply Chain', 'Circular Economy', 'Factory System', 'Factory', 'Recipes', 'Cooking', ""the factory's production line"", 'Planting', 'The Real World', 'Information Flow']","['Supply Chain', 'Circular Economy', 'Information Flow']","To select the best analogous source concepts for the target concept ""Food Chain"", we need to analyze the properties and descriptions of each candidate source. The food chain is a process of energy transfer between organisms in an ecosystem, involving predators and prey. We are looking for source concepts that have similar structural or functional correspondence, preferably from different domains.

After reviewing the candidates, we can eliminate ""Recipes"", ""Cooking"", and ""The Real World"" as they are too closely related to food or are not relevant to the concept of energy transfer. ""Factory"" and ""the factory's production line"" are similar, but they are more focused on manufacturing processes. ""Planting"" is a process, but it doesn't involve energy transfer between entities.

The top 3 selected candidates are:

1. ""Supply Chain"" - This concept involves the transfer of goods or products from one entity to another, similar to the energy transfer in a food chain. It also has a similar structure, with producers, consumers, and intermediate entities.
2. ""Circular Economy"" - This concept involves the reuse and recycling of resources, which can be seen as a form of energy transfer. It also has a similar goal of sustainability and efficiency.
3. ""Information Flow"" - This concept involves the transfer of information between entities, which can be seen as a form of energy transfer. It also has a similar structure, with sources, receivers, and transmission lines.",3,success,name_props_desc
25,Cell Signaling,Electronic Signal Transmission,"['signal', 'Neural Networks', 'Electronic Signal Transmission', 'The Brain', 'communication networks', 'Prospecting', 'Transportation Systems', 'The Nervous System', 'Circuits', 'Information Flow']","['Neural Networks', 'Electronic Signal Transmission', 'The Nervous System']","To find the best analogous source concepts for Cell Signaling, we need to analyze the properties and descriptions of the target concept and the candidate sources. Cell Signaling involves the reception, processing, and transmission of signals within and between cells. Therefore, we are looking for source concepts that have similar properties and functions, but are from different domains.

After reviewing the candidate sources, we can see that Neural Networks, Electronic Signal Transmission, and The Nervous System have strong structural and functional correspondence with Cell Signaling. Neural Networks involve the transmission of neural signals between neurons, Electronic Signal Transmission involves the collection and analysis of electronic signals, and The Nervous System involves the transmission of signals to and from different areas of the body. These source concepts are from different domains (biology, electronics, and physiology) and can help explain the unfamiliar target concept of Cell Signaling.",2,success,name_props_desc
