id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
11,Nervous System,"[""Circuits""]",1,"Neurons, nerve fiber, Ganglion, information","[""Telephone"", ""Roads"", ""Internet"", ""Wires"", ""Highways"", ""Mail"", ""Messenger"", ""Switchboard"", ""Pipeline"", ""Network"", ""Circuit"", ""Railway"", ""Tree"", ""River"", ""Chain"", ""Spiderweb"", ""Conveyor"", ""Bridge"", ""Tunnel"", ""Grid""]","[""Handsets, Cables, Switchboard, Messages"", ""Vehicles, Roadway, Intersection, Traffic"", ""Servers, Network Cable, Router, Data"", ""Circuits, Wire, Junction Box, Signal"", ""Vehicles, Roads, Interchange, Cargo"", ""Post Offices, Mail Routes, Sorting Facility, Mail"", ""Runners, Route, Hub, Message"", ""Operators, Phone Lines, Switching Center, Calls"", ""Pumps, Pipe, Valve, Fluid"", ""Nodes, Connections, Hub, Data"", ""Transistors, Wires, Circuit Board, Electric Signal"", ""Trains, Rail Tracks, Train Station, Passengers/Cargo"", ""Leaves, Branches, Trunk, Sap"", ""Water Molecules, River Channel, Tributary, Water Flow"", ""Links, Chain segments, Joints, Weight"", ""Threads, Web strands, Web center, Vibrations"", ""Conveyor belts, Conveyor segments, Package sorting hubs, Packages"", ""Cables, Roadway, Intersection, Traffic"", ""Wiring, Tunnel Tube, Junction Box, Signals"", ""Power Plants, Transmission Lines, Substations, Electricity""]",,success
12,Immune System,"[""Army"", ""Reactor""]",2,"Immune Cells, Antibody, lymphoid tissue, regulatory organs","[""Security system"", ""Army"", ""Firewall"", ""Police force"", ""Castle defense"", ""Neighborhood watch"", ""Guard dog"", ""Customs checkpoint"", ""Surveillance camera"", ""Fire brigade"", ""Border patrol"", ""Bouncer"", ""Antivirus software"", ""Watchtower"", ""Medic team"", ""Patrol boat"", ""Alarm system"", ""Traffic cop"", ""Lifeguard"", ""Safety net""]","[""Security Guards, Alarm Trigger, Security Hub, Control Center"", ""Soldiers, Missile, Barracks, Headquarters"", ""Security Software, Threat Signature, Network Hub, Control Center"", ""Police Officers, Crime Database, Police Stations, Headquarters"", ""Knights, Arrows, Barracks, Command Center"", ""Watch Members, Warning Signs, Meeting Points, Leadership Team"", ""Guard Team, Barking Alert, Doghouse, Trainer"", ""Security Personnel, Detection Device, Inspection Area, Administration Office"", ""Security Guards, Facial Recognition Software, Monitoring Room, Control Center"", ""Firefighters, Fire Extinguisher, Fire Station, Command Center"", ""Border Agents, Surveillance Technology, Checkpoint Stations, Command Centers"", ""Security Team, ID Scanner, Security Office, Management"", ""Scanning Agents, Virus Definitions, Database Files, System Settings"", ""Guards, Alarm Signal, Surveillance Room, Command Center"", ""Doctors, Medicine, Hospital, Team Leads"", ""Crew Members, Missile, Base Station, Command Center"", ""Motion Detectors, Alarm Signal, Control Panel, Sensors"", ""Police Officers, Ticket, Police Station, Dispatch Center"", ""Lifeguards, Rescue Tube, Lifeguard Tower, Beach Patrol Headquarters"", ""Guardians, Protective Mesh, Supporting Ropes, Net Control Center""]",,success
13,Cell Membranes,"[""Walls""]",1,"cell, substances, maintain","[""Fence"", ""Gate"", ""Wall"", ""Screen door"", ""Filter"", ""Border"", ""Envelope"", ""Window"", ""Sieve"", ""Barrier"", ""Shield"", ""Net"", ""Doorway"", ""Curtain"", ""Membrane"", ""Shell"", ""Cover"", ""Screen"", ""Partition"", ""Boundary""]","[""yard, items, enclose"", ""enclosure, traffic, regulate"", ""room, items, insulate"", ""house, insects, filter"", ""housing, water, clean"", ""country, people, security"", ""contents, letters, seal"", ""house, air, insulate"", ""mesh, grains, filter"", ""enclosure, permeants, regulate"", ""Knight, Projectiles, Block"", ""mesh, catch, hold"", ""house, people, secure"", ""room, air, regulate"", ""filter, water, cleanliness"", ""interior, contents, protect"", ""object, contents, protect"", ""house, air, filter"", ""room, items, organize"", ""territory, contents, secure""]",,success
14,Protein folding,"[""a three-dimensional puzzle""]",1,"sequence, structure, fold","[""Origami"", ""Paperclip"", ""Knitting"", ""Puzzle"", ""Ribbon"", ""Clay"", ""Towel"", ""Wire"", ""String"", ""Ribbon"", ""Tangled cord"", ""Beads"", ""Chain"", ""Scarf"", ""Rope"", ""Bow"", ""Knot"", ""Coil"", ""Twist"", ""Weaving""]","[""paper strip, design, crease"", ""wire, shape, bend"", ""pattern, fabric, stitch"", ""pieces, solution, assembly"", ""length, pattern, twist"", ""composition, shape, mold"", ""threads, weave, crease"", ""length, shape, bend"", ""thread, pattern, twist"", ""length, pattern, twist"", ""length, arrangement, coil"", ""string, arrangement, pattern"", ""links, arrangement, coil"", ""pattern, arrangement, drape"", ""length, knot, coil"", ""string, shape, bend"", ""thread, pattern, twist"", ""wire, shape, wind"", ""thread, pattern, twist"", ""thread, pattern, weave""]",,success
15,Photosynthesis,"[""Power Generation"", ""Solar Panels""]",2,"light energy, Chlorophyll, oxygen and glucose","[""Solar panel"", ""Factory"", ""Cooking"", ""Battery"", ""Recipe"", ""Photos"", ""Plant"", ""Oven"", ""Light bulb"", ""Pump"", ""Mixer"", ""Engine"", ""Workshop"", ""Machine"", ""Garden"", ""Kitchen"", ""Power plant"", ""Battery charger"", ""Water cycle"", ""Photoshoot""]","[""sunlight, photovoltaic cells, electricity"", ""Electricity, Machinery, Products"", ""heat energy, cooking catalyst, flavor and nutrients"", ""Electrical Energy, Electrode, Stored Charge"", ""Oven Heat, Special Spice, Finished Dish"", ""Camera Flash, Camera Lens, Developed Picture"", ""Sunlight, Green pigment, Air and nutrients"", ""Heat, Heating Element, Cooked Food"", ""Electricity, Filament, Light and Heat"", ""Mechanical Energy, Piston, Water Flow"", ""Electricity, Blades, Mixed Batter"", ""Fuel, Catalyst, Exhaust and Output"", ""Electricity, Tools, Products"", ""Electricity, Catalyst, Output Product"", ""Sunlight, Fertilizer, Fruits and Vegetables"", ""Electricity, Appliances, Food"", ""Coal, Generator, Electricity"", ""electrical energy, charger circuit, charged battery"", ""Solar Evaporation, Water Evaporation Surface, Precipitation and Runoff"", ""Camera Flash, Camera Lens, Photos""]",,success
16,Platelets,"[""Construction Workers""]",1,"human body, substances, damaged tissue","[""Bandages"", ""Bricks"", ""Glue"", ""Scabs"", ""Patches"", ""Sponges"", ""Plugs"", ""Velcro"", ""Tape"", ""Clamps"", ""Nails"", ""Buttons"", ""Locks"", ""Seals"", ""Corks"", ""Magnets"", ""Hooks"", ""Staples"", ""Pillows"", ""Floats""]","[""wounded area, adhesive, wound"", ""building, mortar, broken wall"", ""object, adhesives, torn material"", ""skin, collagen, wound"", ""torn fabric, adhesives, frayed edges"", ""kitchen counter, spills, torn sponge cells"", ""electrical system, materials, frayed wires"", ""fabric, hooks, loops"", ""Surface, Adhesive, Torn material"", ""workbench, objects, loose material"", ""finger, nail polish, nail break"", ""shirt, threads, torn fabric"", ""door, key, broken lock"", ""seal's home, water, damaged habitat"", ""bottle, liquid, bottle opening"", ""magnetic field, metals, attracted objects"", ""wall, objects, torn fabric"", ""paper, metal, torn page"", ""bed, filling, torn fabric"", ""Life Jacket, Foam Material, Punctured Float""]",,success
17,Genome,"[""Operating System""]",1,"organism, Gene, control","[""Blueprint"", ""Recipe"", ""Instruction"", ""Manual"", ""Code"", ""Map"", ""Plan"", ""Guidebook"", ""Formula"", ""Script"", ""Pattern"", ""Framework"", ""Design"", ""Outline"", ""Scheme"", ""Directory"", ""Catalog"", ""Schedule"", ""Chart"", ""Matrix""]","[""Building, Component, Specification"", ""Dish, Ingredient, Instructions"", ""Manual, Command, Rule"", ""User, Instruction, Setting"", ""Program, Function, Syntax"", ""Territory, Location, Legend"", ""Project, Task, Manager"", ""Traveler, Destination, Itinerary"", ""Car, Component, Regulator"", ""Story, Scene, Dialogue"", ""design, element, rule"", ""System, Component, Interface"", ""Product, Component, Blueprint"", ""Document, Section, Heading"", ""Project, Component, Manager"", ""Computer, File, Access Permission"", ""Store, Product, Inventory Management"", ""Employee, Task, Manager"", ""Document, Entry, Legend"", ""System, Element, Index""]",,success
18,Brain,"[""Computer Processor""]",1,"body, Neurons, Stimulate","[""Computer"", ""Control center"", ""Switchboard"", ""Command post"", ""Engine"", ""Network"", ""Processor"", ""Library"", ""Orchestra"", ""Factory"", ""City"", ""Map"", ""Puzzle"", ""Garden"", ""Highway"", ""Battery"", ""Switch"", ""Telephone"", ""Machine"", ""Brainstorm""]","[""Hardware, Processors, Execute"", ""building, operators, activate"", ""Panel, Wires, Connect"", ""Headquarters, Soldiers, Orders"", ""Vehicle, Pistons, Ignite"", ""system, nodes, transmit"", ""Computer, Cores, Execute"", ""building, Books, Educate"", ""Concert Hall, Musicians, Conduct"", ""Machinery, Workers, Production"", ""Districts, Residents, Activate"", ""Territory, Landmarks, Navigate"", ""frame, pieces, connect"", ""soil, roots, nourish"", ""Road, Vehicles, Traffic"", ""Device, Cells, Power"", ""Circuit, Wires, Activate"", ""Handset, Circuits, Signal"", ""Hardware, Circuits, Activate"", ""Team, Ideas, Generate""]",,success
19,Nucleus,"[""CPU"", ""Bookshelf""]",2,"cell, biochemical reaction, genetic information","[""Brain"", ""Control room"", ""Command center"", ""Library"", ""Heart"", ""Boss"", ""Captain"", ""Engine"", ""Computer"", ""Director"", ""Manager"", ""Central hub"", ""Safe"", ""Book"", ""Seed"", ""Core"", ""Nerve center"", ""Motherboard"", ""Brainstem"", ""Switchboard""]","[""body, thought process, memory"", ""building, operation, blueprints"", ""Headquarters, Operation, Intelligence"", ""building, cataloging, books"", ""body, blood circulation, brain signals"", ""Company, Decision-making, Vision"", ""ship, navigation, orders"", ""vehicle, combustion, blueprint"", ""hardware, processing, software"", ""theater, scene, script"", ""office, business decision, company data"", ""city, activity, database"", ""vault, security mechanism, valuables"", ""library, plot development, text content"", ""plant, germination, embryo"", ""system, key process, central data"", ""headquarters, key operation, critical data"", ""computer, data processing, firmware"", ""neuron, synapse, memory"", ""office building, telephone connection, directory""]",,success
20,Biological Evolution,"[""Urban Evolution""]",1,"biological population, Genetic Variation, natural selection, species adaptation","[""Puzzle"", ""Recipe"", ""Garden"", ""Library"", ""Market"", ""Team"", ""Forest"", ""City"", ""Game"", ""Workshop"", ""Classroom"", ""Factory"", ""River"", ""Family"", ""Machine"", ""Race"", ""School"", ""Farm"", ""Ocean"", ""Marketplace""]","[""Puzzle Pieces, Randomized Shapes, Fitting Criteria, Completed Picture"", ""Ingredients, Ingredient Options, Taste Preferences, Recipe Modification"", ""garden ecosystem, plant diversity, pruning and weeding, plant acclimation"", ""book collection, book editions, book curation, catalog updates"", ""customer base, product diversity, market competition, business innovation"", ""Team Members, Diverse Skillset, Performance-Based Selection, Team Strategy Adjustment"", ""forest ecosystem, tree diversity, environmental pressures, forest regeneration"", ""city residents, cultural diversity, urban planning, infrastructure development"", ""game players, game mechanics, player competition, player strategy"", ""workshop team, new tools, quality control, workflow optimization"", ""students, diverse skills, grading system, curriculum adjustment"", ""Workforce, Product Designs, Market Pressure, Product Updates"", ""River Basin, Water Currents, River Flow, Riverbank Erosion"", ""Family Members, Personality Traits, Parenting Style, Family Traditions"", ""System Components, Hardware Upgrades, Optimization Algorithm, Software Updates"", ""Racing Team, Car Modifications, Track Conditions, Pit Strategy"", ""Student Body, Diverse Student Interests, Academic Competition, Curriculum Adjustments"", ""Livestock, Crop Diversity, Selective Breeding, Crop Rotation"", ""ocean ecosystem, water currents, tidal forces, coastal erosion"", ""customer base, product diversity, market competition, business innovation""]",,success
21,DNA Replication,"[""Printers Print Documents""]",1,"dna, enzyme, original DNA strand, new DNA strand","[""Photocopy"", ""Blueprint"", ""Recipe"", ""Mirror"", ""Stamp"", ""Puzzle"", ""Printing press"", ""Knitting"", ""Mold"", ""Assembly line"", ""Duplicating machine"", ""Tracing paper"", ""Cookie cutter"", ""Pattern"", ""Copy machine"", ""Sewing"", ""Cloning"", ""Blueprint drawing"", ""Building blocks"", ""Map""]","[""document, photocopier, original page, copied page"", ""building plan, drafting tool, master blueprint, copy of blueprint"", ""ingredients, cooking method, original recipe, new dish"", ""glass, silvering process, original image, reflected image"", ""ink, stamp press, master stamp, stamped image"", ""puzzle pieces, puzzle solver, reference image, completed puzzle"", ""ink, press, template, printed page"", ""yarn, needle, template row, new row"", ""silicone, catalyst, master mold, replica mold"", ""product, machine, template, assembled product"", ""paper, ink, original document, copied document"", ""paper, pencil, original drawing, traced copy"", ""dough, cutter, template shape, new cookie"", ""template, modifier, base pattern, copied pattern"", ""paper, ink, original document, copied document"", ""fabric, sewing machine, pattern, new garment"", ""template, catalyst, parent cell, clone"", ""building plan, drafting tool, master blueprint, copied blueprint"", ""blocks, builder, template block, new block"", ""territory, cartographer, existing map, new map copy""]",,success
22,Food Chain,"[""Supply Chain"", ""Information Flow""]",2,"species, predator, energy","[""Dominoes"", ""Waterfall"", ""Ladder"", ""Relay"", ""Pyramid"", ""Chain"", ""Conveyor"", ""Funnel"", ""River"", ""Tower"", ""Train"", ""Family"", ""Market"", ""Network"", ""Tree"", ""Circle"", ""Web"", ""Bridge"", ""Path"", ""Stack""]","[""domino, trigger, momentum"", ""water, upper pool, flow"", ""rungs, climber, ascent"", ""runners, receiver, baton"", ""blocks, upper tier, weight"", ""links, breaker, tension"", ""components, processor, product"", ""inputs, filter, flow"", ""tributaries, current, flow"", ""bricks, architect, support"", ""cars, engine, fuel"", ""relatives, authority figure, resources"", ""business, competitor, resources"", ""nodes, hub, signal"", ""branch, pruner, nutrient"", ""points, intersection, radius"", ""websites, crawler, traffic"", ""pillars, stress point, tension"", ""travelers, obstacle, progress"", ""elements, remover, data""]",,success
23,DNA Double Helix Structure,"[""The Helix Bridge""]",1,"dna strand, base pair","[""Ladder"", ""Zipper"", ""Twisted rope"", ""Spiral staircase"", ""Braided hair"", ""Coiled spring"", ""Railroad tracks"", ""Twisted cable"", ""Slinky toy"", ""Double helix pasta"", ""Twisted vines"", ""Rope ladder"", ""Spiral notebook"", ""Twisted chain"", ""Helical slide"", ""Twisted wire"", ""Double helix staircase"", ""Coiled telephone cord"", ""Twisted ribbon"", ""Spiral shell""]","[""side rail, rung"", ""zipper teeth, interlocking teeth"", ""rope fibers, twist point"", ""handrail, step"", ""hair strand, crossed strands"", ""spring wire, coil loop"", ""rail, tie"", ""cable, twist"", ""coils, rung"", ""pasta strand, twisted turn"", ""vine stem, entwined leaves"", ""side rail, rung"", ""spiral binding, notebook page"", ""chain link, twist point"", ""slide rail, step rung"", ""wire, twist point"", ""staircase rail, step"", ""telephone cord, adjacent coils"", ""ribbon threads, ribbon twist"", ""shell body, shell spiral ridge""]",,success
25,Cell Signaling,"[""Electronic Signal Transmission""]",1,"Signal, receptor, Signal transduction pathway","[""Telephone"", ""Mail"", ""Walkie-talkie"", ""Traffic light"", ""Messenger"", ""Bell"", ""Smoke signal"", ""Radio"", ""Alarm"", ""Semaphore"", ""Email"", ""Relay race"", ""Doorbell"", ""Flashlight"", ""Signal flag"", ""Whistle"", ""Morse code"", ""Beacon"", ""Pager"", ""Knock""]","[""Call, Receiver, Circuit"", ""Letter, Mailbox, Delivery Route"", ""Message, Receiver, Transmission"", ""Light Color, Sensor, Wiring"", ""Message, Recipient, Delivery route"", ""Sound waves, Clapper, Vibration transmission"", ""Smoke, Observer, Smoke pattern"", ""Broadcast, Receiver, Circuit"", ""Trigger, , "", ""Flag, Observer, Message relay"", ""Message, Inbox, Delivery Route"", ""Batons, Runners, Relay route"", ""Button press, Doorbell button, Electric circuit"", ""Light, Switch, Circuit"", ""Flag, Observer, Flag protocol"", ""Sound wave, Ear, Auditory pathway"", ""Message, Receiver, Decoding process"", ""Light, Detector, Alert System"", ""Page, Pager device, Alert system"", ""Knock, Ear, Hearing pathway""]",,success
26,Genetic Mutation,"[""Typo""]",1,"gene sequence, genetic mutation, Gene, repair","[""Typo"", ""Recipe"", ""Blueprint"", ""Puzzle"", ""Code"", ""Map"", ""Instruction"", ""Manual"", ""Drawing"", ""Pattern"", ""Signal"", ""Message"", ""Letter"", ""Sentence"", ""Book"", ""Path"", ""Chain"", ""Thread"", ""Track"", ""Recipe card""]","[""text, typo, word, correction"", ""ingredient list, recipe alteration, ingredient, correction"", ""Blueprint Plan, Alteration, Component, Correction"", ""puzzle pieces, altered puzzle, puzzle box, rearranging pieces"", ""source code, bug, function, debug"", ""Cartographic Key, Map Alteration, Location, Map Update"", ""instruction code, code change, Instruction, debugging"", ""instruction set, typo, Chapter, correction"", ""sketch lines, alteration, image, correction"", ""design, alteration, Element, correction"", ""waveform, distortion, transmitter, filter"", ""message content, message alteration, message unit, message correction"", ""word, typo, Letter, correction"", ""word order, typo, Word, correction"", ""text, typo, Chapter, editing"", ""route, detour, landmark, maintenance"", ""link order, broken link, link, mending"", ""thread pattern, thread break, thread, mending"", ""track layout, track alteration, Rail, maintenance"", ""ingredient list, recipe alteration, ingredient, correction note""]",,success
