id,target,all_gold_sources,num_gold_sources,sub_concepts,generated_analogies,analogy_subconcepts,reasoning,status
11,Nervous System,"[""Circuits""]",1,"Neurons, nerve fiber, Ganglion, information","[""Telegraph system"", ""Fiber optics"", ""Neural web"", ""Biological internet"", ""Signal relay"", ""Message routing"", ""Electrical circuit"", ""Communication hub"", ""Information highway"", ""Nerve cable"", ""Neural circuit"", ""Message system"", ""Biological wiring"", ""Signal network"", ""Communication tower"", ""Neural grid"", ""Biological internet"", ""Information pipeline"", ""Signal relay"", ""Biological switchboard""]","[""Operators, Telegraph lines, Telegraph stations, Messages"", ""Optical fibers, Fiber optic cables, Network hub, Data"", ""Nodes, connection, Hub, data"", ""Servers, Fiber Optic Cables, Router, Data"", ""Relay Stations, Signal Cables, Signal Hubs, Signals"", ""Routers, Network Cables, Network Hubs, Data Packets"", ""Switches, Wires, Circuit Breaker, Electricity"", ""Operators, Communication Channels, Switchboard, Messages"", ""Servers, Fiber Optic Cables, Network Hubs, Data"", ""Wires, Cable, Router, Signal"", ""Transistors, wires, Microchip, electric signals"", ""messengers, message channel, message center, message"", ""Wires, Cables, Router, Electricity"", ""Servers, Cables, Router, Data"", ""Transmitters, Transmission lines, Switching center, Signal"", ""Nodes, Connections, Hub, Data"", ""Servers, Fiber Optic Cables, Router, Data"", ""Data Processors, Data Cables, Data Hubs, Data"", ""Relay Stations, Signal Cables, Signal Hubs, Signals"", ""Operators, Circuits, Switching Center, Signals""]","The nervous system functions as a complex network for transmitting and processing information through neurons, nerve fibers, and ganglia. Analogies should reflect systems that transmit signals, process information, or coordinate actions efficiently. Examples include communication networks, transportation systems, and data-processing technologies.",success
12,Immune System,"[""Army"", ""Reactor""]",2,"Immune Cells, Antibody, lymphoid tissue, regulatory organs","[""Army"", ""Security system"", ""Hospital"", ""Antivirus software"", ""Fire department"", ""Police force"", ""Factory"", ""Library"", ""City infrastructure"", ""Team of doctors"", ""Garden"", ""Computer network"", ""Bee hive"", ""Firewalls"", ""Blood clot"", ""Detective"", ""Factory assembly line"", ""City's emergency services"", ""Military base"", ""Ant colony""]","[""Soldiers, Special Forces, Military Bases, Command Centers"", ""Security Guards, Security Badge, Security Hub, Control Center"", ""Doctors, Medicine, Emergency Room, Administration"", ""Firewall, Signature, Database, Control Panel"", ""Firefighters, Fire Extinguisher, Fire Station, Emergency Dispatch"", ""Police Officers, Badge, Police Station, Government Agencies"", ""Workers, Quality Control, Assembly Line, Management"", ""Librarians, Barcode, Shelves, Cataloging System"", ""Police Officers, Security Cameras, Neighborhoods, City Hall"", ""Doctors, Medicine, Hospital, Administrative Team"", ""Gardeners, Pesticide, Soil, Greenhouse"", ""Servers, Firewall, Network Hubs, System Administrators"", ""Worker Bees, Honey, Honeycomb, Queen Bee"", ""Firewall Software, Firewall Rule, Network Interface, Firewall Configuration"", ""Platelets, Fibrinogen, Blood Vessels, Liver"", ""Detectives, Evidence, Police Station, Court System"", ""Workers, Quality Control Inspector, Assembly Stations, Management Team"", ""Police Officers, Firefighters, Emergency Response Centers, City Hall"", ""Soldiers, Special Forces, Barracks, Command Center"", ""Worker Ants, Chemical Signals, Nest Architecture, Queen and Council""]","The immune system functions as a complex defense network, utilizing specialized cells, memory mechanisms, and regulatory structures to protect the body. Analogies should reflect systems with coordinated defense, memory, and regulatory components. Sub-concepts like immune cells (soldiers), antibodies (tools), lymphoid tissue (network), and regulatory organs (command centers) guide the selection of familiar systems with similar hierarchical and functional roles.",success
13,Cell Membranes,"[""Walls""]",1,"cell, substances, maintain","[""Security guard"", ""Filter"", ""Gate"", ""Dam"", ""Border checkpoint"", ""Skin barrier"", ""Sieve"", ""Firewall"", ""Gatekeeper"", ""Balloon membrane"", ""Window screen"", ""Vault door"", ""Dam sluice"", ""Theme park checkpoint"", ""Coffee filter"", ""Security fence"", ""Dam spillway"", ""Key lock"", ""Fish tank filter"", ""Security scanner""]","[""building, visitors, patrol"", ""filter medium, water, clean"", ""house, visitors, guard"", ""water, water flow, structural integrity"", ""country, goods, regulate"", ""body, moisture, hydration"", ""mesh, particles, filter"", ""computer, data, security"", ""house, visitors, order"", ""balloon, air, pressure"", ""house, insects, repair"", ""vault, valuables, secure"", ""water reservoir, water flow, regulate"", ""visitor, items, regulate"", ""coffee grounds, coffee, filter quality"", ""house, people, guard"", ""water reservoir, water flow, regulate water level"", ""lock, keys, security"", ""tank, water, clean"", ""passenger, items, calibrate""]","The cell membrane regulates the movement of substances in and out of the cell, maintains internal stability, and acts as a protective barrier. Analogies should reflect selective control, protection, and regulation of flow.",success
14,Protein folding,"[""a three-dimensional puzzle""]",1,"sequence, structure, fold","[""Origami"", ""Sculpture"", ""Blueprint"", ""Puzzle"", ""Recipe"", ""Folding chair"", ""DNA helix"", ""Snowflake formation"", ""Tangled yarn"", ""Building blocks"", ""Folding map"", ""Origami crane"", ""Molecular machine"", ""Folding paper airplane"", ""Protein chain"", ""Folding algorithm"", ""Folding instructions"", ""Folding pattern"", ""Folding sequence"", ""Folding blueprint""]","[""paper, design, crease"", ""blueprint, framework, crease"", ""plan, layout, crease"", ""pieces, picture, assembly"", ""ingredients, presentation, mixing"", ""frame, frame design, hinge"", ""nucleotide sequence, double helix, twist"", ""nucleus, crystal lattice, branching pattern"", ""strand, knot, tangle"", ""blueprint, architecture, assembly"", ""path, terrain, bend"", ""paper strip, crane shape, crease"", ""blueprint, framework, assembly"", ""instructions, design, crease"", ""chain, arrangement, bend"", ""input, output, iteration"", ""manual, blueprint, crease"", ""pattern, design, crease"", ""order, arrangement, crease"", ""blueprint, layout, crease""]","Protein folding involves the process by which a protein's linear amino acid sequence (sequence) adopts a specific three-dimensional structure (structure) through folding (fold). Analogies should reflect the transformation of a linear sequence into a functional 3D structure, the precision of the process, and the consequences of misfolding. Examples include origami (folding into shape), sculpture (final structure), and blueprints (sequence as instructions).",success
15,Photosynthesis,"[""Power Generation"", ""Solar Panels""]",2,"light energy, Chlorophyll, oxygen and glucose","[""Solar panel"", ""Power plant"", ""Factory"", ""Kitchen"", ""Battery"", ""Greenhouse"", ""Solar concentrator"", ""Prism"", ""Bakery"", ""Oxygen mask"", ""Algae bloom"", ""Solar cooker"", ""Chlorophyll"", ""Car engine"", ""Farm"", ""Oxygen generator"", ""Blood glucose"", ""Grow lights"", ""Leaf factory"", ""Energy cycle""]","[""solar energy, silicon, electricity"", ""electrical energy, generator, electricity and water"", ""electricity, machinery, products"", ""electricity, cooking oil, baked goods"", ""electrical energy, catalyst, charged particles"", ""heating, insulation, crops"", ""solar energy, photovoltaic cells, electricity and heat"", ""white light, prism material, refracted colors"", ""electricity, yeast, bread"", ""oxygen supply, filter, oxygen output"", ""nutrient rich water, phytoplankton, excess algae growth"", ""solar energy, cooking vessel, cooked food"", ""solar energy, green pigment, oxygen and organic compounds"", ""gasoline, catalyst, exhaust and energy"", ""water, fertilizer, crops"", ""electricity, filter, oxygen output"", ""glucose, insulin, oxygen and glucose"", ""electricity, LED, nutrients"", ""electricity, machinery, products"", ""kinetic energy, catalyst, usable energy""]","Photosynthesis involves converting light energy into chemical energy (glucose) using chlorophyll, while producing oxygen. Analogies should reflect energy conversion, biological production, and resource transformation.",success
16,Platelets,"[""Construction Workers""]",1,"human body, substances, damaged tissue","[""First responders"", ""Patch"", ""Plug"", ""Guardians"", ""Repair crew"", ""Stitches"", ""Sealant"", ""Emergency team"", ""Band-aid"", ""Net"", ""Scab"", ""Stopper"", ""Menders"", ""Cobblers"", ""Sealers"", ""Patchwork"", ""Emergency blanket"", ""Band"", ""Dam plug"", ""Caulk""]","[""community, hazards, emergency site"", ""fabric, adhesives, tear"", ""wall, materials, hole"", ""community, intruders, vulnerable areas"", ""construction site, repair materials, damaged structure"", ""fabric, thread, tear"", ""surface, adhesives, cracks"", ""community, equipment, emergency site"", ""skin, adhesive, cut"", ""web, threads, tear"", ""skin, collagen, wound"", ""bottle, liquid, crack"", ""broken object, adhesives, fracture"", ""shoe, leather, torn sole"", ""surface, materials, gaps"", ""fabric, threads, tear"", ""person, insulating material, cold body"", ""audience, instruments, broken strings"", ""water source, plug materials, damaged area"", ""wall, silicone, gaps""]","Platelets are components of blood that play a crucial role in clotting to prevent blood loss when tissue is damaged. They act as the body's first responders, aggregating at injury sites to form clots. Analogies should reflect their roles in repair, sealing, and rapid response.",success
17,Genome,"[""Operating System""]",1,"organism, Gene, control","[""blueprint"", ""library"", ""recipe book"", ""control panel"", ""code"", ""symphony"", ""factory"", ""map"", ""software"", ""city"", ""switchboard"", ""dictionary"", ""hard drive"", ""orchestra"", ""database"", ""construction site"", ""master plan"", ""biological code"", ""instruction manual"", ""encyclopedia""]","[""building, component, instruction"", ""reader, book, catalog"", ""chef, ingredient, instructions"", ""user, button, switch"", ""program, function, logic"", ""orchestra, melody, conductor"", ""company, blueprint, management"", ""territory, location, scale"", ""user, function, settings"", ""citizen, building, government"", ""operator, circuit, switch"", ""reader, word, index"", ""computer, file, directory"", ""conductor, instrument, score"", ""user, record, access"", ""builder, blueprint, regulations"", ""project, instruction, guideline"", ""program, instruction, logic"", ""user, component, settings"", ""reader, article, index""]","The genome is the complete set of genetic instructions in an organism, encompassing genes (functional units) and regulatory mechanisms (control). Analogies should reflect its role as a blueprint, information repository, and control system. Drawing from domains like technology, nature, and human systems helps bridge abstract concepts to familiar frameworks.",success
18,Brain,"[""Computer Processor""]",1,"body, Neurons, Stimulate","[""Computer"", ""City"", ""Orchestra"", ""Library"", ""Superhighway"", ""Control Tower"", ""General"", ""Switchboard"", ""Antenna"", ""Engine"", ""Web"", ""Satellite"", ""Pilot"", ""Router"", ""Command Center"", ""Battery"", ""Fuse"", ""Keyboard"", ""Radio"", ""Electric Grid""]","[""Hardware, Microprocessors, Power"", ""Infrastructure, Citizens, Activate"", ""audience, musicians, conduct"", ""building, books, circulate"", ""Road Network, Cars, Traffic Flow"", ""Airport, Controllers, Coordinate"", ""organization, employees, motivate"", ""circuit, switches, connect"", ""Base, Signals, Transmit"", ""chassis, circuits, ignite"", ""server, routers, transmit"", ""Network, Servers, Transmit"", ""aircraft, crew, control"", ""Network, Switches, Route"", ""Personnel, Operators, Direct"", ""container, cells, charge"", ""circuit, wires, ignite"", ""casing, circuits, input"", ""cabinet, circuits, transmit"", ""Network, Power Lines, Distribute""]","The brain is a complex organ responsible for processing information, controlling the body, and enabling thought. Its sub-concepts—body (as the system it controls), neurons (as the signaling units), and stimulate (as the activation of processes)—suggest analogies involving control systems, communication networks, and triggers. The generated analogies focus on familiar systems that manage coordination, transmit signals, or initiate actions.",success
19,Nucleus,"[""CPU"", ""Bookshelf""]",2,"cell, biochemical reaction, genetic information","[""Command center"", ""Library"", ""Control tower"", ""Powerhouse"", ""Headquarters"", ""Data vault"", ""Brain"", ""Central hub"", ""Genetic archive"", ""Information hub"", ""Control panel"", ""Master plan"", ""Central server"", ""Command post"", ""Code repository"", ""Central library"", ""Instruction manual"", ""Control room"", ""Master key"", ""Central database""]","[""base, operation, database"", ""book, research, knowledge"", ""airport, air traffic control, flight plan"", ""factory, energy production, blueprint"", ""office, business operation, company data"", ""database, data processing, data storage"", ""neuron, synaptic transmission, memory"", ""terminal, data exchange, database"", ""database, data processing, stored data"", ""database, data processing, stored data"", ""circuit, electrical impulse, blueprint"", ""blueprint, construction process, building codes"", ""computer, data processing, software"", ""bunker, tactical operation, battle plan"", ""project, build process, source code"", ""book, research, catalogue"", ""chapter, step-by-step guide, blueprint"", ""room, operation, blueprint"", ""lock, unlocking mechanism, key code"", ""database, query, data""]","The nucleus is the control center of a cell, housing genetic material and regulating cellular activities. Analogies should reflect centralized control, information storage, and orchestration of complex processes. Sub-concepts like ""cell,"" ""biochemical reaction,"" and ""genetic information"" guide analogies toward systems that manage structure, function, and data.",success
20,Biological Evolution,"[""Urban Evolution""]",1,"biological population, Genetic Variation, natural selection, species adaptation","[""Sports Team"", ""Software Updates"", ""Library Collection"", ""Crop Breeding"", ""Music Genres"", ""Technology Evolution"", ""Fashion Trends"", ""Language Evolution"", ""City Development"", ""Gaming Strategies"", ""Education Systems"", ""Sports Equipment"", ""Culinary Recipes"", ""Art Styles"", ""Musical Instruments"", ""Book Publishing"", ""Social Media"", ""Space Tech"", ""Medical Treatments"", ""Market Competition""]","[""team roster, player skills, team strategy, game plan adjustment"", ""user base, code modification, market forces, software update"", ""book collection, book diversity, reader preference, collection curation"", ""breeding population, seed variation, artificial selection, crop adaptation"", ""music scene, musical diversity, audience preference, genre evolution"", ""user base, software updates, market competition, product iteration"", ""fashion community, style variation, market demand, trend adaptation"", ""linguistic community, linguistic variation, cultural selection, language adaptation"", ""city neighborhood, architectural style, urban planning, infrastructure development"", ""player base, gameplay variation, survival of the fittest, strategy adaptation"", ""student body, diverse learning styles, academic competition, curriculum development"", ""team, equipment variation, player selection, player adaptation"", ""recipe batch, ingredient variation, taste selection, recipe modification"", ""art movement, style variation, artistic preference, style evolution"", ""orchestra, instrument timbre, audience preference, instrument evolution"", ""reading audience, writing style, editorial review, book genre"", ""online community, user diversity, algorithmic filtering, platform evolution"", ""space mission team, technological innovation, market competition, spacecraft design evolution"", ""patient group, disease variation, treatment efficacy, treatment resistance"", ""market, product differentiation, consumer preference, business strategy""]","Biological evolution involves populations changing over time through genetic variation, natural selection, and adaptation. Analogies should reflect processes where diversity exists, competition or selection occurs, and traits adapt to environments. Examples include systems with iterative improvement, survival of the fittest, or gradual change driven by external pressures.",success
