id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores
11,Nervous System,Circuits,The Nervous System,-1,"['The Nervous System', 'The Brain', 'How the Human Brain Works', 'Neural Networks', 'Human Body', 'The Neural Network of Computers', 'communication networks', 'memory', 'mind', 'signal', 'Disease', 'Skin System', 'Diseases', 'the skeletal system', 'Machines', 'life', 'Healing', 'Heart', 'Ecosystem', 'Operating System']","[0.8735293763686153, 0.6624885867638044, 0.5831987937734171, 0.5261338272801072, 0.5181026461904417, 0.4702987689821463, 0.4232215286665011, 0.4226537442250698, 0.420348043791831, 0.41960286005702524, 0.41214338037462667, 0.3937379976048957, 0.39172860392345465, 0.38898531430236793, 0.37447389132641473, 0.3593056974337785, 0.35408410060793016, 0.3532622059769714, 0.3531393104360376, 0.35121177512703416]"
12,Immune System,Army,Skin System,-1,"['Skin System', 'The Nervous System', 'Immunity', 'Human Body', 'The Brain', 'life', 'Diseases', 'illness', 'the skeletal system', 'Disease', 'How the Human Brain Works', 'ecosystem', 'Ecosystem', 'Neural Networks', 'Biological Evolution', 'Operating System', 'Healing', 'mind', 'Machines', 'Transportation Systems']","[0.5773760608227634, 0.5580708120537634, 0.5544758196454098, 0.5138909840418813, 0.45300986544685706, 0.44195581735440537, 0.4373517603742272, 0.4327807469590921, 0.4075469859259153, 0.40204868757628426, 0.4001094786804187, 0.3873961364066161, 0.3824840382036854, 0.37001622905395926, 0.3673490967785997, 0.36547558743256403, 0.3647311549486556, 0.3486507897579796, 0.3411355876426736, 0.3371461224680825]"
13,Cell Membranes,Walls,Human Body,7,"['Human Body', 'Skin System', 'life', 'The Nervous System', 'The Brain', 'How the Human Brain Works', 'Walls', 'sponge', 'respiration', 'Plants', 'Heart', 'Circuits', 'Buildings', 'Molecular Symmetry', 'Immunity', 'Ecosystem', 'CPU', 'memory', 'mind', 'Biological Evolution']","[0.46714036693766847, 0.45179926564700956, 0.45154638809716224, 0.4208416021023774, 0.3857663541512367, 0.35727651326521764, 0.3559935513958026, 0.3556872942225499, 0.3484676567311724, 0.3479885513357899, 0.34484854070603277, 0.3446933039450042, 0.3400705567389608, 0.33945178971627377, 0.3381083575772027, 0.33447353301820226, 0.3296331399041413, 0.32297683364246565, 0.321320216201801, 0.31883819833674004]"
14,Protein folding,a three-dimensional puzzle,Biological Evolution,-1,"['Biological Evolution', 'Origami', 'Chemical Reactions', 'bacterial mutation', 'Evolution', 'wrinkles', ""the factory's production line"", 'Molecular Symmetry', 'life', 'natural selection', 'Diseases', 'Deciphering the Code', 'Disease', 'Mathematical Calculations', 'Program Error', 'Planting', 'factory', 'Disassembly', 'program', 'Computer Processor']","[0.3449093665955959, 0.343656982367319, 0.33378553634048097, 0.3234674097792709, 0.3124787090132235, 0.3034435828305617, 0.2971326091424059, 0.29352308246376924, 0.29121112764264495, 0.29024936697519993, 0.28032420625611104, 0.27794243162105103, 0.2759035723319119, 0.27432942206676647, 0.27401081073779077, 0.2704023545444062, 0.2703487905056272, 0.26971396461100106, 0.2660999970471656, 0.26389476890277985]"
15,Photosynthesis,Power Generation,respiration,6,"['respiration', 'Plants', 'Burning Energy', 'life', 'Chemical Reactions', 'Power Generation', 'Planting', 'natural selection', 'Ecosystem', 'Human Body', 'Desert', 'Spread of Fire', 'Greenhouse', 'Solar Panels', 'Tree', 'engine', 'Greenhouses', 'day and night cycle', 'Biological Evolution', 'planet']","[0.5814711598199329, 0.5804268364541665, 0.4818325021167865, 0.454123515754924, 0.45064889419315757, 0.42284774021410687, 0.40822627382991133, 0.4034057503960094, 0.38080323604360244, 0.3770477037930934, 0.35914198449165646, 0.354142845556706, 0.35242216747464183, 0.3489031110354799, 0.3432504247769489, 0.34197823696737883, 0.3416745000345298, 0.3406009832490628, 0.3388191675573297, 0.33674518710130824]"
16,Platelets,Construction Workers,Human Body,-1,"['Human Body', 'Plants', 'sponge', 'Heart', 'The Brain', 'Skin System', 'How the Human Brain Works', 'wound', 'the skeletal system', 'The Nervous System', 'Healing', 'CPU', 'Printers Print Documents', 'Human Hands', 'Machines', 'Diseases', 'Computer Processor', 'River', 'life', 'A Pinball Game']","[0.47362301728968303, 0.3857391459405367, 0.3757087097054377, 0.3674012175992899, 0.3646277618461183, 0.36259123892346934, 0.3585048858589618, 0.3385677585939977, 0.3303130191702791, 0.32763478803447954, 0.3268603201031258, 0.31711016465753783, 0.30855269314154554, 0.2952330028929754, 0.29506753690699533, 0.2929119991423996, 0.29192489051766024, 0.29007423241521846, 0.28887629975498663, 0.2855884591066852]"
17,Genome,Operating System,life,-1,"['life', 'Biological Evolution', 'Deciphering the Code', 'Evolution', 'bacterial mutation', 'natural selection', 'Human Body', 'Families', 'The Brain', 'The Nervous System', 'Computer Code', 'Ecosystem', 'Crime Scene', 'code', 'ecosystem', 'family', 'Group Behavior', 'How the Human Brain Works', 'Urban Evolution', 'government']","[0.3864989645839854, 0.37399325790744553, 0.3730262622751793, 0.3629068848474698, 0.3569182049114231, 0.34671312726040343, 0.34609406742449433, 0.3428641833729453, 0.33928334368906105, 0.3358755760627906, 0.3357658903796211, 0.3347971929740435, 0.3308287030826482, 0.3302410501403946, 0.3190319216840355, 0.3180056709697553, 0.3164391969474598, 0.3116581634125434, 0.30715656330193, 0.30647296888099584]"
18,Brain,Computer Processor,The Brain,12,"['The Brain', 'How the Human Brain Works', 'The Nervous System', 'Human Body', 'Neural Networks', 'mind', 'The Neural Network of Computers', 'memory', 'human', 'CPU', 'Heart', 'Computer Processor', 'the skeletal system', 'life', 'Computer', 'Plants', 'Machines', 'respiration', 'atom', 'Biological Evolution']","[0.9234073982968606, 0.764752924392978, 0.6596265637137895, 0.5516707449706919, 0.5317034313474756, 0.5157218148943655, 0.49965649398116546, 0.4476792999001401, 0.4472798910119808, 0.44189464938839884, 0.42321907092155775, 0.40835480046070605, 0.39752749182801506, 0.3947337994029597, 0.3891003572863976, 0.37757201128010087, 0.3761875091527145, 0.3545630662563806, 0.35300324510829006, 0.3514045470460171]"
19,Nucleus,CPU,atom,4,"['atom', 'The Brain', 'The Nervous System', 'CPU', 'How the Human Brain Works', 'Reactor', 'Human Body', 'Computer Processor', 'nation', 'Plants', 'laboratory', 'Neural Networks', 'life', 'universe', 'memory', 'Heart', 'Burning Energy', 'The Neural Network of Computers', 'city', 'Circuits']","[0.5961316555242544, 0.4380306224386749, 0.4368275922194881, 0.42274041707707166, 0.3977476443389627, 0.38084498496549035, 0.3807554260221018, 0.37289846205114274, 0.3644404074751615, 0.3394560179358599, 0.33867011917097034, 0.32903259255798367, 0.3277316326211338, 0.3215108497847763, 0.31752667866809153, 0.3139958405340476, 0.3134434898708127, 0.31213005851678366, 0.30965406552727276, 0.3079225912907043]"
20,Biological Evolution,Urban Evolution,Biological Evolution,4,"['Biological Evolution', 'Evolution', 'natural selection', 'Urban Evolution', 'life', 'bacterial mutation', 'human', 'Ecosystem', 'Population Movement', 'Plants', 'The Brain', 'Families', 'Human Body', 'Diseases', 'competition', 'Chemical Reactions', 'universe', 'Neural Networks', 'ecosystem', 'Group Behavior']","[0.8760104829035047, 0.8408487434535723, 0.6755068347212072, 0.6108931554872028, 0.5309212039792095, 0.49034242645700776, 0.38152569613799536, 0.3694978410732426, 0.34936190032138964, 0.3378229983827212, 0.33347234364620454, 0.32780066735991364, 0.3276589114348319, 0.3274987751761195, 0.32477354715616885, 0.32222420967243753, 0.31994615196263176, 0.3099611748565387, 0.30920117808745917, 0.3088226680453034]"
21,DNA Replication,Printers Print Documents,the replicator,-1,"['the replicator', 'Biological Evolution', 'life', 'bacterial mutation', 'natural selection', 'Evolution', 'Chemical Reactions', 'laboratory', 'respiration', 'research', 'Healing', 'Building Repair', 'Molecular Symmetry', 'Printing', 'Deciphering the Code', 'code', 'Human Body', 'Diseases', 'program', 'Reactor']","[0.47340744130204987, 0.4470206205895513, 0.4316528276183328, 0.4311483413040261, 0.41852846594295456, 0.40867391587499885, 0.34803172637442614, 0.3463687509855131, 0.33879587078224704, 0.33812460897212626, 0.3352379828156813, 0.32682489006877297, 0.3178515568324217, 0.3138447694003659, 0.308061922206539, 0.3070284728748184, 0.30399920019448257, 0.29495304423913116, 0.28660738134713915, 0.28455992341800374]"
22,Food Chain,Supply Chain,Ecosystem,2,"['Ecosystem', 'Supply Chain', 'ecosystem', 'family', 'Families', 'The Hunt', 'Circular Economy', 'life', 'Burning Energy', 'Plants', 'eating dinner', 'Biological Evolution', 'competition', ""the factory's production line"", 'Information Flow', 'Fishing', 'Human Body', 'The Nervous System', 'Competition', 'River']","[0.5183492182599025, 0.5087223791040001, 0.4802566578110267, 0.40929579731702614, 0.4010118119795803, 0.3948345252907866, 0.37961684570565624, 0.37417890060080644, 0.3596967026555052, 0.3574111038145403, 0.3509600437832316, 0.34892394087951273, 0.3461489771934795, 0.34004501037332935, 0.3367648885952284, 0.33599856324601796, 0.33051712733786354, 0.3295660113031484, 0.3284020729668145, 0.32377572661857423]"
23,DNA Double Helix Structure,The Helix Bridge,The Helix Bridge,1,"['The Helix Bridge', 'Molecular Symmetry', 'Biological Evolution', 'natural selection', 'bacterial mutation', 'Evolution', 'atom', 'life', 'Human Body', 'Deciphering the Code', 'family', 'Disease', 'Families', 'Human Hands', 'Human Relationships', 'Pedigree Trees', 'house', 'How the Human Brain Works', 'Building Structure', 'human']","[0.37643437713495387, 0.34200265923178863, 0.3136567026736568, 0.30378256338972753, 0.3002915941171995, 0.28475665759110197, 0.2805559387110663, 0.26793456436488555, 0.2657280798899842, 0.24264764427036323, 0.2345290045169405, 0.23418115127464428, 0.23176000983013506, 0.23106711439047575, 0.23000457637144972, 0.22947246638377508, 0.22347601593117097, 0.22162387248199333, 0.21795369609745793, 0.2176690161521075]"
24,Food Chain,Information Flow,Ecosystem,18,"['Ecosystem', 'Supply Chain', 'ecosystem', 'The Hunt', 'life', 'Burning Energy', 'Biological Evolution', 'Circular Economy', 'family', 'respiration', 'Plants', 'Families', 'Human Body', ""the factory's production line"", 'The Nervous System', 'River', 'forest', 'Information Flow', 'competition', 'Circuits']","[0.5035697940152831, 0.49977682682868707, 0.47341804705661955, 0.41698618218487915, 0.38138078107309403, 0.3718864287215299, 0.3693976051312928, 0.3672035812238044, 0.3644092539957286, 0.3622199664915102, 0.3621526388441177, 0.35772032848682656, 0.34526254391752276, 0.33899381543949536, 0.33544407491961836, 0.33284343806009786, 0.3315387184764266, 0.33097837417794895, 0.3307410009084719, 0.32377455777849257]"
25,Cell Signaling,Electronic Signal Transmission,signal,3,"['signal', 'The Nervous System', 'Electronic Signal Transmission', 'Chemical Reactions', 'life', 'communication networks', 'Circuits', 'Disease', 'Human Body', 'Skin System', 'Healing', 'natural selection', 'code', 'Diseases', 'The Brain', 'Group Behavior', 'Biological Evolution', 'Supply Chain', 'Wave Propagation', 'Neural Networks']","[0.6337786075232592, 0.49557549925130195, 0.46015417729820696, 0.4411988509454366, 0.4095360848492129, 0.4047222097280945, 0.4036336857438948, 0.39829887643643475, 0.3946487861449207, 0.38309261787587867, 0.37412091589960383, 0.37056993554705064, 0.3660175609514576, 0.3648658030631554, 0.3606987458453852, 0.3582987016790687, 0.3518792046972733, 0.3436604645989068, 0.3411376243685767, 0.3387153808963157]"
26,Genetic Mutation,Typo,bacterial mutation,-1,"['bacterial mutation', 'Evolution', 'natural selection', 'Biological Evolution', 'Program Error', 'Diseases', 'Disease', 'Chemical Reactions', 'Urban Evolution', 'life', 'illness', 'Population Movement', 'code', 'edit', 'program', 'Computer Code', 'Immunity', 'crime', 'Deciphering the Code', 'Healing']","[0.5997964799899175, 0.5022196623262418, 0.4732277748014464, 0.4648868454411508, 0.4118881925633261, 0.3976933856325823, 0.3762986793998489, 0.3656542326114522, 0.3651799931080759, 0.34166866326578993, 0.33346586918304677, 0.31606232291545394, 0.31568124909246886, 0.3090532236729798, 0.3076908139338571, 0.29752167090692117, 0.2960302126161657, 0.29582392670469737, 0.29550614682104215, 0.29253267831949414]"
27,DNA Sequencing,The Puzzle,Biological Evolution,-1,"['Biological Evolution', 'bacterial mutation', 'natural selection', 'Evolution', 'Deciphering the Code', 'Crime Scene', 'life', 'laboratory', 'code', 'Pedigree Trees', 'Urban Evolution', 'Diseases', 'research', 'Drug Treatment', 'Disassembly', 'the replicator', 'Neural Networks', 'Disease', 'Sailing', 'Robotic Movement']","[0.40773779389224085, 0.3719446987816091, 0.3661310718650397, 0.36611300762094906, 0.3604123929113896, 0.34542710524856735, 0.3223198807658116, 0.30983785147927195, 0.299363150931133, 0.29534986390449974, 0.2839165342851006, 0.28334250692946983, 0.27039689846659726, 0.26039893755513427, 0.2593125333180345, 0.25605534911104144, 0.2554458395777661, 0.2532392344546903, 0.2510561728479229, 0.25080079525146975]"
28,Food Chain,Information Flow,Supply Chain,11,"['Supply Chain', 'Ecosystem', 'ecosystem', 'family', 'Families', 'Burning Energy', 'Circular Economy', 'life', 'The Hunt', ""the factory's production line"", 'Information Flow', 'Plants', 'Biological Evolution', 'Human Body', 'respiration', 'competition', 'The Nervous System', 'eating dinner', 'forest', 'line']","[0.5321771759853806, 0.4663093204952648, 0.4324627923615072, 0.39618774094338427, 0.38732316665765965, 0.3851605414958435, 0.37971107235618684, 0.37235978897894034, 0.3721625863328999, 0.37212936199758606, 0.34739813090737925, 0.3457432851254805, 0.3433784520068024, 0.3369422259530894, 0.3271588370807055, 0.3203279202586332, 0.31941256182344574, 0.3149367733228323, 0.31024687910353677, 0.3100732685574193]"
29,eye,camera,The Brain,5,"['The Brain', 'The Nervous System', 'How the Human Brain Works', 'Human Body', 'camera', 'blind', 'light', 'Blindness', 'Heart', 'Skin System', 'Circuits', 'Camera', 'Plants', 'life', 'mind', 'Neural Networks', 'Buildings', 'Human Hands', 'Machines', 'CPU']","[0.47587269585594283, 0.45533267050504816, 0.451510181087446, 0.44950184867301496, 0.4091601347233547, 0.39963049992323485, 0.39298012315790976, 0.3924490110197671, 0.39072777778569817, 0.36770627667242095, 0.35947813557577435, 0.3576512582539646, 0.3493035035027339, 0.3397462342762768, 0.33876372152867706, 0.330745888964773, 0.3186172003152011, 0.3183228445170665, 0.3130199328488623, 0.31200337755559543]"
30,The Process of History,Biological Evolution,Factory System,-1,"['Factory System', 'The Second Industrial Revolution', 'Planting', 'Chemical Reactions', 'Spread of Fire', 'Factory', 'engine', 'factory', 'Power Generation', 'Reactor', ""the factory's production line"", 'Urban Evolution', 'Urban Entropy Increase', 'innovation', 'Printing', 'Greenhouse', 'Baking', 'Building Repair', 'The Production Line of a Car Factory', 'air filter']","[0.3946070036184124, 0.37868668121963234, 0.36033509778913153, 0.33073948858173474, 0.32445271522729074, 0.32032989717126475, 0.30902829338539023, 0.3008982499703337, 0.29926528363966276, 0.29634531765967553, 0.2948771926640352, 0.29333488617793313, 0.2899611686321021, 0.28966837297559245, 0.28859802101947457, 0.28810755723461495, 0.27931412264329303, 0.2713821794751639, 0.26985244800529123, 0.2691420371557197]"
31,Gene Mutation,Program Error,bacterial mutation,5,"['bacterial mutation', 'Evolution', 'natural selection', 'Biological Evolution', 'Program Error', 'Urban Evolution', 'Disease', 'Diseases', 'life', 'Chemical Reactions', 'illness', 'code', 'Population Movement', 'Power Generation', 'program', 'Computer Code', 'Immunity', 'Families', 'engine', 'Spread of Fire']","[0.608057829211854, 0.5131067119855117, 0.46676614538349326, 0.44677529210557115, 0.3956280572441503, 0.3912220868633809, 0.3727634442516252, 0.3673856780084833, 0.3449193845699964, 0.3430190769820928, 0.32768487902453314, 0.32724894406579014, 0.3151383044547022, 0.30733213848221075, 0.30459382591498213, 0.3008731283808757, 0.29854920549422204, 0.2957592489897328, 0.29240445476825244, 0.2900374841079646]"
32,Cell Signaling,Electronic Signal Transmission,signal,3,"['signal', 'The Nervous System', 'Electronic Signal Transmission', 'Chemical Reactions', 'life', 'Human Body', 'Circuits', 'natural selection', 'Biological Evolution', 'Skin System', 'Disease', 'The Brain', 'Healing', 'code', 'Evolution', 'bacterial mutation', 'Diseases', 'Ecosystem', 'communication networks', 'laboratory']","[0.5751434966362585, 0.4795864650076972, 0.44715458919561474, 0.4228134848203467, 0.4216185077514671, 0.41744524369669317, 0.41575247774231144, 0.4012417727114338, 0.3970429534351756, 0.3899447695079812, 0.38537069291790915, 0.37795077335405314, 0.37295587553463017, 0.36675431292238947, 0.3629296418352882, 0.35151222677552896, 0.3500424112849395, 0.3458890918331684, 0.3456569744305963, 0.34511531746434837]"
33,Synaptic transmission between neurons,communication networks,The Nervous System,6,"['The Nervous System', 'The Brain', 'Neural Networks', 'The Neural Network of Computers', 'How the Human Brain Works', 'communication networks', 'signal', 'memory', 'Electronic Signal Transmission', 'Chemical Reactions', 'Circuits', 'mind', 'atom', 'Human Body', 'understanding', 'electromagnetic emission system', 'sounds', 'human', 'Human Relationships', 'The Writing System']","[0.5952806532020984, 0.5142705866721493, 0.4940224327135307, 0.47033154968104546, 0.4565854181555779, 0.4352976458404053, 0.4267915907600913, 0.4165446609834039, 0.39418953964959846, 0.38408939093911904, 0.36450511134485286, 0.3637416569206783, 0.3504870138746503, 0.3454071434909389, 0.3239040970049154, 0.3228984099626351, 0.3218683093842209, 0.31884023271239975, 0.3187704210907423, 0.3185240887213454]"
34,Cell division,the replicator,life,-1,"['life', 'Biological Evolution', 'Evolution', 'bacterial mutation', 'Plants', 'natural selection', 'Healing', 'Diseases', 'respiration', 'Chemical Reactions', 'Human Body', 'code', 'The Nervous System', 'Ecosystem', 'Molecular Symmetry', 'Families', 'Burning Energy', 'Disease', 'day and night cycle', 'ecosystem']","[0.4435361541956241, 0.43193006278470975, 0.4293639238118161, 0.40339689390029054, 0.38844909287080687, 0.37395634551745205, 0.35830960059831746, 0.3483486204127765, 0.3456458714744114, 0.3366108751090731, 0.3322109158314718, 0.3275952290246961, 0.3228255850767092, 0.30714478318644484, 0.30341405746021943, 0.2983107608510007, 0.2966571394464723, 0.29664085934860435, 0.29661416271376284, 0.29252743214588073]"
35,Nucleus,Bookshelf,The Brain,-1,"['The Brain', 'The Nervous System', 'How the Human Brain Works', 'atom', 'Human Body', 'CPU', 'Reactor', 'Computer Processor', 'Heart', 'Plants', 'laboratory', 'memory', 'life', 'nation', 'Neural Networks', 'Ecosystem', 'bacterial mutation', 'factory', 'Circuits', 'house']","[0.4521164462607151, 0.4454673673595336, 0.4402248132509349, 0.4385015630015238, 0.39279312450988196, 0.3915608568651734, 0.3644377802566583, 0.34891881893233034, 0.34369140593681974, 0.33997245533730314, 0.3301656721499757, 0.3290729901467662, 0.32445007278898147, 0.3237266625764984, 0.3041357351440938, 0.30109918714634687, 0.29914233999300477, 0.29841603599024236, 0.2974805357679164, 0.2928587382314156]"
36,Photosynthesis,Solar Panels,Plants,9,"['Plants', 'respiration', 'Burning Energy', 'Power Generation', 'Chemical Reactions', 'Greenhouse', 'life', 'Greenhouses', 'Solar Panels', 'Ecosystem', 'engine', 'Spread of Fire', 'Planting', 'ecosystem', 'heat', 'natural selection', 'day and night cycle', 'heat transfer', 'Desert', 'planet']","[0.5489958585151183, 0.5331555061371576, 0.463409828906417, 0.4608721779013956, 0.4573246119310051, 0.4049618437289043, 0.3887069998090471, 0.3853624669966046, 0.3838696831722205, 0.37623728003173107, 0.3679939249619137, 0.36099206485604485, 0.3534485127819784, 0.3440753452876425, 0.33916402757071795, 0.32952586074646095, 0.32789716648232603, 0.3247130582563591, 0.3149307143971203, 0.31248778067526534]"
37,Water Cycle,Transportation Systems,River,-1,"['River', 'Conservation of Water Flow', 'heat transfer', 'Water Wave Propagation', 'day and night cycle', 'Wave Propagation', 'Water pipe system', 'Ecosystem', 'tidal phenomena', 'Circular Economy', 'Human Body', 'ecosystem', 'Vortex', 'respiration', 'Circuits', 'life', 'heat', 'Chemical Reactions', 'Regulator', 'Information Flow']","[0.5291366610871987, 0.5212158412815004, 0.4740252974057727, 0.44990160216604747, 0.4397667230484676, 0.41984025048549256, 0.41280751991876297, 0.39452682658529487, 0.39006977241845453, 0.3862894087898602, 0.3862249174540804, 0.38385531245157256, 0.3803716988075576, 0.3786040387280296, 0.3682029063743718, 0.3601603320765867, 0.3481832206076755, 0.3283207281316114, 0.32344284393507783, 0.31783635536321153]"
