id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
11,Nervous System,Circuits,The Nervous System,19,"['The Nervous System', 'The Brain', 'Neural Networks', 'Skin System', 'The Neural Network of Computers', 'Operating System', 'Human Body', 'the skeletal system', 'How the Human Brain Works', 'Computer', 'Transportation Systems', 'The Writing System', 'Human Emotions', 'Disease', 'Immunity', 'Ecosystem', 'CPU', 'Computer Processor', 'Circuits', 'communication networks']","[0.9240899351125225, 0.548731150199401, 0.5119763392578112, 0.4894592182854856, 0.42591856067176703, 0.4133026013842563, 0.40804922870365534, 0.38047519290838244, 0.3767875119319859, 0.35619195480379107, 0.34271941678076073, 0.3293895089309207, 0.3259450201194328, 0.31772007081737497, 0.3170987293656711, 0.3162164126224125, 0.30997959020669225, 0.3034140922602628, 0.29617774902415284, 0.2945930547378981]",name_only,Nervous System,"The nervous system is a highly complex part of an animal that coordinates its actions and sensory information by transmitting signals to and from different parts of its body. It consists of two main parts, the central nervous system (CNS) and the peripheral nervous system (PNS), which are composed of neurons and other specialized cells called glial cells. Neurons have special structures that allow them to send signals rapidly and precisely to other cells through nerve fibers, while glial cells provide structural and metabolic support. The nervous system also contains ganglia where neuron cell bodies are located. The system functions to receive information, process it, and send appropriate signals to different parts of the body. Malfunction of the nervous system can result in various disorders, many of which are studied by neurology, a medical specialty. Neuroscience is the field of science that focuses on the study of the nervous system, including neurons, nerve fibers, and ganglia to gain insight into how information is processed and transmitted in the nervous system.",
12,Immune System,Army,Immunity,-1,"['Immunity', 'Skin System', 'The Nervous System', 'Human Body', 'The Brain', 'the skeletal system', 'Ecosystem', 'Disease', 'Operating System', 'Healing', 'Neural Networks', 'Diseases', 'Evolution', 'electromagnetic emission system', 'Firewall', 'Biological Evolution', 'Factory System', 'ecosystem', 'lubrication system', 'Computer']","[0.7018854249931326, 0.563506277772908, 0.5378176910709009, 0.4517861034875973, 0.3981930206085619, 0.3765982200270025, 0.3611093422744829, 0.35807130994741243, 0.329098600404638, 0.3250311597500135, 0.3246779967964348, 0.32166938644280485, 0.316545150609438, 0.3008416830487488, 0.30006646601646636, 0.2996829415036659, 0.2991894888707416, 0.296944373657465, 0.29376965055698, 0.2932249663985769]",name_only,Immune System,"The immune system is a complex network of biological processes that protect us from a wide range of pathogens, including viruses, bacteria, parasites, and cancer cells. It consists of two major subsystems: innate and adaptive immunity. The innate immune system provides a preconfigured response to broad groups of situations and stimuli, while the adaptive immune system provides a tailored response to each stimulus by learning to recognize molecules it has previously encountered. The adaptive immunity also creates an immunological memory leading to an enhanced response to subsequent encounters with that same pathogen, which is the basis of vaccination. The immune system involves different immune cells and regulatory organs and tissues, such as lymphoid tissue. Dysfunction of the immune system can lead to autoimmune diseases, inflammatory diseases, and cancer, while immunodeficiency can result in recurring and life-threatening infections. Immunology encompasses the study of all aspects of the immune system, including antibodies and their functions.",
13,Cell Membranes,Walls,Walls,1,"['Walls', 'Skin System', 'Chemical Reactions', 'Molecular Symmetry', 'Mirrors', 'Plants', 'Circuits', 'Neural Networks', 'Families', 'Financial Markets', 'communication networks', 'Machines', 'The Brain', 'Immunity', 'Human Body', 'Bridge', 'Diseases', 'Human Emotions', 'Transportation Systems', 'Human Relationships']","[0.36262529359112183, 0.3433476773410551, 0.33676025848446633, 0.3367546122061875, 0.33428451357334255, 0.3216335845597787, 0.3198166268764019, 0.31659183728878865, 0.3029667302917948, 0.29567794326306496, 0.29089811557250833, 0.29040757477206036, 0.2817852495902331, 0.27153328955988776, 0.2681166979886359, 0.2661634414104201, 0.26475615539645203, 0.26286540111488205, 0.26161634745657725, 0.25964216479659635]",name_only,Cell Membranes,"The cell membrane is a crucial component of any living cell, serving as a protective barrier that separates the interior from the outside environment. Composed of a lipid bilayer interspersed with cholesterols and a variety of proteins and glycolipids, the membrane is selectively permeable, controlling the movement of substances in and out of the cell. In addition, it plays a critical role in several cellular processes including cell adhesion, ion conductivity, and cell signaling. It is also responsible for maintaining appropriate membrane fluidity at various temperatures. Furthermore, in the field of synthetic biology, cell membranes can be artificially reassembled. Overall, the cell membrane is a complex and essential structure that is vital to the survival and function of all living cells.",
14,Protein folding,a three-dimensional puzzle,Origami,16,"['Origami', 'Molecular Symmetry', 'Baking', 'Evolution', '3D Projection', 'Disassembly', 'Cooking', 'bacterial mutation', 'Solving Puzzles', 'wrinkles', 'Biological Evolution', ""Rubik's Cube"", 'A Puzzle', 'The Puzzle', 'Reactor', 'a three-dimensional puzzle', 'Factory', 'Chemical Reactions', 'Building Structure', 'Computer Processor']","[0.4044060367626099, 0.32854857068111365, 0.3170472756542419, 0.30096188510911565, 0.28526106637112697, 0.27949597795340375, 0.27817666479858566, 0.2688759733711506, 0.26464856985844176, 0.2638099677152297, 0.2622336238039301, 0.2587324841733796, 0.2494220816826323, 0.24798679632564374, 0.24564454346029774, 0.24101172292078776, 0.2379775202433893, 0.2369681901389778, 0.23482636744881524, 0.23309133559569237]",name_only,Protein folding,"Protein folding is the process by which a linear chain of amino acids, generated from mRNA, is transformed into the biologically functional three-dimensional structure of a protein. The folding process is essential to the function of the protein, which can only occur in its stable, native state. The amino acid sequence determines the final folded structure of the protein, although protein dynamics play a role in some functional proteins. Misfolded proteins can lead to diseases like neurodegeneration, and allergies can be caused by proteins that are incorrectly folded. The folding duration is protein-specific, with some smaller proteins folding in a single step while larger proteins may require hours. Understanding the mechanism of protein folding has been a significant challenge for computational biology.",
15,Photosynthesis,Power Generation,respiration,7,"['respiration', 'Plants', 'Solar Panels', 'Sun Protection', 'Greenhouse', 'Planting', 'Power Generation', 'Greenhouses', 'Burning Energy', 'Wind Power', 'Evolution', 'Chemical Reactions', 'Ecosystem', 'Sunrise', 'Baking', 'Spring', 'Reactor', 'light', 'Cooking', 'Makeup']","[0.4859477585124707, 0.46394158951850634, 0.4486448025263946, 0.41540625360420114, 0.38756199832072924, 0.38411222225048836, 0.3748606108783911, 0.36657502292377664, 0.3634060094291384, 0.3597002867792024, 0.35590235867836756, 0.3554550063856932, 0.3403151296510602, 0.3262222753809484, 0.3112744814569355, 0.30873750322169513, 0.3071656389849673, 0.298697453298446, 0.29420332956868667, 0.2923043944767477]",name_only,Photosynthesis,"Photosynthesis is a crucial process that takes place within plants and various other organisms to convert light energy into chemical energy, which can later be released to fuel the organism's activities. Through the process of photosynthesis, carbon dioxide and water are synthesized into carbohydrate molecules such as sugars and starches, which are essential for the organism's survival. Chlorophyll, a pigment responsible for absorbing light, plays a central role in this process, which takes place in organelles called chloroplasts in plant cells. The process of photosynthesis is essential for maintaining the oxygen content of the Earth's atmosphere and providing the energy necessary for life on Earth. It is an intricate process that involves light-dependent reactions, which generate oxygen and energy carriers such as NADPH and ATP, and light-independent reactions, which use these energy carriers to synthesize sugars such as glucose. The discovery of photosynthesis has played an immense role in scientific advancements and our understanding of the natural world.",
16,Platelets,Construction Workers,Plants,-1,"['Plants', 'Printers', 'Balloons', 'planet', 'Heart', 'Blankets', 'sponge', 'kirigami', 'Diseases', 'Machines', 'atom', 'object slides', 'A Pinball Game', 'Crowd', 'engine', 'Mirrors', 'Healing', 'Reactor', 'lift', 'Printing']","[0.38756239615479937, 0.3054672887227273, 0.29192318897870617, 0.274119831327942, 0.27385547022955464, 0.2713079098710505, 0.2703375360274888, 0.26240550688189906, 0.26091880823841496, 0.2587987737870838, 0.25839407032962625, 0.2488887952720115, 0.2394142010843343, 0.2383603821621189, 0.23645699374386292, 0.23618761603341007, 0.23545891470627456, 0.23469744890918487, 0.23234052491580984, 0.2314538806576708]",name_only,Platelets,"Platelets are a crucial component of the human body's blood system. Their main function, along with coagulation factors, is to react to bleeding caused by damaged tissue or blood vessel injury by clumping and forming a blood clot. Platelets are derived from megakaryocytes found in the bone marrow or lung and circulate in the blood. Unlike other vertebrates, platelets are found only in mammals. When damage to the endothelium occurs, platelets attach to substances outside the injured tissue and aggregate in a process known as primary hemostasis. This leads to the formation of a platelet plug that can activate the coagulation cascade, resulting in fibrin deposition and linking, or secondary hemostasis. Platelets also play a role in the body's immune response to intravascular pathogens.",
17,Genome,Operating System,Evolution,8,"['Evolution', 'Ecosystem', 'Human Body', 'Computer Code', 'The Brain', 'Biological Evolution', 'Disease', 'Operating System', 'universe', 'ecosystem', 'Dictionary', 'Skin System', 'atom', 'Alphabet', 'Families', 'planet', 'mind', 'code', 'line', 'program']","[0.4196193225731989, 0.4020912074337505, 0.38037146227280116, 0.3772049309647012, 0.3718840693030973, 0.36067023133209963, 0.3575510409118273, 0.3535051969336135, 0.3516276268904235, 0.34670478966711504, 0.34333957911787416, 0.34028997051744, 0.33415187301998084, 0.33072125981985895, 0.3306405694752938, 0.32975519589531505, 0.32849231920462635, 0.32503580692584744, 0.32028810354105497, 0.3166408824472544]",name_only,Genome,"A genome is a complete set of genetic information of an organism, consisting of DNA or RNA sequences. It includes various regions of the genome, such as regulatory sequences, non-coding DNA, and even junk DNA. Genomics is the study of genomes, and it has allowed scientists to sequence the genomes of many organisms, which has been a significant step forward in the fields of molecular biology and genetics. The genome contains important information for the organism's survival, such as protein-coding genes and control sequences. Despite the initial limitations to fully sequence the human genome, advances in sequencing technologies have made it possible to sequence the entire human genome in recent years, allowing for a better understanding of human genetics and disease.",
18,Brain,Computer Processor,The Brain,-1,"['The Brain', 'mind', 'CPU', 'Heart', 'Computer', 'memory', 'How the Human Brain Works', 'The Nervous System', 'Tree', 'Human Body', 'engine', 'River', 'blind', 'atom', 'Bridge', 'Building', 'ideas', 'human', 'Architecture', 'sounds']","[0.585500488694908, 0.4985993514119328, 0.48772981664048054, 0.46645276668264124, 0.4592483607359175, 0.4422658349964745, 0.42026810005184495, 0.39400861281770094, 0.39127969226062403, 0.38414289479095043, 0.3734842065853094, 0.3708305837051938, 0.36399159884975996, 0.3541738548119186, 0.34782220036265277, 0.3469425657260329, 0.3444458509915407, 0.3398751332033487, 0.3370788432032862, 0.335819277279768]",name_only,Brain,"The brain is one of the most complex organs in the body, serving as the center of the nervous system for all vertebrate and most invertebrate animals. It is made up of billions of neurons connected by synapses, which work together to generate patterns of muscle activity and drive the secretion of hormones. The brain allows for sophisticated purposeful control of behavior based on complex sensory input, which requires the information integrating capabilities of a centralized brain. The operations of individual brain cells are now understood in considerable detail, but the way they cooperate in ensembles of millions is yet to be solved. Despite this, recent models in modern neuroscience treat the brain as a biological computer. Overall, the study of the brain compares the properties of brains across the entire range of animal species, with a focus on vertebrates. This article covers the way the brain stimulates the rest of the body, how neurons work together, and how the brain operates as a complex system.",
19,Nucleus,CPU,The Brain,3,"['The Brain', 'The Nervous System', 'CPU', 'Reactor', 'Neural Networks', 'mind', 'Heart', 'atom', 'Computer Processor', 'memory', 'City', 'Human Body', 'resonance cavity', 'Operating System', 'Vortex', 'Social Circle', 'Building Structure', 'universe', 'planet', 'city']","[0.40014399960011426, 0.37437235798163204, 0.3664866025401367, 0.35942352622475815, 0.3107268531273186, 0.30806994738968324, 0.30266682326084143, 0.30107373245633595, 0.29514560059800743, 0.293076932954624, 0.29039797655215815, 0.2842968965247136, 0.2835575519462089, 0.2739873142183084, 0.27189698474902824, 0.2685202349521682, 0.2676672296863525, 0.26554068513036666, 0.26334877812432445, 0.26194354538731063]",name_only,Nucleus,"Nucleus is a term used to describe the central and essential component of both an atom and a eukaryotic cell. In the case of an atom, the nucleus is the small, dense region containing positively charged protons and uncharged neutrons. This is where most of an atom's mass and all of its positive charge can be found. In a eukaryotic cell, the nucleus serves as the central organelle that contains the cell's genetic information in the form of DNA. This is where important biochemical reactions occur within the cell, enabling it to carry out vital functions necessary for an organism's survival. Overall, the nucleus plays a fundamental role in both the atom and the cell, serving as their primary source of structure and function.",
20,Biological Evolution,Urban Evolution,Biological Evolution,4,"['Biological Evolution', 'Evolution', 'natural selection', 'Urban Evolution', 'Human Body', 'Human Relationships', 'Population Movement', 'bacterial mutation', 'Disease', 'Chemical Reactions', 'Skin System', 'Neural Networks', 'Ecosystem', 'Pedigree Trees', 'Group Behavior', 'The Brain', 'Diseases', 'Archeology', 'Molecular Symmetry', 'How the Human Brain Works']","[0.9999993397808304, 0.7310649289860971, 0.4705237803925667, 0.39769606120183065, 0.3334587818653912, 0.32729170720061085, 0.32361655168950404, 0.3225951921160184, 0.31595487526270777, 0.30889065762045864, 0.30068908617329704, 0.2964760048838532, 0.29401987436448696, 0.2912233671354084, 0.2911725785981949, 0.2847652411166453, 0.28017623778580836, 0.2777621642128224, 0.2776388736447542, 0.26895395389737436]",name_only,Biological Evolution,"Biological evolution is a process of change that occurs over successive generations in biological populations. This change is driven by genetic variation that exists within the population due to genetic mutation and recombination. The process is governed by evolutionary pressures such as natural selection and genetic drift, resulting in certain characteristics becoming more common or rare within the population. The theory of evolution by natural selection was conceived by Charles Darwin and Alfred Russel Wallace and is established by observable facts about living organisms. All life on Earth—including humanity—shares a last universal common ancestor, which lived approximately 3.5–3.8 billion years ago. Existing patterns of biodiversity have been shaped by repeated formations of new species, changes within species, and loss of species throughout the evolutionary history of life on Earth. Evolutionary biologists continue to study various aspects of evolution by forming and testing hypotheses based on evidence from the field or laboratory. The discoveries made in this field have influenced numerous scientific and industrial areas, including agriculture, medicine, and computer science.",
