id,target,gold_source,predicted_rank_1,gold_rank,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
11,Nervous System,Circuits,The Nervous System,20,"['The Nervous System', 'The Brain', 'Neural Networks', 'Skin System', 'The Neural Network of Computers', 'Operating System', 'Human Body', 'the skeletal system', 'How the Human Brain Works', 'Computer', 'Transportation Systems', 'The Writing System', 'Human Emotions', 'Disease', 'Immunity', 'Ecosystem', 'CPU', 'Computer Processor', 'communication networks', 'Circuits']","[0.9240899283873447, 0.5487370029766643, 0.5120015415451662, 0.4893962159592106, 0.42599548613968363, 0.4133708269548429, 0.4080934279687734, 0.38053290867871803, 0.3768555577420185, 0.3561813406415385, 0.3427778108578502, 0.3294379855321168, 0.32687959740991646, 0.31778062410560304, 0.31708375379610754, 0.316261330123616, 0.31003005559401864, 0.3034753158045561, 0.29864758602161173, 0.29617601204771304]",name_properties,Nervous System,"The nervous system is a highly complex part of an animal that coordinates its actions and sensory information by transmitting signals to and from different parts of its body. It consists of two main parts, the central nervous system (CNS) and the peripheral nervous system (PNS), which are composed of neurons and other specialized cells called glial cells. Neurons have special structures that allow them to send signals rapidly and precisely to other cells through nerve fibers, while glial cells provide structural and metabolic support. The nervous system also contains ganglia where neuron cell bodies are located. The system functions to receive information, process it, and send appropriate signals to different parts of the body. Malfunction of the nervous system can result in various disorders, many of which are studied by neurology, a medical specialty. Neuroscience is the field of science that focuses on the study of the nervous system, including neurons, nerve fibers, and ganglia to gain insight into how information is processed and transmitted in the nervous system.",
12,Immune System,Army,Immunity,-1,"['Immunity', 'Skin System', 'The Nervous System', 'Human Body', 'The Brain', 'the skeletal system', 'Ecosystem', 'Disease', 'Operating System', 'Healing', 'Neural Networks', 'Diseases', 'Evolution', 'electromagnetic emission system', 'Firewall', 'Biological Evolution', 'Factory System', 'ecosystem', 'lubrication system', 'Computer']","[0.7019411170223231, 0.5632910371374148, 0.5377431013408684, 0.4518063275449699, 0.39819093172871955, 0.37648172099045135, 0.36117598231039066, 0.35811103740566846, 0.32909274833438473, 0.3250171637886736, 0.32471459931240393, 0.3215840095417382, 0.3165174148021511, 0.3007403712902981, 0.30013138448191834, 0.29975684658644947, 0.2990912848208667, 0.2969898807138286, 0.29377221149671134, 0.2932584851157846]",name_properties,Immune System,"The immune system is a complex network of biological processes that protect us from a wide range of pathogens, including viruses, bacteria, parasites, and cancer cells. It consists of two major subsystems: innate and adaptive immunity. The innate immune system provides a preconfigured response to broad groups of situations and stimuli, while the adaptive immune system provides a tailored response to each stimulus by learning to recognize molecules it has previously encountered. The adaptive immunity also creates an immunological memory leading to an enhanced response to subsequent encounters with that same pathogen, which is the basis of vaccination. The immune system involves different immune cells and regulatory organs and tissues, such as lymphoid tissue. Dysfunction of the immune system can lead to autoimmune diseases, inflammatory diseases, and cancer, while immunodeficiency can result in recurring and life-threatening infections. Immunology encompasses the study of all aspects of the immune system, including antibodies and their functions.",
13,Cell Membranes,Walls,Walls,1,"['Walls', 'Skin System', 'Chemical Reactions', 'Molecular Symmetry', 'Mirrors', 'Plants', 'Circuits', 'Neural Networks', 'Families', 'communication networks', 'Financial Markets', 'Machines', 'The Brain', 'Immunity', 'Human Body', 'Bridge', 'Diseases', 'Transportation Systems', 'Human Emotions', 'Human Relationships']","[0.36262529359112183, 0.3433519068581362, 0.33676025848446633, 0.3367546122061875, 0.33428451357334255, 0.3216335845597787, 0.3198166268764019, 0.31669168593796243, 0.302998581568922, 0.2968495295699607, 0.2956503262008665, 0.29040757477206036, 0.28174595433020727, 0.2715055761029639, 0.26812556915331553, 0.26619837283461945, 0.2646729303597699, 0.26166923198541087, 0.2605089807844835, 0.2591760143577701]",name_properties,Cell Membranes,"The cell membrane is a crucial component of any living cell, serving as a protective barrier that separates the interior from the outside environment. Composed of a lipid bilayer interspersed with cholesterols and a variety of proteins and glycolipids, the membrane is selectively permeable, controlling the movement of substances in and out of the cell. In addition, it plays a critical role in several cellular processes including cell adhesion, ion conductivity, and cell signaling. It is also responsible for maintaining appropriate membrane fluidity at various temperatures. Furthermore, in the field of synthetic biology, cell membranes can be artificially reassembled. Overall, the cell membrane is a complex and essential structure that is vital to the survival and function of all living cells.",
14,Protein folding,a three-dimensional puzzle,Origami,16,"['Origami', 'Molecular Symmetry', 'Baking', 'Evolution', '3D Projection', 'Disassembly', 'Cooking', 'bacterial mutation', 'Solving Puzzles', 'wrinkles', 'Biological Evolution', ""Rubik's Cube"", 'A Puzzle', 'The Puzzle', 'Reactor', 'a three-dimensional puzzle', 'Factory', 'Chemical Reactions', 'Building Structure', 'Computer Processor']","[0.40453831349154956, 0.3285980469747245, 0.31709528406078163, 0.30105658566718674, 0.28534303023125435, 0.27952962824082, 0.2783139067367306, 0.26894225256886073, 0.2647161777021185, 0.26377689201415, 0.26221579975005654, 0.25880084176354823, 0.24950683741045637, 0.24805637486671195, 0.24563589389054885, 0.24104297169312844, 0.2379761299121871, 0.23704502617275108, 0.23483978040158016, 0.23329223934246165]",name_properties,Protein folding,"Protein folding is the process by which a linear chain of amino acids, generated from mRNA, is transformed into the biologically functional three-dimensional structure of a protein. The folding process is essential to the function of the protein, which can only occur in its stable, native state. The amino acid sequence determines the final folded structure of the protein, although protein dynamics play a role in some functional proteins. Misfolded proteins can lead to diseases like neurodegeneration, and allergies can be caused by proteins that are incorrectly folded. The folding duration is protein-specific, with some smaller proteins folding in a single step while larger proteins may require hours. Understanding the mechanism of protein folding has been a significant challenge for computational biology.",
15,Photosynthesis,Power Generation,respiration,7,"['respiration', 'Plants', 'Solar Panels', 'Sun Protection', 'Greenhouse', 'Planting', 'Power Generation', 'Greenhouses', 'Burning Energy', 'Wind Power', 'Evolution', 'Chemical Reactions', 'Ecosystem', 'Sunrise', 'Baking', 'Spring', 'Reactor', 'light', 'Cooking', 'Makeup']","[0.4860056563132111, 0.464079667651994, 0.4485702985597527, 0.41537672984664237, 0.3875973626667807, 0.3841623171446925, 0.3748822299173607, 0.3666469967896222, 0.3634075690641896, 0.3597184263351671, 0.35596524721814027, 0.3555255669732633, 0.34034335905304786, 0.3262681630124674, 0.3113592428900236, 0.30875172095339076, 0.3072259090766364, 0.2987080794953439, 0.29425585907952456, 0.29235342137030945]",name_properties,Photosynthesis,"Photosynthesis is a crucial process that takes place within plants and various other organisms to convert light energy into chemical energy, which can later be released to fuel the organism's activities. Through the process of photosynthesis, carbon dioxide and water are synthesized into carbohydrate molecules such as sugars and starches, which are essential for the organism's survival. Chlorophyll, a pigment responsible for absorbing light, plays a central role in this process, which takes place in organelles called chloroplasts in plant cells. The process of photosynthesis is essential for maintaining the oxygen content of the Earth's atmosphere and providing the energy necessary for life on Earth. It is an intricate process that involves light-dependent reactions, which generate oxygen and energy carriers such as NADPH and ATP, and light-independent reactions, which use these energy carriers to synthesize sugars such as glucose. The discovery of photosynthesis has played an immense role in scientific advancements and our understanding of the natural world.",
16,Platelets,Construction Workers,Plants,-1,"['Plants', 'Printers', 'Balloons', 'planet', 'Heart', 'Blankets', 'sponge', 'kirigami', 'Diseases', 'Machines', 'atom', 'object slides', 'A Pinball Game', 'Crowd', 'engine', 'Mirrors', 'Healing', 'Reactor', 'lift', 'Printing']","[0.3875921535600215, 0.3055340617462964, 0.29208598146432463, 0.27421698994214283, 0.27389315242434564, 0.2714875149817894, 0.27036674542674793, 0.26236516819464095, 0.26092038484793934, 0.25885106727104545, 0.2583863510354637, 0.24887126446362895, 0.2394425183720067, 0.23830536552970114, 0.23649024637312113, 0.23620160339799878, 0.23540393535497509, 0.2347039572511293, 0.23238336670454723, 0.23140627549152337]",name_properties,Platelets,"Platelets are a crucial component of the human body's blood system. Their main function, along with coagulation factors, is to react to bleeding caused by damaged tissue or blood vessel injury by clumping and forming a blood clot. Platelets are derived from megakaryocytes found in the bone marrow or lung and circulate in the blood. Unlike other vertebrates, platelets are found only in mammals. When damage to the endothelium occurs, platelets attach to substances outside the injured tissue and aggregate in a process known as primary hemostasis. This leads to the formation of a platelet plug that can activate the coagulation cascade, resulting in fibrin deposition and linking, or secondary hemostasis. Platelets also play a role in the body's immune response to intravascular pathogens.",
17,Genome,Operating System,Evolution,8,"['Evolution', 'Ecosystem', 'Human Body', 'Computer Code', 'The Brain', 'Biological Evolution', 'Disease', 'Operating System', 'universe', 'ecosystem', 'Dictionary', 'Skin System', 'atom', 'Alphabet', 'Families', 'planet', 'mind', 'code', 'line', 'program']","[0.4195364037512316, 0.4020912074337505, 0.3803589276298704, 0.377204617860016, 0.37189856232776, 0.3606701697329139, 0.3576485538745226, 0.3535051969336135, 0.3516276268904235, 0.34670478966711504, 0.34336885826227903, 0.34012437702444565, 0.33415187301998084, 0.33072125981985895, 0.33060203275245503, 0.32975519589531505, 0.3285836416742105, 0.3250622464200678, 0.320239695031555, 0.3166408824472544]",name_properties,Genome,"A genome is a complete set of genetic information of an organism, consisting of DNA or RNA sequences. It includes various regions of the genome, such as regulatory sequences, non-coding DNA, and even junk DNA. Genomics is the study of genomes, and it has allowed scientists to sequence the genomes of many organisms, which has been a significant step forward in the fields of molecular biology and genetics. The genome contains important information for the organism's survival, such as protein-coding genes and control sequences. Despite the initial limitations to fully sequence the human genome, advances in sequencing technologies have made it possible to sequence the entire human genome in recent years, allowing for a better understanding of human genetics and disease.",
18,Brain,Computer Processor,The Brain,-1,"['The Brain', 'mind', 'CPU', 'Heart', 'Computer', 'memory', 'How the Human Brain Works', 'The Nervous System', 'Tree', 'Human Body', 'engine', 'River', 'blind', 'atom', 'Bridge', 'Building', 'ideas', 'human', 'Architecture', 'sounds']","[0.5856112701650281, 0.49854568654681897, 0.48764489376583603, 0.4663582039971171, 0.4592460322083678, 0.44233968053597533, 0.42026395610679046, 0.394123363082546, 0.39128045178663506, 0.38412041763656557, 0.3735230717451822, 0.3708338623554593, 0.3640275423360172, 0.3542588172408614, 0.3478094545404136, 0.3469379746247242, 0.34442338876383155, 0.33989326120899976, 0.3371837086988164, 0.335878589318235]",name_properties,Brain,"The brain is one of the most complex organs in the body, serving as the center of the nervous system for all vertebrate and most invertebrate animals. It is made up of billions of neurons connected by synapses, which work together to generate patterns of muscle activity and drive the secretion of hormones. The brain allows for sophisticated purposeful control of behavior based on complex sensory input, which requires the information integrating capabilities of a centralized brain. The operations of individual brain cells are now understood in considerable detail, but the way they cooperate in ensembles of millions is yet to be solved. Despite this, recent models in modern neuroscience treat the brain as a biological computer. Overall, the study of the brain compares the properties of brains across the entire range of animal species, with a focus on vertebrates. This article covers the way the brain stimulates the rest of the body, how neurons work together, and how the brain operates as a complex system.",
19,Nucleus,CPU,The Brain,3,"['The Brain', 'The Nervous System', 'CPU', 'Reactor', 'Neural Networks', 'mind', 'Heart', 'atom', 'Computer Processor', 'memory', 'City', 'Human Body', 'resonance cavity', 'Operating System', 'Vortex', 'Social Circle', 'Building Structure', 'universe', 'planet', 'city']","[0.4002265824663597, 0.3743758594747193, 0.3664803674205054, 0.35942352622475815, 0.3107573483799164, 0.3081048203089499, 0.3026181496968571, 0.30107373245633595, 0.29527235198108165, 0.293076932954624, 0.29033094650671176, 0.28431901262190695, 0.2835575519462089, 0.2739873142183084, 0.27189698474902824, 0.2685202349521682, 0.267704025137749, 0.26554068513036666, 0.26334877812432445, 0.26194144899211125]",name_properties,Nucleus,"Nucleus is a term used to describe the central and essential component of both an atom and a eukaryotic cell. In the case of an atom, the nucleus is the small, dense region containing positively charged protons and uncharged neutrons. This is where most of an atom's mass and all of its positive charge can be found. In a eukaryotic cell, the nucleus serves as the central organelle that contains the cell's genetic information in the form of DNA. This is where important biochemical reactions occur within the cell, enabling it to carry out vital functions necessary for an organism's survival. Overall, the nucleus plays a fundamental role in both the atom and the cell, serving as their primary source of structure and function.",
20,Biological Evolution,Urban Evolution,Biological Evolution,4,"['Biological Evolution', 'Evolution', 'natural selection', 'Urban Evolution', 'Human Body', 'Human Relationships', 'Population Movement', 'bacterial mutation', 'Disease', 'Chemical Reactions', 'Skin System', 'Neural Networks', 'Ecosystem', 'Pedigree Trees', 'Group Behavior', 'The Brain', 'Diseases', 'Archeology', 'Molecular Symmetry', 'How the Human Brain Works']","[0.9999993397808303, 0.7311200680380727, 0.4704305468284194, 0.39778485887352844, 0.33345732673705636, 0.3268350209779255, 0.3237170076438965, 0.3227059741681553, 0.31607284876493774, 0.3089371886771607, 0.3006096158190165, 0.29652991758704517, 0.29402782843874353, 0.291210996090268, 0.2911767689538437, 0.28479185538525204, 0.2800985911214182, 0.27772353172273767, 0.27766544720166964, 0.2689552420512561]",name_properties,Biological Evolution,"Biological evolution is a process of change that occurs over successive generations in biological populations. This change is driven by genetic variation that exists within the population due to genetic mutation and recombination. The process is governed by evolutionary pressures such as natural selection and genetic drift, resulting in certain characteristics becoming more common or rare within the population. The theory of evolution by natural selection was conceived by Charles Darwin and Alfred Russel Wallace and is established by observable facts about living organisms. All life on Earth—including humanity—shares a last universal common ancestor, which lived approximately 3.5–3.8 billion years ago. Existing patterns of biodiversity have been shaped by repeated formations of new species, changes within species, and loss of species throughout the evolutionary history of life on Earth. Evolutionary biologists continue to study various aspects of evolution by forming and testing hypotheses based on evidence from the field or laboratory. The discoveries made in this field have influenced numerous scientific and industrial areas, including agriculture, medicine, and computer science.",
