target,source1,source2,similarity,num_sources_for_target
Photosynthesis,Power Generation,Solar Panels,0.41663946291079657,2
Poetry,Music,Bridge,0.3226167825385264,2
Pride and Prejudice,The Old Man and the Sea,A Dream of Red Mansions,0.24024279175364663,2
Reform Movement of 1898,Revolution of 1911,New Culture Movement,0.3208363024099231,2
Respiratory system,engine,Air handling system,0.18494955622674045,3
Respiratory system,engine,air circulation ducts,0.019621637691835947,3
Respiratory system,Air handling system,air circulation ducts,0.4952781741298711,3
Spectral Lines,Musical Notes,Musical Notes,1.0000000496046502,2
The Discovery of the Cape of Good Hope,The Discovery of America,The Discovery of India,0.5747050585496719,2
Tight-Bind Approximation,Social Circle,Taylor Expansion,0.061024061901196094,2
Water Cycle,Circular Economy,Transportation Systems,0.3339868850672286,2
Westernization Movement,Reform Movement of 1898,The Revolution of 1911,0.5746429847618275,3
Westernization Movement,Reform Movement of 1898,New Culture Movement,0.4712316627605026,3
Westernization Movement,The Revolution of 1911,New Culture Movement,0.3065846531727094,3
battle,debate,illness,0.20700239671904785,2
blood circulation system,Water pipe system,Water pipe system,0.9999999900000002,2
building,theory,family,0.30826395441781823,3
building,theory,theory,1.0000001092092885,3
building,family,theory,0.30826395441781823,3
cell,house,program,0.32292860423455066,3
cell,house,factory,0.3871603271392152,3
cell,program,factory,0.3951742609560943,3
disease,poverty,crime,0.3955506282560971,2
family,nation,state,0.5038680979886628,2
food,idea,idea,0.9999999900000002,2
game,politics,marriage,0.3645882787359068,2
hunt,research,business,0.38812395542166267,2
journey,education,illness,0.27845713556986545,4
journey,education,love,0.31801198510279816,4
journey,education,career,0.6018961966582996,4
journey,illness,love,0.29716218991915266,4
journey,illness,career,0.3365463185359964,4
journey,love,career,0.33256560231475535,4
liquid,money,knowledge,0.43103342817333884,2
machine,mind,politics,0.33550768755144783,2
theatre,life,politics,0.4406690851490495,2
train,society,signal,0.30766387319841626,2
virus,code,crime,0.3259532613317596,2
war,argument,sport,0.3296396008382112,4
war,argument,argument,0.9999999900000002,4
war,argument,business,0.37372946365467313,4
war,sport,argument,0.3296396008382112,4
war,sport,business,0.4604054690567161,4
war,argument,business,0.37372946365467313,4
waves,sounds,sounds,0.9999999900000002,2
