id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
39,Earth,Human Body,['Human Body'],heat,-1,0,[],[],"['heat', 'planet', 'Construction Work', 'universe', 'A Pinball Game', 'Seismic Imaging', 'Cooking', 'gas molecules', 'Archeology', 'Friction', 'sounds', 'Reactor', 'tidal phenomena', 'Greenhouse', 'heat transfer', 'Dust Storm', 'life', 'Urban Evolution', 'forest', 'Burning Energy']","[0.39217213394782335, 0.38756801730817375, 0.3082084131822993, 0.30123641602180995, 0.30093848934119466, 0.3007932404757383, 0.2966746055303441, 0.29591404556397904, 0.29110001610093433, 0.2907100574528091, 0.29036472113236067, 0.2899179696341445, 0.2850672729758053, 0.28356919729817304, 0.2826158434138488, 0.28228248383543975, 0.28122740763372334, 0.27543212390985927, 0.2745374146547854, 0.27362472330515575]",name_properties,"Earth. J, volcanic activity, magma, climate change, Earth's core","Earth is the third planet from the Sun and teems with life, making it a unique and precious outlier in the vast universe. Comprising mainly of liquid surface water, extensive oceans, and ice sheets, the planet offers a wide range of habitable ecosystems. Its landmass, which consists of continents and islands, is widely covered with vegetation, fostering a diverse web of life. While Earth's physical features are constantly impacted by volcanic activity, magma flow, and tectonic plate movements, its magnetic field resists harmful solar winds and cosmic radiation. The planet's atmosphere, consisting primarily of nitrogen and oxygen, supports Earth's surface conditions, protects it from meteoroids and UV-light, and generates precipitation, thus contributing to the water cycle. The Earth's climate system is propelled by differences in solar energy input and leads to varying weather phenomena, which play a vital role in maintaining the planet's natural balance. However, over the last few years, human activities have resulted in unprecedented levels of climate change, leading to environmental degradation and loss of habitat for many species. While the core of the Earth continues to produce energy and shape the planet, humanity must act quickly and responsibly to help safeguard our planet before it's too late.","J, volcanic activity, magma, climate change, Earth's core"
40,Natural Disasters,Diseases,['Diseases'],Spread of Fire,16,1,['Diseases'],[16],"['Spread of Fire', 'Construction Work', 'forest', 'Archeology', 'Dust Storm', 'natural selection', 'Building Repair', 'nation', 'ecosystem', 'Skin System', 'Disassembly', 'Walls', 'Biological Evolution', 'Leaping Over Barriers', 'Urban Evolution', 'Diseases', 'life', 'Prospecting', 'Circular Economy', 'Firewall']","[0.3400931580126703, 0.3365914116578536, 0.32324105252466984, 0.32121523003058045, 0.3140142390923205, 0.3045471850077408, 0.3030340361975419, 0.30022617258406237, 0.29640271282568786, 0.29569327173076115, 0.29556179812778405, 0.2950808174216344, 0.2907441929894483, 0.2876357146765508, 0.2848962913857761, 0.2761082830218021, 0.275950790215719, 0.27541159022260736, 0.2734645789837407, 0.27278035966567343]",name_properties,"Natural Disasters. early warning, protect environment, rescue","Natural disasters are events caused by natural hazards that bring about a negative impact on a community, leading to the loss of life, damage to property, and economic loss. The severity of the damage depends on the community's resilience and the available infrastructure. Examples of natural hazards include floods, earthquakes, wildfires, and hurricanes. However, the line between natural, man-made and man-accelerated disasters is often blurred. Human choices and activities, including poor resource management and climate change, may contribute to the occurrence of natural disasters. Natural disasters can be further aggravated by inadequate building norms, marginalized populations, inequities, and unplanned growth. Early warning systems and a focus on protecting the environment can help prevent or minimize the damage from natural disasters. Effective rescue and disaster management systems play a critical role in mitigating the consequences of natural disasters. Once a disaster strikes, communities may take years to recover, with the repair period leading to further vulnerability. The mental health of affected communities is also impacted, necessitating collective processing to foster resilience and increased community engagement.","early warning, protect environment, rescue"
41,Musculoskeletal system,Robotic arm,['Robotic arm'],the skeletal system,5,1,['Robotic arm'],[5],"['the skeletal system', 'Human Body', 'Human Hands', 'Heart', 'Robotic arm', 'Robotic Movement', 'Building Structure', 'Families', 'Buildings', 'The Writing System', 'Machines', 'lubrication system', 'A Tuning System for Music', 'sport', 'Spring', 'The Nervous System', 'Architecture', 'Army', 'Musical Notes', 'Operating System']","[0.726298213726541, 0.5182210040820925, 0.39661527384719664, 0.39185165950559847, 0.36300156922729315, 0.3520927749110868, 0.33580147159485463, 0.32944465868241046, 0.32828218882005894, 0.32636470118762284, 0.32612338389873813, 0.31674027323607223, 0.3098338421450374, 0.3064568944779715, 0.30471119233603694, 0.3012682965660015, 0.30026316611938125, 0.29399712066666184, 0.2922381992590589, 0.2909122940866696]",name_properties,"Musculoskeletal system. muscle, skeleton, joint, tendon","The musculoskeletal system is an essential organ system that is responsible for providing stability, support, and movement to the human body. It is composed of bones, muscles, cartilage, tendons, ligaments, and joints that work together to facilitate motion. The bones serve as a framework for the body while muscles keep the bones in place and enable movement. The joints allow different bones to connect while cartilage prevents bones from rubbing against each other. However, diseases or disorders can adversely affect the system, which can lead to movement issues. Physiatrists or orthopedic surgeons are typically responsible for diagnosing and addressing musculoskeletal complexities and injuries. Understanding the functions and interplay of muscles, skeletons, joints, and tendons is critical to maintaining and protecting the musculoskeletal system.","muscle, skeleton, joint, tendon"
42,Respiratory system,Air handling system,"['engine', 'Air handling system', 'air circulation ducts']",respiration,3,2,"['Air handling system', 'air circulation ducts']","[3, 4]","['respiration', 'Human Body', 'Air handling system', 'air circulation ducts', 'the skeletal system', 'Ecosystem', 'lubrication system', 'Evolution', 'Car', 'sound system', 'Heart', 'sounds', 'Disease', 'Machines', 'air filter', 'ecosystem', 'Buildings', 'Tree', 'Transportation Systems', 'Plants']","[0.4748163386565291, 0.4197490536144675, 0.3663792659521442, 0.3559092637274375, 0.34985051622923624, 0.344065159267256, 0.323082842229653, 0.31809778726558846, 0.3166768253322386, 0.3078060852279547, 0.3049805037340142, 0.3037600900204383, 0.30227312167612375, 0.30124783196643323, 0.29895453242413617, 0.29587092351233635, 0.29435617104998046, 0.29362439290217085, 0.29073493273455064, 0.28737038498633816]",name_properties,"Respiratory system. Respiratory organs, Respiratory organs, lung, trachea","The respiratory system is a crucial biological system that enables gas exchange in animals and plants. Animals have a range of respiratory organs that enable them to take in oxygen and expel carbon dioxide. In land animals, the respiratory surface is internalized as linings of the lungs, which comprise millions of small air sacs called alveoli in mammals and reptiles, and atria in birds. These air sacs are supplied with a rich blood supply, enabling close contact with the blood to facilitate efficient gas exchange. In contrast, aquatic animals have gills for their respiratory system, while insects and some amphibians have more simple respiratory structures. The respiratory system in plants includes features such as stomata. Breathing is essential for the process of gas exchange, which involves the muscles of respiration.","Respiratory organs, Respiratory organs, lung, trachea"
43,Microbiome,ecosystem,['ecosystem'],ecosystem,1,1,['ecosystem'],[1],"['ecosystem', 'Ecosystem', 'Disease', 'Desert', 'Evolution', 'Families', 'bacterial mutation', 'laboratory', 'The Real World', 'Skin System', 'innovation', 'Biological Evolution', 'life', 'Circular Economy', 'Social Circle', 'Financial Balance', 'Immunity', 'Urban Entropy Increase', 'Greenhouse', 'Diseases']","[0.5140641426237664, 0.44272719224889373, 0.4233333589241702, 0.3689549030634262, 0.3423794668084744, 0.3364678152847086, 0.3193949278787873, 0.3143612607858841, 0.31022076806809823, 0.30138252627981843, 0.301260765251161, 0.298419849076375, 0.2983333402400417, 0.2919264013080975, 0.2916616846367643, 0.28731698338248673, 0.2863069329730497, 0.2860157299812935, 0.28315191561184316, 0.2829229207977141]",name_properties,"Microbiome. microorganism, Habitats, Synergy","Microbiome refers to a community of microorganisms living together in a specific habitat, ranging from bacteria, archaea, fungi, algae, viruses, and small protists. Whipps et al. defined microbiome in 1988 as a microbial community occupying a well-defined habitat. The concept of microbiome has developed over the years, and an international panel of experts in 2020 proposed a definition based on Whipps et al.'s definition but with two supplementary paragraphs. The first paragraph emphasizes the dynamic nature of microbiomes, while the second distinguishes microbiota from microbiome. All animals and plants form associations with microorganisms, and the potential for microbiomes to influence their health, physiology, behaviour, and ecology is immense. Microbiome research has undergone several paradigm shifts, and the development of new techniques and equipment has led to a better understanding of the synergy between different microorganisms and their role in ecosystem functioning. Overall, microbiomes are critical to the functioning of ecosystems, and research in this field has tremendous potential in improving human, animal, and plant health.","microorganism, Habitats, Synergy"
44,Endocrine System,Regulator,['Regulator'],Human Body,-1,0,[],[],"['Human Body', 'Evolution', 'The Nervous System', 'the skeletal system', 'Ecosystem', 'ecosystem', 'lubrication system', 'Operating System', 'Neural Networks', 'Human Hands', 'Drug Treatment', 'The Brain', 'electromagnetic emission system', 'River', 'Heart', 'Transportation Systems', 'The Writing System', 'Feudal Dynasties', 'Diseases', 'Disease']","[0.45109127242322344, 0.3523851616075905, 0.3473969690138018, 0.33889666007222785, 0.3302938406786063, 0.3255968320474148, 0.3213985146371759, 0.31248006177801735, 0.30664301253919285, 0.29063518494679574, 0.2827991021258997, 0.2808353453880126, 0.27521448522900527, 0.27310082820274123, 0.2719659245601972, 0.2702424321535506, 0.2659130562606044, 0.2648164175840233, 0.26475843687350475, 0.26148494851260756]",name_properties,"Endocrine System. endocrine organs, hormone","The endocrine system is one of the most important systems in the human body that is responsible for maintaining the overall balance of the body by secreting hormones into the circulatory system. It is made up of various endocrine organs, including the thyroid gland, pituitary gland, adrenal glands, ovaries (in females), and testes (in males), which work together in a series of feedback loops to regulate the functions of distant target organs. The hypothalamus is the key neural control center for all endocrine systems in vertebrates. The endocrine system plays a significant role in regulating growth and development, metabolism, reproduction, and other bodily functions. Endocrinologists are specialists in the field of internal medicine who diagnose and treat hormonal imbalances and associated disorders.","endocrine organs, hormone"
45,blood circulation system,Water pipe system,['Water pipe system'],Human Body,4,1,['Water pipe system'],[4],"['Human Body', 'Heart', 'the skeletal system', 'Water pipe system', 'sounds', 'Plants', 'engine', 'River', 'Human Hands', 'air circulation ducts', 'illness', 'Tree', 'Transportation Systems', 'respiration', 'book', 'Walls', 'lubrication system', 'Bookshelf', 'family', 'Wind Power']","[0.5138061561494367, 0.5028352154332169, 0.38853871626029884, 0.37396657030364566, 0.33124107320296914, 0.3271970917909519, 0.325091610542266, 0.32274559554755566, 0.3223008425796381, 0.32055105799127964, 0.31638814947786503, 0.31624917877085557, 0.3097487551582234, 0.29197593805947075, 0.28922512090672803, 0.28511567379056896, 0.2849505206004884, 0.2848274357172406, 0.27928462532891773, 0.27830468902362443]",name_properties,"blood circulation system. platelets, Vascular wall, blood, thrombus, heart","The blood circulation system is a complex network of organs and vessels essential to maintaining the overall health and proper functioning of the human body. Comprised of the heart, blood vessels, and blood, it serves to transport oxygen, nutrients, hormones and waste materials throughout the body. The circulatory system is closed in vertebrates, such as humans, and carries blood through two circuits: systemic circulation and pulmonary circulation. Blood is a fluid consisting of plasma, red blood cells, white blood cells and platelets, which provide nourishment, help in the immune system to fight diseases, and in maintaining homeostasis by stabilizing temperature and natural pH. In vertebrates, the complementary lymphatic system helps to filter excess plasma from the capillaries and is responsible for returning the excess fluid back to the blood circulation as lymph. The circulatory system can be affected by many cardiovascular diseases, and medical professionals such as cardiologists, cardiothoracic surgeons, and vascular surgeons specialize in disorders of the blood vessels and heart.","platelets, Vascular wall, blood, thrombus, heart"
46,cell,house,"['house', 'program', 'factory']",Human Body,-1,0,[],[],"['Human Body', 'Heart', 'Computer Processor', 'illness', 'communication networks', 'engine', 'memory', 'The Brain', 'Plants', 'competition', 'business', 'Transportation Systems', 'Electronic Signal Transmission', 'Drug Treatment', 'signal', 'Camera', 'camera', 'ecosystem', 'Immunity', 'company']","[0.3749270072021395, 0.3228077442508433, 0.3107188627412895, 0.2872864581877725, 0.2869909537157521, 0.2855138983955065, 0.2847314432700404, 0.2845926931793557, 0.28178934928921134, 0.2807279817607935, 0.2784084254861463, 0.27694155110994645, 0.27681361585923786, 0.27472035973020636, 0.27403568272213397, 0.2736832081076026, 0.2709301181015305, 0.27083083522098816, 0.27079923962570224, 0.268648092939738]",name_properties,"cell. insulin, glucose, cell membrane, glucose transporter","Cells are the basic unit of life, supporting every organism's physiological functions by regulating their internal environment. In biology, a cell is defined as the smallest structural and functional unit of an organism. They vary in shape, size, and function depending on the type of organism they belong to. 

Among the various types of cells, a crucial one that plays a crucial role in our body is the insulin-producing cell. Discovered by Frederick Banting and Charles Best in the early 1920s, insulin-producing cells are responsible for regulating glucose levels in our body. Insulin is a hormone that is produced and secreted by these cells located in the pancreas. Insulin production is triggered by the presence of glucose in the bloodstream. 

To understand the process of insulin production, we need to understand the role of the cell membrane and glucose transporter in the cell. The cell membrane is a thin, semi-permeable membrane protecting the cell from its environment. It is the cell membrane through which glucose enters the insulin-producing cell via glucose transporters. Once the glucose enters the cell, it goes through various chemical reactions to produce energy.

However, if there is an excess amount of glucose in the bloodstream, it can damage the cell. In such cases, the insulin is not produced in adequate amounts, leading to high blood sugar levels. This condition can cause several health issues such as diabetes, nerve damage, and kidney failure.

In summary, the insulin-producing cell is a fundamental component of our body's functioning, contributing towards maintaining glucose levels in our bloodstream. The glucose transporter and cell membrane play an essential role in the proper functioning of these cells. Understanding how these processes work is crucial in the management of diabetes and other disorders associated with glucose regulation.","insulin, glucose, cell membrane, glucose transporter"
47,cell,program,"['house', 'program', 'factory']",bacterial mutation,4,1,['program'],[4],"['bacterial mutation', 'Evolution', 'wrinkles', 'program', 'illness', 'code', 'Healing', 'natural selection', 'Immunity', 'Disassembly', 'Diseases', 'Drug Treatment', 'Human Body', 'competition', 'crime', 'Biological Evolution', 'Heart', 'War', 'Program Error', 'Spring']","[0.433924633083844, 0.3859898024037542, 0.367213857969942, 0.34133917624694354, 0.31266840142854424, 0.30875061660755376, 0.3067227104642386, 0.30460107178776263, 0.29734474421933954, 0.28457832298913044, 0.2832640347593491, 0.2805674010781777, 0.2801791805012557, 0.2796524746029957, 0.27669161207845133, 0.2764368408274982, 0.2747392079802803, 0.2692065830376814, 0.26656411072081887, 0.26625259259554546]",name_properties,"cell. apoptosis, Cell division, Cell Differentiation","A cell is the smallest unit of life that carries out all the necessary functions required for an organism's survival. It is a biological entity that forms the building block of living systems. The life cycle of a cell is marked by various events like apoptosis, cell division, and cell differentiation. Apoptosis refers to the programmed cell death, which is a crucial process for removing damaged or unwanted cells, thus preventing the spread of infections or cancer. Cell division is the process by which a single cell divides into two or more daughter cells, which can grow into new tissues, organs, or whole organisms. Cell differentiation is the process of transforming unspecialized cells into specialized cells with specific functions, which are crucial for the proper functioning of tissues and organs. Despite their small size, cells play a vital role in maintaining the complex structure and function of organisms, making them a fundamental unit of life.","apoptosis, Cell division, Cell Differentiation"
48,Human body,car,['car'],Human Body,-1,0,[],[],"['Human Body', 'life', 'respiration', 'Heart', 'Human Hands', 'Diseases', 'Human Relationships', 'love', 'family', 'human', 'The Real World', 'Disease', 'Plants', 'Healing', 'Evolution', 'ecosystem', 'Desert', 'illness', 'the skeletal system', 'Human Emotions']","[0.5993950988662569, 0.5056270380149059, 0.5018656552442194, 0.4498469068424624, 0.4185826635799109, 0.40950717868599595, 0.4086400110484023, 0.38148578281671847, 0.3797601858197631, 0.3770791313339381, 0.3744865381725825, 0.37317318181956616, 0.36919499979177495, 0.3677697167523369, 0.36486752670105427, 0.3609297910872058, 0.35304243915228073, 0.34958906140224394, 0.3428574937644057, 0.3419325373279488]",name_properties,"Human body. oxygen, Life Events, heart","The human body is a complex and remarkable structure that encompasses various cells, tissues, and organ systems. From the head to the feet, every part of the body plays a crucial role in maintaining homeostasis and keeping the body functional. The body is made up of different organs such as the heart, lungs, liver, brain, and kidneys, each with its unique function to ensure the body's overall well-being. The heart, for instance, plays a vital role in maintaining cardiorespiratory function by pumping oxygenated blood to various parts of the body. Studying the body involves a combination of scientific fields such as anatomy, physiology, histology, and embryology. Professionals from different fields, including health practitioners, physiologists, anatomists, and artists, use their expertise to explore and understand the human body's intricacies. Whether it's for medical purposes or artistic expression, the human body remains an intriguing subject that continues to fascinate us through every stage of life events.","oxygen, Life Events, heart"
49,Brain system,electromagnetic emission system,['electromagnetic emission system'],The Brain,12,1,['electromagnetic emission system'],[12],"['The Brain', 'How the Human Brain Works', 'The Nervous System', 'Neural Networks', 'mind', 'The Neural Network of Computers', 'Human Body', 'Ecosystem', 'Final Exam', 'Computer Processor', 'Robotic Movement', 'electromagnetic emission system', 'sound system', 'the skeletal system', 'ecosystem', 'knowledge', 'sounds', 'Machines', 'Operating System', 'Computer Code']","[0.5809230559411371, 0.5627755688434617, 0.5092295813077827, 0.4370535173565112, 0.402964790149876, 0.3927993164896608, 0.37419580171097827, 0.3700736910837744, 0.3575756723632982, 0.35500670806719326, 0.3527343288154896, 0.3498861013005031, 0.3397220141574132, 0.3287938755539252, 0.3273154510058614, 0.32539542442173613, 0.31810100004272474, 0.3145862035160996, 0.3142797078628521, 0.30912947273868285]",name_properties,"Brain system. brain, brain waves, neural activity","The brain is an incredibly complex organ that serves as the center of the nervous system in most animals, including humans. With billions of neurons communicating through long fibers called axons, the brain is able to exert centralized control over the body's organs through both muscle activity and hormone secretion. Despite advancements in neuroscience, the way in which neurons cooperate in ensembles of millions is still a mystery. However, recent models treat the brain as a biological computer, acquiring and processing information from the surrounding world. As a result, researchers have been able to study brain waves and neural activity to gain a better understanding of brain function. This article will compare the properties of brains across different animal species with a focus on vertebrates, including humans. Although brain disease and the effects of brain damage will be covered in a separate article, the fundamental workings of the brain will be explored in this overview.","brain, brain waves, neural activity"
50,Hematopoietic System,Factory,['Factory'],Human Body,-1,0,[],[],"['Human Body', 'the skeletal system', 'Desert', 'The Nervous System', 'Plants', 'ecosystem', 'Skin System', 'communication networks', 'Machines', 'The Brain', 'Heart', 'Disease', 'Ecosystem', 'Human Hands', 'Healing', 'Tree', 'Neural Networks', 'line', 'Diseases', 'The Writing System']","[0.5305184891831094, 0.4144156062945514, 0.34172749228980615, 0.3248036384429135, 0.321404556585432, 0.30844696839232777, 0.3079754177272591, 0.29701680155131277, 0.2956893277323881, 0.2895265782487426, 0.28919310568630646, 0.28912928419797207, 0.288563085032838, 0.2856002418396655, 0.284157643083503, 0.28358876869013905, 0.28287209568232397, 0.27835063400227755, 0.2751015028274171, 0.2703545786286624]",name_properties,"Hematopoietic System. marrow, blood cells, Nutrients","The hematopoietic system is an essential part of the body responsible for the production of the cells of blood. It involves the generation, differentiation, and regulation of blood cells within the body, which is crucial for maintaining a healthy immune system, tissue oxygenation and coagulation. The process occurs primarily within the bone marrow, which is filled with hematopoietic stem cells that can give rise to all the different types of blood cells in the body. These stem cells require a constant supply of nutrients such as iron, Vitamin B12, and folic acid to fuel the production of red blood cells, platelets and white blood cells. Together, these blood cells function to transport oxygen, hormones, and waste products, as well as to defend against infection, injury and blood loss. Effective functioning of the hematopoietic system is necessary to maintain optimal health and prevent various blood-related diseases.","marrow, blood cells, Nutrients"
51,Cellular Structure,City,['City'],Building Structure,5,1,['City'],[5],"['Building Structure', 'Human Body', 'Factory', 'Buildings', 'City', 'Heart', 'engine', 'Plants', 'Machines', ""the factory's production line"", 'Architecture', 'the skeletal system', 'Reactor', 'Factory System', 'camera', 'bacterial mutation', 'The Brain', 'Neural Networks', 'Baking', 'memory']","[0.3409147720698743, 0.33778409199271997, 0.33772664431207794, 0.3340170339791452, 0.316467417377729, 0.3036524891262918, 0.3018810223751519, 0.301558377899416, 0.2965272120740988, 0.2915292417390273, 0.2889730462140777, 0.28465082435096134, 0.2802315877718523, 0.27255985101631347, 0.27220801870079664, 0.2700389517702527, 0.26831875710585124, 0.264589390125879, 0.26122556340425007, 0.260957854377601]",name_properties,"Cellular Structure. Ribosome, golgi apparatus, mitochondria, nucleus, cell membrane","Cellular structure refers to the organization of components that make up living cells. These components include the ribosome, golgi apparatus, mitochondria, nucleus, and cell membrane. The nucleus is the control center of the cell and contains the genetic material, while the mitochondria are responsible for energy production. The golgi apparatus is involved in processing and packaging proteins, and the ribosomes are responsible for protein synthesis. The cell membrane acts as a barrier and regulates the movement of substances in and out of the cell. Understanding the cellular structure is crucial to understanding how cells function and interact with their environment.","Ribosome, golgi apparatus, mitochondria, nucleus, cell membrane"
52,DNA replication,Printing,['Printing'],bacterial mutation,8,1,['Printing'],[8],"['bacterial mutation', 'the replicator', 'code', 'laboratory', 'Army', 'Baking', 'program', 'Printing', 'Building Repair', 'Printers Print Documents', 'factory', 'Program Error', 'Factory System', 'Computer Code', 'Reactor', 'The Production Line of a Car Factory', 'memory', 'Recovering a Corrupted Music File', 'book', 'Machines']","[0.41873906686137496, 0.38700239706967876, 0.37460327205744937, 0.3144091699998934, 0.31220392233508687, 0.31140151012764494, 0.30658260864894815, 0.3052931524701561, 0.2937515455459277, 0.28815789334353215, 0.2867466977765448, 0.28351885405673805, 0.28281849119072844, 0.27892256919453107, 0.27577613156199177, 0.2749131099652632, 0.273245582482611, 0.2716816314605953, 0.2713674859602543, 0.2703716334284419]",name_properties,"DNA replication. base, copy, repair","DNA replication is a fundamental biological process that involves the copying of genetic information from one DNA molecule to another. It is the basis for biological inheritance, as it ensures that each new cell receives an identical copy of the DNA. This important process is essential for cell division during growth and repair of damaged tissues. DNA is made up of two complementary strands that run opposite to each other and twist together to form a double helix. During replication, these strands are separated and used as templates for the production of complementary strands. This results in the formation of two identical DNA molecules. The process of DNA replication is highly regulated and orchestrated by various enzymes and proteins to ensure accuracy and fidelity. In addition to occurring naturally within cells, DNA replication can also be performed artificially outside of cells in a process known as DNA amplification. The discovery of a preliminary form of transfer RNA as a possible replicator molecule in the early development of life suggests a fascinating link between the origins of DNA replication and the evolution of life on Earth.","base, copy, repair"
53,blood circulation system,Water pipe system,['Water pipe system'],Human Body,5,1,['Water pipe system'],[5],"['Human Body', 'Heart', 'Transportation Systems', 'the skeletal system', 'Water pipe system', 'air circulation ducts', 'River', 'lubrication system', 'respiration', 'Ecosystem', 'The Writing System', 'Human Hands', 'heat transfer', 'engine', 'communication networks', 'Air handling system', 'Sailing', 'ecosystem', 'family', 'line']","[0.6171905266962171, 0.45933702194683357, 0.4331992726669663, 0.42955100677249247, 0.41968227049186624, 0.39803837268368986, 0.38511545195437097, 0.36993358781178876, 0.3605984969160054, 0.346100776601619, 0.3441755356019581, 0.3397934094341051, 0.3367878363691338, 0.3332191696027035, 0.3308953119457261, 0.33006695240933265, 0.32028623992460614, 0.31892179811562493, 0.3150366853365543, 0.3135545226712584]",name_properties,"blood circulation system. blood, heart, Blood vessel","The blood circulation system is a vital system in the body, consisting of the heart, blood vessels, and blood. This system is responsible for circulating blood throughout the body, delivering oxygen and nutrients to cells while removing waste products. The system includes a closed network of blood vessels, which circulate blood through two circuits - systemic and pulmonary. Blood is composed of plasma, red and white blood cells, and platelets. Additionally, the lymphatic system works in conjunction with the blood circulatory system to carry excess fluids from tissues and also plays an important role in the immune system. Cardiovascular diseases can negatively impact this system. The system is studied by cardiologists, cardiothoracic surgeons, and vascular surgeons.","blood, heart, Blood vessel"
54,Protein,The Puzzle,['The Puzzle'],Building Structure,10,1,['The Puzzle'],[10],"['Building Structure', 'Molecular Symmetry', 'Mirrors', 'Evolution', 'Architecture', 'Alphabet', 'atom', 'a three-dimensional puzzle', 'the skeletal system', 'The Puzzle', 'Heart', 'Recipes', 'Supply Chain', '3D Projection', 'Drama', 'The Helix Bridge', 'Buildings', 'memory', 'Math', 'Reactor']","[0.34681253013847213, 0.32986614528587854, 0.3079940455466962, 0.2965302991154, 0.2963731878799856, 0.29538362331567597, 0.29372117226464856, 0.2926186130459019, 0.2842196149615216, 0.2839940127711343, 0.2822349578193882, 0.28132367201994907, 0.28028108270136315, 0.2799915863259297, 0.2776227340977159, 0.2765059912155408, 0.271850999115699, 0.2717621534331174, 0.2715749361332187, 0.27079977033940755]",name_properties,"Protein. amino acid, shape","Proteins are essential biomolecules made up of one or more long chains of amino acids that perform various vital functions within organisms. These functions include catalysing metabolic reactions, DNA replication, providing structure to cells and organisms, transporting molecules, and responding to stimuli. The specific activity of a protein is determined by its unique 3D structure, which is determined by its sequence of amino acids encoded by the gene. Proteins can be complex and can work together to perform a particular function. They have various lifespans, and once formed, proteins are often chemically modified and are ultimately degraded and recycled by the cell's machinery. Proteins can additionally have non-peptide groups attached to them, which can be called prosthetic groups or cofactors. Overall, the precise shape of a protein plays a crucial role in its function within the organism.","amino acid, shape"
55,cell,factory,"['house', 'program', 'factory']",Factory,1,1,['factory'],[1],"['Factory', 'Human Body', 'memory', 'atom', 'Plants', 'Chemical Reactions', 'engine', 'Reactor', 'bacterial mutation', 'City', 'business', 'The Brain', 'ecosystem', 'Machines', 'factory', 'Heart', ""the factory's production line"", 'laboratory', 'code', 'communication networks']","[0.3814839051479331, 0.3804292901896478, 0.37152823610273406, 0.36529779760272857, 0.3604639639571183, 0.35883005537462526, 0.3531642845557805, 0.35235672675580265, 0.34674670242332495, 0.3457458787732242, 0.33430109802142605, 0.3317282201836508, 0.32773283245952933, 0.3271690691824065, 0.32535475189982443, 0.3224102322035409, 0.3213982444191541, 0.3209137016276039, 0.3194217018372997, 0.31609651754627893]",name_properties,"cell. cell membrane, nucleus, cell organelle, metabolites, molecular","

A cell is the fundamental and basic unit of life. It refers to a small and microscopic unit that possesses all the essential characteristics of life, such as the ability to respond to stimuli, reproduce, and process energy. The cell has three principal components: the cell membrane, nucleus, and cytoplasm with cell organelles. The cell membrane constitutes a thin boundary that encloses and protects the cell’s contents. The nucleus is a large organelle that controls the cell's activities and contains its genetic material. The cytoplasm is the fluid that fills the cell, and cell organelles are specialized subunits that carry out specific metabolic functions in the cell. Cells are involved in metabolism, which involves the breakdown and synthesis of metabolites, substances required for cell growth, and energy production. Molecular aspects of the cell include the proteins, lipids, and DNA that make up its structure and perform its essential functions.","cell membrane, nucleus, cell organelle, metabolites, molecular"
56,Genes,Computer Code,['Computer Code'],Evolution,3,1,['Computer Code'],[3],"['Evolution', 'bacterial mutation', 'Computer Code', 'Ecosystem', 'Disease', 'Machines', 'natural selection', 'Factory System', 'laboratory', 'ecosystem', 'life', 'Translation', 'Computer Processor', 'research', 'code', 'illness', 'Plants', 'crime', 'society', 'Biological Evolution']","[0.5171397981208632, 0.4795720038723843, 0.42005782161051125, 0.3945440711413895, 0.3897052295304704, 0.3838772864359944, 0.37689122228746075, 0.37647900547377067, 0.3711599501943874, 0.3660505447805291, 0.36191524438677913, 0.36153568379004336, 0.3456667930678541, 0.34442847127885634, 0.3442050398229471, 0.3426922301386327, 0.3426302977342276, 0.3415178418481743, 0.34047871393699997, 0.3403844471267389]",name_properties,"Genes. organism, sequence, transcription, translate","Genes are the fundamental unit of heredity in biology. They are the basic building blocks of life that make up different DNA sequences called genotypes. During gene expression, the DNA is first copied into RNA, which can be directly functional or serve as a template for a protein that performs a function. The transmission of genes to an organism's offspring is the basis of the inheritance of phenotypic traits. Genes can acquire mutations in their sequence, leading to different variants or alleles in the population, which may cause different phenotypical traits. The process of transcription turns DNA into RNA, which is then translated into a functional protein. The study of genes is crucial in understanding the mechanisms of biological traits and the genetic basis of inherited diseases.","organism, sequence, transcription, translate"
