id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties
34,Cell division,the replicator,"[""the factory's production line"", 'the replicator']",Plants,5,1,"[""the factory's production line""]",[5],"['Plants', 'Disassembly', 'Evolution', 'Healing', 'line', 'Molecular Symmetry', 'Biological Evolution', 'Planting', 'Skin System', 'Chemical Reactions', 'Disease', 'Building Structure', 'bacterial mutation', ""the factory's production line"", 'Origami', 'marriage', 'respiration', 'Baking', 'business', 'Computer Code']","[0.33358521776904904, 0.3330304505518721, 0.3206217346436051, 0.3088923679256689, 0.3061874297195445, 0.3060015796506895, 0.30076447757229985, 0.2952089493040838, 0.2859598976388275, 0.2836665382791063, 0.28357572249016605, 0.2821008631732647, 0.27792045767710694, 0.2756855982217295, 0.2732686473230761, 0.27163652110862646, 0.2709075760241967, 0.27081610455163796, 0.2659525887990317, 0.2654239763415621]",name_only,Cell division,"Cell division is the process by which a single cell divides into two daughter cells while maintaining the genetic material's integrity. The process is vital for all living organisms and is an integral part of their life cycle. Eukaryotic cells undergo two types of cell division: mitosis, a vegetative division that results in genetically identical daughter cells, and meiosis, which produces haploid gametes for sexual reproduction. In contrast, prokaryotic cells usually undergo binary fission to form two daughter cells that contain the same genetic information as the parent cell. The replication of DNA and careful separation of chromosomes are vital steps that ensure genomic consistency among species. With the help of various cellular organelles and molecular signaling mechanisms, the process of cell division enables the continual construction and repair of the organism, leading to the creation of multiple new generations.","cell, cell organelle, molecular"
35,Nucleus,Bookshelf,"['CPU', 'Bookshelf']",The Brain,3,1,['CPU'],[3],"['The Brain', 'The Nervous System', 'CPU', 'Reactor', 'Neural Networks', 'mind', 'Heart', 'atom', 'Computer Processor', 'memory', 'City', 'Human Body', 'resonance cavity', 'Operating System', 'Vortex', 'Social Circle', 'Building Structure', 'universe', 'planet', 'city']","[0.4001631401474852, 0.3744318949932198, 0.36647700947065565, 0.3593410056327063, 0.3107906674177755, 0.30811326373816156, 0.30261134931127964, 0.30104149549032827, 0.29517528982324537, 0.2929485926111848, 0.29040977175931393, 0.2851725411026128, 0.2834313163691343, 0.2739902049159014, 0.27193839828134486, 0.26853054612125016, 0.2677333070862828, 0.26563010623369876, 0.26334748355413795, 0.26194467135833444]",name_only,Nucleus,"Nucleus, as the name suggests, is a central organelle found in the eukaryotic cell, which plays a crucial role in storing genetic information. It contains most of the cell's DNA, along with various proteins and other molecular components that regulate genetic functions. The DNA within the nucleus is organized into self-replicating structures called chromosomes, which carry genes responsible for encoding all the characteristics and traits of an organism. The nucleus is often referred to as the ""control center"" of a eukaryotic cell since it regulates the expression of genes and supervises cellular processes such as cell division and growth. The structure of the nucleus is complex but can be simplified into two main components, the nuclear envelope and the nucleoplasm. The nuclear envelope separates the nucleus from the surrounding cytoplasm and consists of two lipid bilayers with nuclear pores that regulate molecular transport between the nucleus and cytoplasm. The nucleoplasm makes up the majority of the nucleus and contains chromatin fibers, nucleoli, and other molecular components that are essential in the transcription and regulation of genetic information. Thus, the nucleus is the hub of genetic activity in a eukaryotic cell, and any malfunction can lead to a wide array of genetic disorders and diseases.","Gene, dna, chromosome"
36,Photosynthesis,Solar Panels,"['Power Generation', 'Solar Panels']",respiration,3,2,"['Power Generation', 'Solar Panels']","[7, 3]","['respiration', 'Plants', 'Solar Panels', 'Sun Protection', 'Greenhouse', 'Planting', 'Power Generation', 'Greenhouses', 'Burning Energy', 'Wind Power', 'Evolution', 'Chemical Reactions', 'Ecosystem', 'Sunrise', 'Baking', 'Spring', 'Reactor', 'light', 'Cooking', 'Makeup']","[0.4860410017417253, 0.4641031257482542, 0.44859656482782717, 0.415375850453714, 0.38763509352724684, 0.384067561772631, 0.3748822299173607, 0.3665953492715177, 0.3634075690641896, 0.3597290672797947, 0.35597041220116615, 0.3555255669732633, 0.3403362827650043, 0.3262510156790561, 0.3114705502116192, 0.30875172095339076, 0.3072259090766364, 0.29874072351643227, 0.2942762166850013, 0.29239341933111374]",name_only,Photosynthesis,"Photosynthesis is a process that plants, algae, and cyanobacteria use to convert light energy into chemical energy. It involves the absorption of light by proteins called reaction centers, which contain green chlorophyll pigments. Through a series of chemical reactions, carbon dioxide and water are converted into sugars and other organic compounds, with oxygen gas being released as a byproduct. The energy generated through photosynthesis is used by organisms to fuel their activities, and is largely responsible for producing and maintaining the oxygen content of the Earth's atmosphere. This process takes place within organelles called chloroplasts, which are most abundant in leaf cells in plants. The importance of photosynthesis for climate processes cannot be overstated, as it captures carbon dioxide from the air and binds it in plants and soils.","Light, Chlorophyll, Chloroplast"
37,Water Cycle,Transportation Systems,"['Circular Economy', 'Transportation Systems']",Conservation of Water Flow,4,2,"['Circular Economy', 'Transportation Systems']","[4, 10]","['Conservation of Water Flow', 'Ecosystem', 'Water pipe system', 'Circular Economy', 'River', 'Water Wave Propagation', 'day and night cycle', 'tidal phenomena', 'ecosystem', 'Transportation Systems', 'Dust Storm', 'Skin System', 'Wind Power', 'Vortex', 'Information Flow', 'Urban Transportation', 'Supply Chain', 'Wave Propagation', 'Desert', 'Chemical Reactions']","[0.49929770808469204, 0.42478143342543334, 0.4091426911547591, 0.3951460691071178, 0.38025315771209284, 0.3733168813165494, 0.3540663547898504, 0.34615565613688487, 0.3437021948551363, 0.32924679198787943, 0.3253366838010032, 0.32178575123992154, 0.3208394490786648, 0.3162476693435053, 0.3126074203326523, 0.3089002207377832, 0.30627604029357514, 0.30378685853542164, 0.3025813227216981, 0.29989969043321063]",name_only,Water Cycle,"

The water cycle is a natural process that describes the continuous movement of water on, above, and below the surface of the Earth. This is a biogeochemical cycle that involves different forms of water, including liquid, solid, and vapor, and various physical processes such as evaporation, transpiration, condensation, precipitation, infiltration, surface runoff, and subsurface flow. The cycle plays a crucial role in maintaining the Earth's water balance, transporting minerals across the globe, reshaping geological features of the Earth, and supporting life and ecosystems on the planet. While the water cycle does not involve any water pipe or valve, the exchange of water flow between different reservoirs is crucial in the cycle's functioning.","water flow, water pipe, valve"
38,Land System,Skin System,['Skin System'],Skin System,1,1,['Skin System'],[1],"['Skin System', 'Transportation Systems', 'Factory System', 'Operating System', 'Ecosystem', 'British Government System', 'Chinese Political System', 'The Writing System', 'Building Structure', 'Planting', 'lubrication system', 'American Presidential System', 'sound system', 'ecosystem', 'Houses', 'Australian Parliamentary System', 'Urban Transportation', 'Architecture', 'Buildings', 'forest']","[0.4958659089163685, 0.4843814178132332, 0.45376460789935075, 0.437567448949675, 0.4120973233566195, 0.4036116814142979, 0.3935446837474968, 0.38994277961926077, 0.38784086323296585, 0.38757151575460524, 0.3818009073761503, 0.3783216065578562, 0.36422847545299625, 0.3592843825093887, 0.35740477910905133, 0.3485750795541638, 0.3480165224782139, 0.34659118545486, 0.3453234013238222, 0.34131277982645536]",name_only,Land System,"The Land System manufactured by General Dynamics Land Systems (GDLS) is a critical piece of military machinery, designed for use in rugged and hostile terrain. Equipped with advanced technology and engineering, the Land System is capable of withstanding the toughest and most challenging environments.

One of the primary issues affecting many of the areas where the Land System is deployed is desertification. This process leads to the depletion of natural resources, making it increasingly difficult for plant life to survive. When plants die off, soil erosion and land degradation occur, amplifying the impact of desertification.

To combat this issue and protect the environment, an irrigation system is often incorporated into the Land System to help sustain plant growth. This system aids in the distribution of water and nutrients, promoting the growth and development of vegetation.

In addition to its application in military operations, the Land System can also be employed in other areas with desertification concerns, such as agriculture and forestry. The integration of an irrigation system can provide a cost-effective solution to combat land degradation and promote sustainable land management.

Moreover, the Land System is equipped with advanced features and technologies that can be utilized in other areas such as cosmetics. The system is an efficient tool against skin aging, thanks to its state-of-the-art features that can heal, refresh and rejuvenate your skin, giving it a youthful glow.

Overall, the Land System manufactured by General Dynamics Land Systems is an innovative and powerful military vehicle equipped with advanced technologies and features that can be utilized in various fields. From serving as a key tool in desertification combat to helping sustain plant growth, the Land System is capable of delivering efficient solutions, making it a crucial player in environmental preservation and sustainability. Its contribution to the fight against skin aging makes it even more relevant in the pursuit of a healthier and younger-looking skin.","desertification, Irrigation system, plant, skin aging"
39,Earth,Human Body,['Human Body'],planet,3,1,['Human Body'],[3],"['planet', 'forest', 'human', 'Ecosystem', 'River', 'Heart', 'life', 'Music', 'Islam', 'Spring', 'universe', 'mind', 'ecosystem', 'atom', 'Building', 'India', 'faith', 'Math', 'Human Body', 'Army']","[0.5788603289764633, 0.4377358878377151, 0.43396564470365506, 0.3950473034379538, 0.39083422947774216, 0.3907607619719966, 0.38879942576428567, 0.38858064005749093, 0.37258859682837264, 0.3716687960009868, 0.36742026869863054, 0.35652086625731577, 0.3547049624258626, 0.34921320249669546, 0.34670591433549547, 0.346390216865609, 0.34475109266489334, 0.343797485277315, 0.3424435169797289, 0.3400644050030164]",name_only,Earth,"Earth is the third planet from the Sun and teems with life, making it a unique and precious outlier in the vast universe. Comprising mainly of liquid surface water, extensive oceans, and ice sheets, the planet offers a wide range of habitable ecosystems. Its landmass, which consists of continents and islands, is widely covered with vegetation, fostering a diverse web of life. While Earth's physical features are constantly impacted by volcanic activity, magma flow, and tectonic plate movements, its magnetic field resists harmful solar winds and cosmic radiation. The planet's atmosphere, consisting primarily of nitrogen and oxygen, supports Earth's surface conditions, protects it from meteoroids and UV-light, and generates precipitation, thus contributing to the water cycle. The Earth's climate system is propelled by differences in solar energy input and leads to varying weather phenomena, which play a vital role in maintaining the planet's natural balance. However, over the last few years, human activities have resulted in unprecedented levels of climate change, leading to environmental degradation and loss of habitat for many species. While the core of the Earth continues to produce energy and shape the planet, humanity must act quickly and responsibly to help safeguard our planet before it's too late.","J, volcanic activity, magma, climate change, Earth's core"
40,Natural Disasters,Diseases,['Diseases'],Diseases,1,1,['Diseases'],[1],"['Diseases', 'Dust Storm', 'Disease', 'Currency Loss', 'tidal phenomena', 'natural selection', 'Wind Power', 'Chemical Reactions', 'Urban Entropy Increase', 'Ecosystem', 'Human Hands', 'Spread of Fire', 'Neural Networks', 'Buildings', 'Evolution', 'Human Relationships', 'Desert', 'Biological Evolution', 'ecosystem', 'Financial Markets']","[0.38430057387804706, 0.3639736563655188, 0.3380063615215195, 0.3048809457039414, 0.30387288700064824, 0.3036480956046701, 0.2983560971752138, 0.29650899287506516, 0.2883108540985805, 0.28554626544019757, 0.28522081423042783, 0.28188169392732915, 0.28184169472233406, 0.27991258252962903, 0.2730366786593146, 0.269092828962995, 0.2681079803585912, 0.25887272930570276, 0.25833979613536506, 0.2578469415278326]",name_only,Natural Disasters,"Natural disasters are events caused by natural hazards that bring about a negative impact on a community, leading to the loss of life, damage to property, and economic loss. The severity of the damage depends on the community's resilience and the available infrastructure. Examples of natural hazards include floods, earthquakes, wildfires, and hurricanes. However, the line between natural, man-made and man-accelerated disasters is often blurred. Human choices and activities, including poor resource management and climate change, may contribute to the occurrence of natural disasters. Natural disasters can be further aggravated by inadequate building norms, marginalized populations, inequities, and unplanned growth. Early warning systems and a focus on protecting the environment can help prevent or minimize the damage from natural disasters. Effective rescue and disaster management systems play a critical role in mitigating the consequences of natural disasters. Once a disaster strikes, communities may take years to recover, with the repair period leading to further vulnerability. The mental health of affected communities is also impacted, necessitating collective processing to foster resilience and increased community engagement.","early warning, protect environment, rescue"
41,Musculoskeletal system,Robotic arm,['Robotic arm'],the skeletal system,7,1,['Robotic arm'],[7],"['the skeletal system', 'Skin System', 'Human Body', 'The Nervous System', 'lubrication system', 'Transportation Systems', 'Robotic arm', 'Machines', 'Robotic Movement', 'sound system', 'Human Hands', 'Operating System', 'Factory System', 'Diseases', 'Archery', 'The Writing System', 'The Brain', 'Computer', 'CPU', 'Manual']","[0.7092112593408928, 0.5283858385298155, 0.45417962876186874, 0.4438198988430983, 0.40493445457256294, 0.35821649014477386, 0.35752089627044326, 0.3490949578040331, 0.3377037883461499, 0.3152818086836324, 0.3129677680205291, 0.30508239395825315, 0.3036286034615622, 0.30168575279807497, 0.29776548248101853, 0.29712210028209535, 0.2947692763508427, 0.28982449751415384, 0.27199287006862, 0.26956915033221496]",name_only,Musculoskeletal system,"The musculoskeletal system is an essential organ system that is responsible for providing stability, support, and movement to the human body. It is composed of bones, muscles, cartilage, tendons, ligaments, and joints that work together to facilitate motion. The bones serve as a framework for the body while muscles keep the bones in place and enable movement. The joints allow different bones to connect while cartilage prevents bones from rubbing against each other. However, diseases or disorders can adversely affect the system, which can lead to movement issues. Physiatrists or orthopedic surgeons are typically responsible for diagnosing and addressing musculoskeletal complexities and injuries. Understanding the functions and interplay of muscles, skeletons, joints, and tendons is critical to maintaining and protecting the musculoskeletal system.","muscle, skeleton, joint, tendon"
42,Respiratory system,Air handling system,"['engine', 'Air handling system', 'air circulation ducts']",respiration,2,2,"['Air handling system', 'air circulation ducts']","[2, 7]","['respiration', 'Air handling system', 'Skin System', 'The Nervous System', 'the skeletal system', 'Transportation Systems', 'air circulation ducts', 'Human Body', 'Water pipe system', 'lubrication system', 'Ecosystem', 'air filter', 'sound system', 'Plants', 'resonance cavity', 'Operating System', 'Reactor', 'ecosystem', 'electromagnetic emission system', 'Heart']","[0.5542148745582783, 0.5168122356540146, 0.46293640438630357, 0.4239813086381817, 0.4174197803601047, 0.39348936181109617, 0.3803576695904326, 0.3786260081226385, 0.3723408184288698, 0.3664439544672798, 0.34217668563860315, 0.34112567488637796, 0.33679256277873393, 0.3204009465458133, 0.3198981009408837, 0.316419814176221, 0.3035435452119988, 0.29213616829284855, 0.28303772244182007, 0.2821064894534081]",name_only,Respiratory system,"The respiratory system is a crucial biological system that enables gas exchange in animals and plants. Animals have a range of respiratory organs that enable them to take in oxygen and expel carbon dioxide. In land animals, the respiratory surface is internalized as linings of the lungs, which comprise millions of small air sacs called alveoli in mammals and reptiles, and atria in birds. These air sacs are supplied with a rich blood supply, enabling close contact with the blood to facilitate efficient gas exchange. In contrast, aquatic animals have gills for their respiratory system, while insects and some amphibians have more simple respiratory structures. The respiratory system in plants includes features such as stomata. Breathing is essential for the process of gas exchange, which involves the muscles of respiration.","Respiratory organs, Respiratory organs, lung, trachea"
43,Microbiome,ecosystem,['ecosystem'],Ecosystem,1,1,['ecosystem'],[1],"['Ecosystem', 'ecosystem', 'Human Body', 'Skin System', 'Immunity', 'The Brain', 'Biological Evolution', 'planet', 'mind', 'The Nervous System', 'Disease', 'Crowd', 'bacterial mutation', 'universe', 'Evolution', 'Greenhouse', 'Social Circle', 'Families', 'Diseases', 'Plants']","[0.4625888429078079, 0.40469341044853835, 0.37134526940709567, 0.3579816656806962, 0.34864509393369625, 0.3354592753917205, 0.3319152845514968, 0.3065675263106567, 0.304710856960165, 0.3020432488170273, 0.2994963148058105, 0.2947928169982127, 0.29329240186889804, 0.2898088209020973, 0.2838353213585443, 0.2836653669783082, 0.27194174504066776, 0.26943087194906795, 0.26563491936803885, 0.259687362976908]",name_only,Microbiome,"Microbiome refers to a community of microorganisms living together in a specific habitat, ranging from bacteria, archaea, fungi, algae, viruses, and small protists. Whipps et al. defined microbiome in 1988 as a microbial community occupying a well-defined habitat. The concept of microbiome has developed over the years, and an international panel of experts in 2020 proposed a definition based on Whipps et al.'s definition but with two supplementary paragraphs. The first paragraph emphasizes the dynamic nature of microbiomes, while the second distinguishes microbiota from microbiome. All animals and plants form associations with microorganisms, and the potential for microbiomes to influence their health, physiology, behaviour, and ecology is immense. Microbiome research has undergone several paradigm shifts, and the development of new techniques and equipment has led to a better understanding of the synergy between different microorganisms and their role in ecosystem functioning. Overall, microbiomes are critical to the functioning of ecosystems, and research in this field has tremendous potential in improving human, animal, and plant health.","microorganism, Habitats, Synergy"
44,Endocrine System,Regulator,['Regulator'],The Nervous System,-1,0,[],[],"['The Nervous System', 'Skin System', 'the skeletal system', 'Human Body', 'The Brain', 'Neural Networks', 'Ecosystem', 'Disease', 'Operating System', 'Biological Evolution', 'Chinese Political System', 'electromagnetic emission system', 'ecosystem', 'Diseases', 'Evolution', 'Factory System', 'Transportation Systems', 'lubrication system', 'A Distributed Computing System', 'Immunity']","[0.5208052797376659, 0.49127885822715767, 0.40983658418712876, 0.3997911984316791, 0.37673773918638187, 0.360658514862242, 0.3452936348926485, 0.33883602011967906, 0.33798606173596024, 0.33389652448251694, 0.31807653380183054, 0.31643164586034644, 0.3144949698836459, 0.3124218411952136, 0.3040503448869295, 0.3033555167421618, 0.3008928844736086, 0.2970473533650776, 0.28791950709783654, 0.28446916608879647]",name_only,Endocrine System,"The endocrine system is one of the most important systems in the human body that is responsible for maintaining the overall balance of the body by secreting hormones into the circulatory system. It is made up of various endocrine organs, including the thyroid gland, pituitary gland, adrenal glands, ovaries (in females), and testes (in males), which work together in a series of feedback loops to regulate the functions of distant target organs. The hypothalamus is the key neural control center for all endocrine systems in vertebrates. The endocrine system plays a significant role in regulating growth and development, metabolism, reproduction, and other bodily functions. Endocrinologists are specialists in the field of internal medicine who diagnose and treat hormonal imbalances and associated disorders.","endocrine organs, hormone"
45,blood circulation system,Water pipe system,['Water pipe system'],Skin System,3,1,['Water pipe system'],[3],"['Skin System', 'the skeletal system', 'Water pipe system', 'lubrication system', 'air circulation ducts', 'Transportation Systems', 'Human Body', 'The Nervous System', 'Air handling system', 'respiration', 'Heart', 'heat transfer', 'British Government System', 'sound system', 'The Writing System', 'ecosystem', 'life', 'day and night cycle', 'engine', 'Circuits']","[0.4670013624730887, 0.4170293621628703, 0.41083906768148376, 0.4053497392199349, 0.4034729385449777, 0.38418332880384165, 0.36364699413413126, 0.35338111695152974, 0.3486699432112957, 0.3213574415070598, 0.3178653938033539, 0.3168476228828954, 0.3149220054306152, 0.3024736547800859, 0.29326958900262634, 0.2871732358188885, 0.28184357773903, 0.2799238328616329, 0.27657279935509815, 0.2750003651034028]",name_only,blood circulation system,"The blood circulation system is a complex network of organs and vessels essential to maintaining the overall health and proper functioning of the human body. Comprised of the heart, blood vessels, and blood, it serves to transport oxygen, nutrients, hormones and waste materials throughout the body. The circulatory system is closed in vertebrates, such as humans, and carries blood through two circuits: systemic circulation and pulmonary circulation. Blood is a fluid consisting of plasma, red blood cells, white blood cells and platelets, which provide nourishment, help in the immune system to fight diseases, and in maintaining homeostasis by stabilizing temperature and natural pH. In vertebrates, the complementary lymphatic system helps to filter excess plasma from the capillaries and is responsible for returning the excess fluid back to the blood circulation as lymph. The circulatory system can be affected by many cardiovascular diseases, and medical professionals such as cardiologists, cardiothoracic surgeons, and vascular surgeons specialize in disorders of the blood vessels and heart.","platelets, Vascular wall, blood, thrombus, heart"
46,cell,house,"['house', 'program', 'factory']",life,-1,0,[],[],"['life', 'company', 'car', 'atom', 'Car', 'line', 'code', 'family', 'city', 'clock', 'mind', 'signal', 'camera', 'business', 'cocoon', 'Computer', 'CPU', 'memory', 'competition', 'planet']","[0.4968046042637426, 0.4947029581729058, 0.488277059303388, 0.4628693952836365, 0.4548523167404628, 0.4519747977612674, 0.44834839303042984, 0.44518677360868525, 0.44110952560430633, 0.4374758340505596, 0.4374432488029616, 0.43700841350823316, 0.42478901228536703, 0.42436319834713054, 0.4189470741865394, 0.41275979625691356, 0.4099231815129566, 0.4083471534255605, 0.3926761686734338, 0.3919300116044869]",name_only,cell,"Cells are the basic unit of life, supporting every organism's physiological functions by regulating their internal environment. In biology, a cell is defined as the smallest structural and functional unit of an organism. They vary in shape, size, and function depending on the type of organism they belong to. 

Among the various types of cells, a crucial one that plays a crucial role in our body is the insulin-producing cell. Discovered by Frederick Banting and Charles Best in the early 1920s, insulin-producing cells are responsible for regulating glucose levels in our body. Insulin is a hormone that is produced and secreted by these cells located in the pancreas. Insulin production is triggered by the presence of glucose in the bloodstream. 

To understand the process of insulin production, we need to understand the role of the cell membrane and glucose transporter in the cell. The cell membrane is a thin, semi-permeable membrane protecting the cell from its environment. It is the cell membrane through which glucose enters the insulin-producing cell via glucose transporters. Once the glucose enters the cell, it goes through various chemical reactions to produce energy.

However, if there is an excess amount of glucose in the bloodstream, it can damage the cell. In such cases, the insulin is not produced in adequate amounts, leading to high blood sugar levels. This condition can cause several health issues such as diabetes, nerve damage, and kidney failure.

In summary, the insulin-producing cell is a fundamental component of our body's functioning, contributing towards maintaining glucose levels in our bloodstream. The glucose transporter and cell membrane play an essential role in the proper functioning of these cells. Understanding how these processes work is crucial in the management of diabetes and other disorders associated with glucose regulation.","insulin, glucose, cell membrane, glucose transporter"
47,cell,program,"['house', 'program', 'factory']",life,-1,0,[],[],"['life', 'company', 'car', 'atom', 'Car', 'line', 'code', 'family', 'city', 'clock', 'mind', 'signal', 'camera', 'business', 'cocoon', 'Computer', 'CPU', 'memory', 'competition', 'planet']","[0.49689065395784016, 0.4946657496180141, 0.48833209415838913, 0.46280535403468, 0.4549139986027184, 0.45206342118845544, 0.4483228128872202, 0.44515261031380016, 0.44114004386391203, 0.43749156891464913, 0.43744504839757337, 0.4370549986534398, 0.4247682131023589, 0.4242329344745728, 0.4189563474542531, 0.4126177023039578, 0.4097868932447565, 0.40825135749832997, 0.3926566326414846, 0.39185606931668193]",name_only,cell,"A cell is the smallest unit of life that carries out all the necessary functions required for an organism's survival. It is a biological entity that forms the building block of living systems. The life cycle of a cell is marked by various events like apoptosis, cell division, and cell differentiation. Apoptosis refers to the programmed cell death, which is a crucial process for removing damaged or unwanted cells, thus preventing the spread of infections or cancer. Cell division is the process by which a single cell divides into two or more daughter cells, which can grow into new tissues, organs, or whole organisms. Cell differentiation is the process of transforming unspecialized cells into specialized cells with specific functions, which are crucial for the proper functioning of tissues and organs. Despite their small size, cells play a vital role in maintaining the complex structure and function of organisms, making them a fundamental unit of life.","apoptosis, Cell division, Cell Differentiation"
48,Human body,car,['car'],Human Body,-1,0,[],[],"['Human Body', 'Human Hands', 'human', 'Skin System', 'The Brain', 'Human Relationships', 'the skeletal system', 'How the Human Brain Works', 'Heart', 'The Nervous System', 'Human Emotions', 'atom', 'life', 'mind', 'CPU', 'Computer', 'Building Structure', 'Robotic arm', 'Machines', 'Architecture']","[0.9212703398988391, 0.5499057760324058, 0.54788509490871, 0.45662671978491937, 0.43230233618021335, 0.41855304468051746, 0.40892451055168433, 0.4006329770221832, 0.38524530443615607, 0.38014486782400203, 0.37520083599443566, 0.3617996625340832, 0.3589536442288905, 0.3489902011030875, 0.32732171613453787, 0.3220559044331549, 0.30716412081969424, 0.3035249624104621, 0.3007181982857475, 0.29995129987738095]",name_only,Human body,"The human body is a complex and remarkable structure that encompasses various cells, tissues, and organ systems. From the head to the feet, every part of the body plays a crucial role in maintaining homeostasis and keeping the body functional. The body is made up of different organs such as the heart, lungs, liver, brain, and kidneys, each with its unique function to ensure the body's overall well-being. The heart, for instance, plays a vital role in maintaining cardiorespiratory function by pumping oxygenated blood to various parts of the body. Studying the body involves a combination of scientific fields such as anatomy, physiology, histology, and embryology. Professionals from different fields, including health practitioners, physiologists, anatomists, and artists, use their expertise to explore and understand the human body's intricacies. Whether it's for medical purposes or artistic expression, the human body remains an intriguing subject that continues to fascinate us through every stage of life events.","oxygen, Life Events, heart"
49,Brain system,electromagnetic emission system,['electromagnetic emission system'],The Brain,-1,0,[],[],"['The Brain', 'The Nervous System', 'How the Human Brain Works', 'Skin System', 'Human Body', 'mind', 'Neural Networks', 'Computer', 'sound system', 'CPU', 'The Neural Network of Computers', 'the skeletal system', 'Operating System', 'Computer Processor', 'Human Emotions', 'British Government System', 'The Writing System', 'memory', 'Ecosystem', 'Chinese Political System']","[0.6928663050781289, 0.6017471902929863, 0.5423233450293794, 0.4706334394686017, 0.4496778539437811, 0.4266930360853729, 0.4112112318480043, 0.3832760415079662, 0.36914129332107465, 0.36023158005125333, 0.3598050363855305, 0.3587520905608176, 0.35133584435991205, 0.3436650499226565, 0.3273048583593958, 0.32497062193991566, 0.3197369950789661, 0.3152866519236394, 0.3087523457008753, 0.30500967949943314]",name_only,Brain system,"The brain is an incredibly complex organ that serves as the center of the nervous system in most animals, including humans. With billions of neurons communicating through long fibers called axons, the brain is able to exert centralized control over the body's organs through both muscle activity and hormone secretion. Despite advancements in neuroscience, the way in which neurons cooperate in ensembles of millions is still a mystery. However, recent models treat the brain as a biological computer, acquiring and processing information from the surrounding world. As a result, researchers have been able to study brain waves and neural activity to gain a better understanding of brain function. This article will compare the properties of brains across different animal species with a focus on vertebrates, including humans. Although brain disease and the effects of brain damage will be covered in a separate article, the fundamental workings of the brain will be explored in this overview.","brain, brain waves, neural activity"
50,Hematopoietic System,Factory,['Factory'],Skin System,12,1,['Factory'],[12],"['Skin System', 'The Nervous System', 'Human Body', 'the skeletal system', 'The Brain', 'The Writing System', 'Transportation Systems', 'Operating System', 'Biological Evolution', 'A Distributed Computing System', 'Immunity', 'Factory System', 'Neural Networks', 'Ecosystem', 'Chinese Political System', 'British Government System', 'Water pipe system', 'Diseases', 'Heart', 'How the Human Brain Works']","[0.508113285340597, 0.47958305358880726, 0.4609031131805512, 0.4555060892979216, 0.3679753424159765, 0.3548749870742674, 0.3354810496386908, 0.3323936982053652, 0.32907788696930407, 0.3102212583357006, 0.29779375439900574, 0.29404249486161715, 0.2920865586727524, 0.2850071744066151, 0.28330020133707445, 0.26974151070665786, 0.26847283381737463, 0.26801857999641343, 0.26390889864023914, 0.26021230875695905]",name_only,Hematopoietic System,"The hematopoietic system is an essential part of the body responsible for the production of the cells of blood. It involves the generation, differentiation, and regulation of blood cells within the body, which is crucial for maintaining a healthy immune system, tissue oxygenation and coagulation. The process occurs primarily within the bone marrow, which is filled with hematopoietic stem cells that can give rise to all the different types of blood cells in the body. These stem cells require a constant supply of nutrients such as iron, Vitamin B12, and folic acid to fuel the production of red blood cells, platelets and white blood cells. Together, these blood cells function to transport oxygen, hormones, and waste products, as well as to defend against infection, injury and blood loss. Effective functioning of the hematopoietic system is necessary to maintain optimal health and prevent various blood-related diseases.","marrow, blood cells, Nutrients"
51,Cellular Structure,City,['City'],Building Structure,-1,0,[],[],"['Building Structure', 'Skin System', 'Human Body', 'The Nervous System', 'The Brain', 'Biological Evolution', 'Molecular Symmetry', 'Plants', 'Neural Networks', 'Circuits', 'How the Human Brain Works', 'the skeletal system', 'Tree', 'Evolution', 'Buildings', 'Foundation Series', 'Chemical Reactions', 'Computer Code', 'Human Relationships', 'Families']","[0.4941830130375932, 0.4117669818577362, 0.38988160481064105, 0.3667744365325489, 0.3580527529808784, 0.3533573085084412, 0.3452218106408053, 0.3386797075215855, 0.31919999514030967, 0.30454456269039243, 0.3031560779919431, 0.3019401403109187, 0.29909632335284, 0.2928176673821423, 0.29021169009989967, 0.2872164327590757, 0.2848765967370961, 0.2834783426005893, 0.2812547804395719, 0.27971036363792756]",name_only,Cellular Structure,"Cellular structure refers to the organization of components that make up living cells. These components include the ribosome, golgi apparatus, mitochondria, nucleus, and cell membrane. The nucleus is the control center of the cell and contains the genetic material, while the mitochondria are responsible for energy production. The golgi apparatus is involved in processing and packaging proteins, and the ribosomes are responsible for protein synthesis. The cell membrane acts as a barrier and regulates the movement of substances in and out of the cell. Understanding the cellular structure is crucial to understanding how cells function and interact with their environment.","Ribosome, golgi apparatus, mitochondria, nucleus, cell membrane"
