example_id,model,target_concept,source_concept,predicted_properties,ground_truth_properties,num_predicted,num_ground_truth,num_matched,precision,recall,f1_score,reasoning,elapsed_time,error
57,gpt-oss-20b,The Evolution of Viruses,The Production Line of a Car Factory,"[""High mutation rate"", ""Rapid replication"", ""Host-dependent evolution"", ""Recombination"", ""Selective pressure""]","[""Virus"", ""Mutations"", ""New varieties""]",5.0,3.0,0.0,0.0,0.0,0.0,"Viruses evolve primarily through their rapid replication cycles, the high error rates of their replication machinery, and their close interactions with host organisms. These factors drive frequent genetic changes, allow recombination and reassortment of genomes, and enable adaptation to new selective pressures such as host immune responses or antiviral drugs.",15.37,
73,gpt-oss-20b,Alveoli,Balloons,"[""Surface area"", ""Thin walls"", ""Surfactant"", ""Gas exchange"", ""Elasticity"", ""Capillaries""]","[""lung"", ""Alveoli"", ""gas""]",6.0,3.0,0.0,0.0,0.0,0.0,"Alveoli are the tiny, balloon‑shaped sacs at the end of the respiratory tree where gas exchange occurs. Their primary function is to maximize the surface area available for oxygen to enter the bloodstream and carbon dioxide to be expelled. They are lined with a single layer of flattened epithelial cells known as type I pneumocytes, and are surrounded by a mesh of capillaries formed by type II pneumocytes that secrete surfactant. The alveolar walls are only one cell thick and are filled with a minimal amount of fluid, allowing diffusion to follow Fick’s law efficiently. The structure is supported by elastic fibers and connective tissue that keep them open during breathing cycles, while surfactant reduces surface tension and prevents collapse (atelectasis). Thus, the key characteristics of alveoli include: extensive surface area, extremely thin walls, presence of surfactant, and continuous movement of air to drive diffusion.",5.93,
133,gpt-oss-20b,hard drive,book,"[""rotational speed"", ""data capacity"", ""data density"", ""access time"", ""interface"", ""form factor"", ""power draw"", ""durability""]","[""Storing data"", ""read/write head"", ""interface""]",8.0,3.0,1.0,0.125,0.333,0.182,"A hard drive is a mechanical data storage device that records and retrieves digital information on magnetized platters. Its key characteristics span physical design, performance metrics, and reliability factors. From a scientific standpoint, the essentials include:

- **Physically**, drives are defined by form factor, platter size, and magnetic medium thickness.  
- **Mechanically**, rotational speed (RPM) determines how quickly data can be served, and the linear data density governs how much information fits on each platter.  
- **Performance**, measured by seek time, access time, and data transfer rates, directly influences usability.  
- **Interface**, such as SATA, SAS, or NVMe, dictates the data path and maximum aggregate throughput.  
- **Reliability**, captured by mean time between failures (MTBF) and endurance rating, reflects wear mechanisms like head–disk collisions and write amplification.  
- **Power**, both instantaneous draw during operation and standby consumption, impacts thermals and energy efficiency.

Thus, any concise enumeration of properties should highlight these core aspects without delving into manufacturing or warranty details.",5.63,
43,gpt-oss-20b,Microbiome,ecosystem,"[""diverse community"", ""gut flora"", ""skin microbiota"", ""soil microbiome"", ""symbiotic"", ""metabolic versatility"", ""gene pool"", ""immune modulation"", ""environmental sensing""]","[""microorganism"", ""Habitats"", ""Synergy""]",9.0,3.0,0.0,0.0,0.0,0.0,"The microbiome refers to the collective populations of microorganisms—bacteria, archaea, viruses, fungi, and protists—alongside their genetic material that inhabit a particular environment (e.g., human body, soil, water).  Key attributes of the microbiome include its vast diversity, the specific body sites where distinct communities reside, the mutualistic relationships it maintains with the host, its extensive metabolic and genetic repertoire, and its central role in regulating host immunity and environmental processes.  These features capture what makes the microbiome a distinct scientific concept and provide a concise basis for describing its properties.",17.1,
279,gpt-oss-20b,slope,career,"[""gradient"", ""rate of change"", ""rise over run""]","[""slope"", ""ascent"", ""descent"", ""climb"", ""climber""]",3.0,5.0,0.0,0.0,0.0,0.0,"The term ""slope"" in science and mathematics refers to the measure of steepness or incline of a line. It quantifies how rapidly the dependent variable changes relative to changes in the independent variable. For a straight line in Cartesian coordinates, it is computed as the ratio of the vertical change (rise) to the horizontal change (run), and is constant across the line. In a broader physical context, slope can also describe the steepness of surfaces, the gradient of potential functions, or rates of processes in differential equations. Key aspects include its numerical value indicating steepness, sign indicating direction, and dimensionality depending on the quantities involved.",11.29,
377,gpt-oss-20b,Tight-Bind Approximation,Taylor Expansion,"[""Localized orbitals"", ""Nearest-neighbor hopping"", ""Band structure""]","[""physics"", ""atomic orbital"", ""linear combination"", ""Behavior""]",3.0,4.0,0.0,0.0,0.0,0.0,"The tight‑binding approximation is a simplified model used in solid‑state physics and quantum chemistry to describe the electronic structure of solids. It assumes that electrons are strongly localized around atomic sites (or molecular orbitals) and that their ability to move to neighboring sites is governed by small overlap integrals. The key points are:

* **Localized atomic-like orbitals** – electrons are mainly confined to a single atom or lattice site.  
* **Small overlap (hopping)** – electron motion between adjacent sites is treated as a perturbative hopping term, often limited to nearest neighbors.  
* **Simplified Hamiltonian** – the Hamiltonian reduces to on‑site energies plus hopping integrals, making analytical or numerical solutions tractable.  
* **Band formation** – the coupling of many localized states through hopping leads to energy bands, capturing the essential physics of conductivity and electronic band structure in crystals.

This approximation is particularly valuable for interpreting band structures, designing tight‑binding models for graphene, topological insulators, and for educational purposes in quantum mechanics.",1.17,
232,gpt-oss-20b,Buddhism,Islam,"[""Four Noble Truths"", ""Eightfold Path"", ""Impermanence"", ""Non-self"", ""Mindfulness""]","[""Gautama Siddhartha"", ""Ancient India"", ""Diamond Sutra""]",5.0,3.0,0.0,0.0,0.0,0.0,"Buddhism is a non-theistic tradition that originated in ancient India around the 5th century BCE with Siddhārtha Gautama, the Buddha. Its core doctrines—captured in the Four Noble Truths and the Eightfold Path—present a systematic approach to the nature of suffering (dukkha), its causal basis (craving, ignorance), its cessation (nirvāṇa), and the means to achieve it. Buddhism’s philosophical emphasis on impermanence (anicca) and non-self (anatta) reframes ontology, ethics, and cognition in ways that intersect with contemporary cognitive science, especially in the study of mindfulness meditation, neuroplasticity, and affect regulation. Though not a scientific field per se, its empirical contributions to psychology and neuroscience give it a unique position at the interface of spirituality and science.",12.12,
386,gpt-oss-20b,Lattice,Rubik's Cube,"[""periodic"", ""symmetry"", ""unit cell""]","[""lattice point"", ""move""]",3.0,2.0,0.0,0.0,0.0,0.0,"A lattice in science (particularly in crystallography and solid state physics) is a discrete, infinite array of points that repeats periodically in three-dimensional space. It defines the spatial arrangement of atoms, ions, or molecules within a crystal and underlies concepts such as Bravais lattices, reciprocal lattices, and unit cells. Key attributes include its periodicity, translational symmetry, and the lattice parameters that describe the dimensions and angles of the primitive cell. Lattices are crucial for determining diffraction patterns, electronic band structures, and mechanical properties of materials.",6.41,
78,gpt-oss-20b,Disability of the plant,cocoon,"[""Genetic mutation"", ""Pathogen infection"", ""Physical injury"", ""Abiotic stress"", ""Symptom manifestation"", ""Reduced growth"", ""Photosynthetic limitation""]","[""Lymphocytes"", ""immunity"", ""antigen"", ""antigen tolerance""]",7.0,4.0,0.0,0.0,0.0,0.0,"The phrase “Disability of the plant” refers to the various ways in which a plant can be impaired or prevented from functioning normally.  Such impairments can arise from genetic mutations, infections by pathogens, injury, or exposure to environmental stresses.  The key properties of this concept therefore address its causes, the observable symptoms, the types of systems affected, and the consequences for plant health and productivity.",2.16,
16,gpt-oss-20b,Platelets,Construction Workers,"[""cell fragments"", ""blood clots"", ""platelet count"", ""megakaryocyte origin"", ""glycoprotein IIb/IIIa"", ""thrombocytopenia"", ""activation signals"", ""platelet aggregation"", ""mean platelet volume"", ""alpha granules""]","[""human body"", ""substances"", ""damaged tissue""]",10.0,3.0,0.0,0.0,0.0,0.0,"Platelets are anucleate cell fragments derived from megakaryocytes that circulate in the blood and are essential for hemostasis. They adhere to damaged endothelium, aggregate, and release granule contents to form a platelet plug. Their morphology, surface glycoproteins, and functional responses to agonists constitute key attributes that determine clot formation, vascular integrity, and pathological conditions such as thrombocytopenia or thrombosis.",3.85,
392,gpt-oss-20b,Turbine Engine,Heart,"[""High pressure ratio"", ""High turbine inlet temperature"", ""Axial flow compressor"", ""Variable geometry"", ""Low specific fuel consumption"", ""Compact size"", ""Fast spool\u2011up""]","[""turbine blade"", ""turbine disk"", ""combustion chamber""]",7.0,3.0,0.0,0.0,0.0,0.0,"A turbine engine, often known as a gas turbine, converts chemical energy in fuel into mechanical work to produce thrust or power. Its core operation involves four basic stages: compression of incoming air, combustion of fuel with that air, expansion of the hot gases through a turbine to extract work, and exhaust for thrust or power delivery. The efficiency and performance of the engine are governed by thermodynamic parameters such as pressure ratio, turbine inlet temperature, and specific fuel consumption. Additional key characteristics arise from its rotating components (compressor and turbine), the design of blades and stators, and the integration of ancillary systems like the fuel system, control electronics, and cooling strategies.",4.08,
272,gpt-oss-20b,seeing,understanding,"[""visual receptors"", ""spectral sensitivity"", ""cortical processing"", ""contrast sensitivity"", ""depth perception"", ""focus""]","[""seeing"", ""light"", ""illuminating"", ""darkness"", ""view"", ""hidden""]",6.0,6.0,0.0,0.0,0.0,0.0,"Seeing is the biological and neurological process by which luminous energy is converted into sensory information. It involves the eye’s photoreceptors detecting specific wavelengths, the transmission of signals via retinal circuits, and complex cortical processing that integrates color, contrast, motion, and depth cues. Key properties therefore include the physical aspects of light capture, the biochemical response of receptors, and the higher‑level neural computations that give rise to perception of shape, motion, and spatial relationships.",21.37,
1,gpt-oss-20b,biological clock,clock,"[""Circadian"", ""Gene-Driven"", ""Entrainment"", ""Suprachiasmatic"", ""Hormonal Output""]","[""changes"", ""state"", ""adjust""]",5.0,3.0,0.0,0.0,0.0,0.0,"The term “biological clock” refers primarily to the endogenous, self‑sustaining system that drives the 24‑hour circadian rhythm observed in most living organisms. At the molecular level, it is based on interlocked transcriptional–translational feedback loops involving core genes such as CLOCK, BMAL1, PER, and CRY. These genes interact to form a negative feedback loop that produces oscillations with a ~23.5–24‑hour period. The master regulator in mammals is located in the suprachiasmatic nucleus (SCN) of the hypothalamus, although peripheral clocks exist in nearly all tissues. Light is the primary zeitgeber (time cue) that entrains the SCN, but temperature, feeding, and hormonal signals can also synchronize peripheral rhythms. The output of the clock controls physiological processes such as sleep–wake cycles, hormone secretion (melatonin, cortisol), metabolism, and cell cycle timing. Disruption of the clock genes or external cues leads to circadian misalignment, contributing to metabolic, cardiovascular, and neuropsychiatric disorders. Key attributes are therefore its 24‑hour periodicity, genetic organization, entrainment mechanisms, hierarchical organization, and physiological outputs.",11.38,
397,gpt-oss-20b,Isotope Dating,Archeology,"[""half\u2011life"", ""radiogenic isotope"", ""decay constant"", ""K\u2011Ar"", ""U\u2011Pb"", ""Ar\u2011Ar"", ""closed system"", ""radiometric"", ""chronometry"", ""isotopic ratio""]","[""isotope"", ""half life"", ""Comparison""]",10.0,3.0,0.0,0.0,0.0,0.0,"Isotope dating, also known as radiometric dating, is the technique of determining the age of geological materials by measuring the quantity of a radioactive parent isotope and its stable daughter products. The fundamental basis is the well‑defined decay constant and resulting half‑life of the parent isotope, which allows conversion of isotope ratios into absolute ages. Different isotopic systems (e.g., K‑Ar, Ar‑Ar, U‑Pb, Rb‑Sr, Sm‑Nd) have been developed to target specific time scales and material types. Key aspects include the assumption that the rock system remained closed to parent and daughter isotopes after formation, the accuracy of measured isotope ratios, and the extraction and cleanup of suitable mineral separates. The method provides some of the oldest direct dates on Earth and has strong implications for the timing of planetary processes, biogenic evolution, and geological events.",5.79,
115,gpt-oss-20b,Chiral Molecules,Human Hands,"[""non-superimposable"", ""optical activity"", ""enantiomers"", ""handedness"", ""R/S configuration"", ""diastereomers""]","[""molecular"", ""mirror symmetry"", ""nature""]",6.0,3.0,0.0,0.0,0.0,0.0,"Chiral molecules possess a spatial arrangement that cannot be superimposed on its mirror image, leading to distinct left‑handed (L) and right‑handed (R) forms called enantiomers. This lack of symmetry results in unique physical behaviors, such as differential interaction with plane‑polarized light (optical activity) and selective binding to chiral environments (e.g., enzymes). Key aspects include the presence of a stereogenic center (often a carbon atom bonded to four different substituents), the assignment of absolute configuration (R/S according to CIP rules), and the existence of related stereoisomers (diastereomers) when multiple chiral centers are present. These properties underpin critical phenomena in chemistry, biology, and materials science, such as enantioselective synthesis, chiral catalysis, and stereospecific drug action.",54.41,
226,gpt-oss-20b,India,Ancient Greece,"[""Geography"", ""Demographics"", ""Culture"", ""Economy"", ""Political Structure""]","[""Indian River"", ""Indus script"", ""Buddhism""]",5.0,3.0,0.0,0.0,0.0,0.0,"India is a sovereign nation located in South Asia. Its importance spans multiple domains: geographical diversity ranging from the Himalayas to tropical coastlines; a vast and heterogeneous population that introduces a complex demographic landscape; cultural heritage that encompasses varied languages, religions, and traditions; an emerging economic profile defined by rapid industrial growth and a sizable service sector; and a political structure characterized by a federal parliamentary republic. These aspects collectively form the key properties that define India's identity and influence its global interactions.",4.62,
263,gpt-oss-20b,war,argument,"[""conflict"", ""military"", ""political"", ""economic cost"", ""humanitarian impact"", ""strategic"", ""technological""]","[""war"", ""soldier"", ""destroy"", ""fighting"", ""defeat"", ""attacks"", ""weapon""]",7.0,7.0,0.0,0.0,0.0,0.0,"War is a complex social and political phenomenon characterized by organized violence between groups. It involves strategic planning, allocation of resources, and interaction between military and civilian sectors. Key aspects include the causes (territorial, ideological, resource-based), the conduct (tactics, technology, logistics), and the outcomes (political, economic, humanitarian). Understanding war requires analysis of its causes, mechanisms, and consequences within a broader societal context.",112.63,
105,gpt-oss-20b,Chemical Reaction,Urban Transportation,"[""Energy change"", ""Stoichiometry"", ""Catalysis"", ""Reaction rate"", ""Equilibrium""]","[""active site"", ""reaction speed"", ""reaction process""]",5.0,3.0,0.0,0.0,0.0,0.0,"A chemical reaction is a transformation process where reactants are converted into products. It involves the breaking and forming of chemical bonds, potential changes in energy, and the possible influence of catalysts, temperature, pressure, and concentration. The reaction can be described by its stoichiometry, direction (equilibrium or irreversibility), kinetics (rate laws), thermodynamics (enthalpy, entropy, Gibbs free energy), and the presence of any catalysts or inhibitors.",49.05,
396,gpt-oss-20b,MRI,Music Performance,"[""non-ionizing"", ""tissue contrast"", ""gradient-encoded"", ""echo time"", ""repetition time"", ""field strength"", ""spin echo"", ""gradient echo"", ""functional imaging"", ""diffusion weighted"", ""spectroscopy"", ""fMRI""]","[""nuclear spin"", ""Applied magnetic field"", ""resonance""]",12.0,3.0,0.0,0.0,0.0,0.0,"Magnetic Resonance Imaging (MRI) is a non‑ionizing imaging modality that exploits the magnetic properties of atomic nuclei (primarily hydrogen) to generate detailed anatomical and functional images. Its key characteristics include the use of strong static magnetic fields to align nuclear spins, the application of gradient fields to encode spatial information, and RF pulses to perturb and then detect the returning magnetization. The resulting contrast can be tuned via pulse sequence parameters such as echo time (TE) and repetition time (TR), enabling differentiation of tissue types, visualization of blood flow, diffusion properties, and metabolic information through specialized techniques like fMRI, DWI, and MR spectroscopy. MRI offers high soft‑tissue resolution without exposing patients to ionizing radiation, making it central to diagnostic, research, and therapeutic imaging.",52.73,
194,gpt-oss-20b,Reign of the Pharaohs,Feudal Dynasties,"[""Ancient Egypt"", ""Hierarchical Governance"", ""Dynastic Succession"", ""Monarchical Authority""]","[""pharaoh"", ""royal palace"", ""sacrificial place"", ""high priest"", ""noble""]",4.0,5.0,0.0,0.0,0.0,0.0,"The concept ""Reign of the Pharaohs"" refers to the period in ancient Egyptian history when rulers, known as pharaohs, governed the civilization. Key attributes emerge from this concept: it is anchored in ancient Egypt; its political structure is hierarchical; it relies on dynastic succession; and it reflects monarchical authority. These aspects are the core properties that define the concept.",4.56,
262,gpt-oss-20b,Matrix Theory,Mirrors,"[""Linear Operations"", ""Determinant"", ""Eigenvalues"", ""Rank"", ""Diagonalization""]","[""matrix"", ""transform"", ""Eigenvalues""]",5.0,3.0,1.0,0.2,0.333,0.25,"Matrix Theory is a branch of linear algebra that focuses on the study of matrices and their properties, operations, and applications. Key aspects include:

1. **Matrix Operations**: Addition, subtraction, multiplication, and scalar multiplication, as well as concepts such as transposition and conjugate transpose.
2. **Determinants and Rank**: Determinants provide scalar values that characterize invertibility, while rank reflects the dimension of the row or column space.
3. **Eigenvalues and Eigenvectors**: Fundamental for understanding linear transformations, diagonalization, and stability analyses in differential equations and dynamical systems.
4. **Canonical Forms**: Jordan, singular value, and spectral decompositions simplify matrix structure and reveal underlying behavior.
5. **Applications**: From solving systems of linear equations to computer graphics, quantum mechanics, and data science (e.g., PCA and machine learning models).

These concepts form the core toolkit for analyzing linear systems, transformations, and more complex mathematical structures.",6.29,
58,gpt-oss-20b,Immune System,Reactor,"[""Innate immunity"", ""Adaptive immunity"", ""Cell\u2011mediated"", ""Humoral"", ""Antibody production"", ""Cytokine signaling"", ""Immunological memory"", ""Barrier defense""]","[""Immune Cells"", ""pathogen"", ""Antibody""]",8.0,3.0,0.0,0.0,0.0,0.0,"The immune system is a complex biological network that protects organisms against pathogens and maintains internal homeostasis. It can be divided into two main branches: innate immunity, which offers rapid but non‑specific defense mechanisms, and adaptive immunity, which provides specific, long‑lasting protection through immune memory. Key components include various cell types (macrophages, dendritic cells, T cells, B cells, natural killer cells), soluble mediators (antibodies, cytokines, complement proteins), and physical barriers (skin, mucosa). Adaptive immunity operates via cell‑mediated responses (T cell activation) and humoral responses (antibody production). Antigen recognition and subsequent clonal expansion enable pathogen‑specific targeting, while immune memory offers faster, stronger responses upon re‑exposure. The interplay of these elements ensures both immediate and long‑term protection, coordination between cells, and dynamic regulation to prevent over‑reaction or autoimmunity.",8.71,
233,gpt-oss-20b,Christianity,Islam,"[""Monotheistic belief"", ""Trinitarian doctrine"", ""Sacramental worship"", ""Scriptural authority"", ""Redemptive atonement"", ""Grace based salvation"", ""Church community"", ""Eschatological hope"", ""Apostolic succession""]","[""Jesus"", ""Palestine"", ""Bible""]",9.0,3.0,0.0,0.0,0.0,0.0,"Christianity is a monotheistic Abrahamic faith centered on the life and teachings of Jesus Christ, who is understood to be the divine Son of God. Its core theological framework includes the Trinity (Father, Son, Holy Spirit), the belief in salvation through grace and faith, and the scriptural authority of the Bible. Worship practices frequently involve sacraments such as baptism and the Eucharist, which convey spiritual significance and communal identity. Christians expect an eschatological fulfillment and maintain a sense of belonging through the church community and apostolic heritage.",10.22,
117,gpt-oss-20b,Enantiomers,Human Hands,"[""chiral"", ""mirror image"", ""optical activity"", ""non-superimposable"", ""handedness""]","[""mirror symmetry"", ""chiral center""]",5.0,2.0,0.0,0.0,0.0,0.0,"Enantiomers are stereoisomers that are non‑superimposable mirror images of each other, typically arising in chiral molecules. They share identical physical properties except for the direction in which they rotate plane‑polarized light (optical rotation) and for their interactions with other chiral substances. Because of these subtle differences, enantiomers are crucial in fields such as pharmaceuticals, where one hand may be therapeutic while the other could be inactive or harmful.",4.27,
114,gpt-oss-20b,Chemistry,A Jigsaw Puzzle,"[""atomic structure"", ""chemical bonds"", ""reaction mechanisms""]","[""Reactant"", ""reaction process"", ""Reaction conditions"", ""product""]",3.0,4.0,0.0,0.0,0.0,0.0,"Chemistry is the science that investigates the composition, structure, properties, and changes of matter. It focuses on the behavior of atoms and molecules, how they interact through chemical bonds, and the mechanisms driving chemical reactions. It encompasses subfields such as organic, inorganic, physical, analytical, and biochemistry, and it relies on quantifiable measures like stoichiometry, thermodynamics, and kinetics.",4.66,
