id,target,gold_source,all_golden_sources,predicted_rank_1,gold_rank,num_golden_found,found_golden_sources,golden_ranks,top_k_sources,top_k_scores,embedding_mode,query_embedding_text,target_background,target_properties,baseline
11,Nervous System,Circuits,['Circuits'],The Nervous System,-1,0,[],[],"['The Nervous System', 'The Brain', 'Neural Networks']","[0.697832503957998, 0.5964687867229128, 0.5912842817332431]",name_properties,"Nervous System. Neurons, nerve fiber, Ganglion, information","The nervous system is a highly complex part of an animal that coordinates its actions and sensory information by transmitting signals to and from different parts of its body. It consists of two main parts, the central nervous system (CNS) and the peripheral nervous system (PNS), which are composed of neurons and other specialized cells called glial cells. Neurons have special structures that allow them to send signals rapidly and precisely to other cells through nerve fibers, while glial cells provide structural and metabolic support. The nervous system also contains ganglia where neuron cell bodies are located. The system functions to receive information, process it, and send appropriate signals to different parts of the body. Malfunction of the nervous system can result in various disorders, many of which are studied by neurology, a medical specialty. Neuroscience is the field of science that focuses on the study of the nervous system, including neurons, nerve fibers, and ganglia to gain insight into how information is processed and transmitted in the nervous system.","Neurons, nerve fiber, Ganglion, information",embedding_top3
12,Immune System,Army,"['Army', 'Reactor']",Immunity,-1,0,[],[],"['Immunity', 'Human Body', 'The Nervous System']","[0.4270433136431805, 0.4161074061838819, 0.3723550450150687]",name_properties,"Immune System. Immune Cells, Antibody, lymphoid tissue, regulatory organs","The immune system is a complex network of biological processes that protect us from a wide range of pathogens, including viruses, bacteria, parasites, and cancer cells. It consists of two major subsystems: innate and adaptive immunity. The innate immune system provides a preconfigured response to broad groups of situations and stimuli, while the adaptive immune system provides a tailored response to each stimulus by learning to recognize molecules it has previously encountered. The adaptive immunity also creates an immunological memory leading to an enhanced response to subsequent encounters with that same pathogen, which is the basis of vaccination. The immune system involves different immune cells and regulatory organs and tissues, such as lymphoid tissue. Dysfunction of the immune system can lead to autoimmune diseases, inflammatory diseases, and cancer, while immunodeficiency can result in recurring and life-threatening infections. Immunology encompasses the study of all aspects of the immune system, including antibodies and their functions.","Immune Cells, Antibody, lymphoid tissue, regulatory organs",embedding_top3
13,Cell Membranes,Walls,['Walls'],Walls,1,1,['Walls'],[1],"['Walls', 'Heart', 'Human Body']","[0.3663998073710736, 0.32941471679938383, 0.3283077222882769]",name_properties,"Cell Membranes. cell, substances, maintain","The cell membrane is a crucial component of any living cell, serving as a protective barrier that separates the interior from the outside environment. Composed of a lipid bilayer interspersed with cholesterols and a variety of proteins and glycolipids, the membrane is selectively permeable, controlling the movement of substances in and out of the cell. In addition, it plays a critical role in several cellular processes including cell adhesion, ion conductivity, and cell signaling. It is also responsible for maintaining appropriate membrane fluidity at various temperatures. Furthermore, in the field of synthetic biology, cell membranes can be artificially reassembled. Overall, the cell membrane is a complex and essential structure that is vital to the survival and function of all living cells.","cell, substances, maintain",embedding_top3
14,Protein folding,a three-dimensional puzzle,['a three-dimensional puzzle'],Origami,2,1,['a three-dimensional puzzle'],[2],"['Origami', 'a three-dimensional puzzle', 'Building Structure']","[0.34060727847883665, 0.32036807042210536, 0.300472232351495]",name_properties,"Protein folding. sequence, structure, fold","Protein folding is the process by which a linear chain of amino acids, generated from mRNA, is transformed into the biologically functional three-dimensional structure of a protein. The folding process is essential to the function of the protein, which can only occur in its stable, native state. The amino acid sequence determines the final folded structure of the protein, although protein dynamics play a role in some functional proteins. Misfolded proteins can lead to diseases like neurodegeneration, and allergies can be caused by proteins that are incorrectly folded. The folding duration is protein-specific, with some smaller proteins folding in a single step while larger proteins may require hours. Understanding the mechanism of protein folding has been a significant challenge for computational biology.","sequence, structure, fold",embedding_top3
15,Photosynthesis,Power Generation,"['Power Generation', 'Solar Panels']",Plants,-1,0,[],[],"['Plants', 'Greenhouse', 'respiration']","[0.5253540389269081, 0.39971356271829056, 0.38563442649780644]",name_properties,"Photosynthesis. light energy, Chlorophyll, oxygen and glucose","Photosynthesis is a crucial process that takes place within plants and various other organisms to convert light energy into chemical energy, which can later be released to fuel the organism's activities. Through the process of photosynthesis, carbon dioxide and water are synthesized into carbohydrate molecules such as sugars and starches, which are essential for the organism's survival. Chlorophyll, a pigment responsible for absorbing light, plays a central role in this process, which takes place in organelles called chloroplasts in plant cells. The process of photosynthesis is essential for maintaining the oxygen content of the Earth's atmosphere and providing the energy necessary for life on Earth. It is an intricate process that involves light-dependent reactions, which generate oxygen and energy carriers such as NADPH and ATP, and light-independent reactions, which use these energy carriers to synthesize sugars such as glucose. The discovery of photosynthesis has played an immense role in scientific advancements and our understanding of the natural world.","light energy, Chlorophyll, oxygen and glucose",embedding_top3
16,Platelets,Construction Workers,['Construction Workers'],Human Body,-1,0,[],[],"['Human Body', 'Healing', 'Human Hands']","[0.42313883968245364, 0.33382211132800593, 0.3245932169627974]",name_properties,"Platelets. human body, substances, damaged tissue","Platelets are a crucial component of the human body's blood system. Their main function, along with coagulation factors, is to react to bleeding caused by damaged tissue or blood vessel injury by clumping and forming a blood clot. Platelets are derived from megakaryocytes found in the bone marrow or lung and circulate in the blood. Unlike other vertebrates, platelets are found only in mammals. When damage to the endothelium occurs, platelets attach to substances outside the injured tissue and aggregate in a process known as primary hemostasis. This leads to the formation of a platelet plug that can activate the coagulation cascade, resulting in fibrin deposition and linking, or secondary hemostasis. Platelets also play a role in the body's immune response to intravascular pathogens.","human body, substances, damaged tissue",embedding_top3
17,Genome,Operating System,['Operating System'],Evolution,-1,0,[],[],"['Evolution', 'bacterial mutation', 'Disease']","[0.5092882641327101, 0.44832286957567324, 0.4403059038123199]",name_properties,"Genome. organism, Gene, control","A genome is a complete set of genetic information of an organism, consisting of DNA or RNA sequences. It includes various regions of the genome, such as regulatory sequences, non-coding DNA, and even junk DNA. Genomics is the study of genomes, and it has allowed scientists to sequence the genomes of many organisms, which has been a significant step forward in the fields of molecular biology and genetics. The genome contains important information for the organism's survival, such as protein-coding genes and control sequences. Despite the initial limitations to fully sequence the human genome, advances in sequencing technologies have made it possible to sequence the entire human genome in recent years, allowing for a better understanding of human genetics and disease.","organism, Gene, control",embedding_top3
18,Brain,Computer Processor,['Computer Processor'],The Brain,-1,0,[],[],"['The Brain', 'The Nervous System', 'How the Human Brain Works']","[0.6116338673171915, 0.5804435706620044, 0.5310782492140866]",name_properties,"Brain. body, Neurons, Stimulate","The brain is one of the most complex organs in the body, serving as the center of the nervous system for all vertebrate and most invertebrate animals. It is made up of billions of neurons connected by synapses, which work together to generate patterns of muscle activity and drive the secretion of hormones. The brain allows for sophisticated purposeful control of behavior based on complex sensory input, which requires the information integrating capabilities of a centralized brain. The operations of individual brain cells are now understood in considerable detail, but the way they cooperate in ensembles of millions is yet to be solved. Despite this, recent models in modern neuroscience treat the brain as a biological computer. Overall, the study of the brain compares the properties of brains across the entire range of animal species, with a focus on vertebrates. This article covers the way the brain stimulates the rest of the body, how neurons work together, and how the brain operates as a complex system.","body, Neurons, Stimulate",embedding_top3
19,Nucleus,CPU,"['CPU', 'Bookshelf']",Reactor,-1,0,[],[],"['Reactor', 'The Brain', 'atom']","[0.4742669113303051, 0.40624533943432195, 0.40328384272055307]",name_properties,"Nucleus. cell, biochemical reaction, genetic information","Nucleus is a term used to describe the central and essential component of both an atom and a eukaryotic cell. In the case of an atom, the nucleus is the small, dense region containing positively charged protons and uncharged neutrons. This is where most of an atom's mass and all of its positive charge can be found. In a eukaryotic cell, the nucleus serves as the central organelle that contains the cell's genetic information in the form of DNA. This is where important biochemical reactions occur within the cell, enabling it to carry out vital functions necessary for an organism's survival. Overall, the nucleus plays a fundamental role in both the atom and the cell, serving as their primary source of structure and function.","cell, biochemical reaction, genetic information",embedding_top3
20,Biological Evolution,Urban Evolution,['Urban Evolution'],Biological Evolution,3,1,['Urban Evolution'],[3],"['Biological Evolution', 'natural selection', 'Evolution']","[0.7136345436622658, 0.6481960299266241, 0.5832493663944898]",name_properties,"Biological Evolution. biological population, Genetic Variation, natural selection, species adaptation","Biological evolution is a process of change that occurs over successive generations in biological populations. This change is driven by genetic variation that exists within the population due to genetic mutation and recombination. The process is governed by evolutionary pressures such as natural selection and genetic drift, resulting in certain characteristics becoming more common or rare within the population. The theory of evolution by natural selection was conceived by Charles Darwin and Alfred Russel Wallace and is established by observable facts about living organisms. All life on Earth—including humanity—shares a last universal common ancestor, which lived approximately 3.5–3.8 billion years ago. Existing patterns of biodiversity have been shaped by repeated formations of new species, changes within species, and loss of species throughout the evolutionary history of life on Earth. Evolutionary biologists continue to study various aspects of evolution by forming and testing hypotheses based on evidence from the field or laboratory. The discoveries made in this field have influenced numerous scientific and industrial areas, including agriculture, medicine, and computer science.","biological population, Genetic Variation, natural selection, species adaptation",embedding_top3
21,DNA Replication,Printers Print Documents,['Printers Print Documents'],bacterial mutation,-1,0,[],[],"['bacterial mutation', 'Deciphering the Code', 'the replicator']","[0.35800526934845656, 0.3158780810415658, 0.2976970909054253]",name_properties,"DNA Replication. dna, enzyme, original DNA strand, new DNA strand","DNA replication is a critical biological process that occurs in all living organisms, ensuring that genetic information is accurately passed on from one generation to the next. The process involves the production of two identical replicas of DNA from one original DNA molecule. This is achieved through semiconservative replication, where each strand of the original DNA molecule serves as a template for the production of its counterpart. As a result, the new DNA helix is composed of an original DNA strand and a newly synthesized strand. DNA replication is initiated at specific locations in the genome called origins of replication, and involves the unwinding of DNA at the origin, synthesis of new strands by enzymes such as helicase and DNA polymerase, and proofreading and error-checking mechanisms to ensure near perfect fidelity. DNA replication is essential for cell division, growth and repair of damaged tissues, and ensuring that each new cell receives its own copy of the DNA. In vitro DNA replication can also be performed artificially using enzymes and primers to start DNA synthesis at known sequences. Recent research suggests that a preliminary form of transfer RNA could have been a replicator molecule itself in the very early development of life. Overall, DNA replication represents a fundamental process in biology, with important implications for inheritance, evolution, and the development of life itself.","dna, enzyme, original DNA strand, new DNA strand",embedding_top3
22,Food Chain,Supply Chain,"['Supply Chain', 'Information Flow']",Ecosystem,3,1,['Supply Chain'],[3],"['Ecosystem', 'ecosystem', 'Supply Chain']","[0.4697427284253907, 0.46100110093426583, 0.4527570287095025]",name_properties,"Food Chain. species, predator, energy","The food chain is a crucial aspect of ecology, referring to the connected chain of trophic relations between species in an ecosystem. It describes how each species serves as both a predator and prey, transferring energy from one level of the chain to another. In addition to its ecological context, ""food chain"" can also refer to other cultural and artistic works such as comics, television episodes, plays, books, and films. Whether referring to ecological or cultural contexts, the concept of the food chain remains rooted in the important relationships between species and the transfer of energy in complex systems.","species, predator, energy",embedding_top3
23,DNA Double Helix Structure,The Helix Bridge,['The Helix Bridge'],The Helix Bridge,1,1,['The Helix Bridge'],[1],"['The Helix Bridge', 'Molecular Symmetry', 'Building Structure']","[0.38439410896819226, 0.28462589267377336, 0.26963952290875604]",name_properties,"DNA Double Helix Structure. dna strand, base pair","The DNA double helix structure is a fundamental component of molecular biology and is formed by double-stranded nucleic acid molecules such as DNA. This biopolymer of nucleic acid is held together by base pairs which are responsible for its unique structure. The DNA double helix contains a major groove and minor groove, with the major groove being wider than the minor groove. This difference in widths makes it easier for proteins to bind to the DNA strand through the major groove. The discovery of the double helix structure of DNA revolutionized the field of genetics and continues to play a significant role in research today.","dna strand, base pair",embedding_top3
24,Food Chain,Information Flow,"['Supply Chain', 'Information Flow']",The Hunt,-1,0,[],[],"['The Hunt', 'Evolution', 'ecosystem']","[0.45064709283100984, 0.4258990702596064, 0.3732104095515133]",name_properties,"Food Chain. Predator, ability, predator","The food chain is a crucial concept in ecology that explains the trophic relations between different organisms in an ecosystem. It refers to the process of the transfer of energy from one organism to another through a series of feeding relationships. The organisms are arranged in a hierarchical manner, where each level is dependent on the lower one. Predators play a significant role in the food chain, as they have the ability to hunt and kill their prey, which forms the basis of their food source. In addition to ecology, the term food chain also finds its use in various other aspects such as in movies, comics, and music albums.","Predator, ability, predator",embedding_top3
25,Cell Signaling,Electronic Signal Transmission,['Electronic Signal Transmission'],Neural Networks,2,1,['Electronic Signal Transmission'],[2],"['Neural Networks', 'Electronic Signal Transmission', 'Transportation Systems']","[0.44622482998660534, 0.4326965494576771, 0.41515879843585834]",name_properties,"Cell Signaling. Signal, receptor, Signal transduction pathway","Cell signaling, also known as cell communication, is a crucial function in all living cells. It involves the ability of a cell to receive, process, and transmit signals with its environment and with itself. Signals can come from physical agents like mechanical pressure, temperature, or chemical signals. There are different types of signaling depending on the distance between the cells. Receptors, which are usually proteins located on the cell surface or inside the cell, play a key role in detecting chemical signals or physical stimuli. Signal transduction pathways start with the transformation of a signal into a chemical one, which can activate an ion channel or initiate a second messenger system cascade that propagates the signal through the cell. Downstream effects of signaling pathways may include various enzymatic activities. Each cell is programmed to respond to specific extracellular signals, and errors in signaling interactions may cause diseases. In summary, understanding the mechanisms of cell signaling and signal transduction pathway is essential for development, tissue repair, immunity, and maintaining homeostasis.","Signal, receptor, Signal transduction pathway",embedding_top3
26,Genetic Mutation,Typo,['Typo'],bacterial mutation,-1,0,[],[],"['bacterial mutation', 'Computer Code', 'Evolution']","[0.5559971126892436, 0.3457908521130064, 0.3442316197303466]",name_properties,"Genetic Mutation. gene sequence, genetic mutation, Gene, repair","Genetic mutation refers to any alteration in the nucleic acid sequence of an organism's genome, like DNA, virus or extrachromosomal DNA. It can arise from errors that occur during replication, mitosis, meiosis or other DNA damages, and may or may not produce detectable changes in the observable characteristics or phenotype of an organism. Mutations play a crucial part in both normal and abnormal biological processes, including evolution, the development of the immune system, and cancer. Mutations in genes can have many effects, whether it alters the product of a gene or prevents the gene from functioning entirely. Due to the damaging effects of mutations, organisms have mechanisms such as DNA repair to prevent or correct mutations by restoring the mutated sequence back to its original state.","gene sequence, genetic mutation, Gene, repair",embedding_top3
27,DNA Sequencing,The Puzzle,['The Puzzle'],bacterial mutation,-1,0,[],[],"['bacterial mutation', 'laboratory', 'Computer Code']","[0.29083484732408516, 0.2899668960638017, 0.2813032443999265]",name_properties,"DNA Sequencing. dna sequence, Sequencing technology","DNA sequencing has revolutionized the field of biology and medicine, allowing researchers to determine the order of nucleotides in DNA, which can provide valuable information for basic biological research and applied fields, such as medical diagnosis, biotechnology, and forensic biology. With the advent of rapid sequencing technology, DNA sequencing has become faster and more accurate, allowing for the sequencing of complete DNA sequences or genomes of numerous types and species of life. The technology has also enabled a quick diagnosis of different diseases, including various cancers, and can guide patient treatment, leading to more individualized medical care. The future is bright for DNA sequencing technology as it continues to accelerate biological and medical research and discovery.","dna sequence, Sequencing technology",embedding_top3
28,Food Chain,Information Flow,"['Supply Chain', 'Information Flow']",Supply Chain,1,2,"['Supply Chain', 'Information Flow']","[1, 2]","['Supply Chain', 'Information Flow', 'Circular Economy']","[0.5532859242325385, 0.4487263699533401, 0.44055411678623047]",name_properties,"Food Chain. food, level, consumer, energy flow","The food chain is a concept in ecology that maps out the interconnected relationships between organisms in an ecosystem. It outlines the transfer of energy and nutrients from one level of the food chain to another, with each level referring to a different group of organisms. At the base of the chain are the primary producers such as plants or algae, who produce energy from sunlight, and then progresses to the primary consumers, secondary consumers, and so on. This transfer of energy flow between levels forms the backbone of the food chain, which ultimately ends with the apex predators. However, food chain can also be used to refer to other aspects such as the food system, the economic and ecological systems that bring food to consumers, or works of art such as a comic, a play, or a film. The Food Chain is also the name of both a Philippine-based charity and a 1984 book by Michael Allaby. Thus, food chain can mean different things depending on the context, but at the core of it, is the concept of energy and resource flow between organisms in nature.","food, level, consumer, energy flow",embedding_top3
29,eye,camera,['camera'],blind,2,1,['camera'],[2],"['blind', 'camera', 'Blindness']","[0.47540459348011943, 0.4751430213587205, 0.43913111403481625]",name_properties,"eye. retina, iris, pupil, lens, choroid","The eye is a remarkable organ that allows us to see and experience the world around us. It consists of various structures that work together to convert light into electrical signals that are sent to the brain to create our visual perception. The retina, iris, pupil, lens, and choroid are all important components of the eye. The retina contains millions of specialized cells called photoreceptors that convert light into electrical signals. The iris and pupil work together to regulate the amount of light that enters the eye, while the lens helps to focus light onto the retina, allowing us to see objects both near and far. The choroid provides nutrients and oxygen to the eye, helping to maintain its health. Understanding the different structures of the eye and how they work together can help us appreciate the wonders of our vision. The eye is an essential tool in our daily lives, allowing us to navigate the world around us and appreciate its beauty.","retina, iris, pupil, lens, choroid",embedding_top3
30,The Process of History,Biological Evolution,['Biological Evolution'],Archeology,2,1,['Biological Evolution'],[2],"['Archeology', 'Biological Evolution', 'life']","[0.42674905338119573, 0.4059072816993977, 0.39215792526526866]",name_properties,"The Process of History. Historical events, historical period, Cultural, Political, Economic Changes","The Haber process, invented by Fritz Haber in 1909, revolutionized the industrial synthesis of explosives and nitrogen fertilizers. The process allowed for the economic fixation of atmospheric dinitrogen in the form of ammonia, which led to the development of intensive agriculture during the interwar period and supported worldwide population growth. The effectiveness of the Haber process has had a significant ecological impact, with half of the nitrogen in synthetic fertilizers not being assimilated by plants and finding its way into the atmosphere and rivers. This technological innovation has had a profound impact on historical events, cultural changes, political and economic changes over the past century.","Historical events, historical period, Cultural, Political, Economic Changes",embedding_top3
31,Gene Mutation,Program Error,['Program Error'],bacterial mutation,3,1,['Program Error'],[3],"['bacterial mutation', 'Evolution', 'Program Error']","[0.5592846594560781, 0.41536192625151336, 0.3825416984341507]",name_properties,"Gene Mutation. Gene, mutation, Express","A gene mutation is a change in the DNA sequence of a specific gene in the genome of an organism, virus, or extrachromosomal DNA. These mutations arise from various factors such as replication errors, damage caused by exposure to UV radiation, or from mobile genetic elements. Mutations can result in a variety of changes, ranging from no effect to altering the gene's product, or preventing it from functioning properly. While some mutations can be neutral or marginally beneficial, others can cause harmful effects. Gene mutations are also the ultimate source of genetic variation, which plays a significant role in evolution, cancer development, and the immune system's development, including junctional diversity. With organisms having mechanisms such as DNA repair to restore mutated sequences, we can understand how genes express themselves in certain conditions, and thus study the effects of gene mutations on these conditions.","Gene, mutation, Express",embedding_top3
