id,target,target_background,gold_source,top_10_sources,top_10_scores,llm_selected_sources,llm_selected_scores,gold_rank,embedding_mode,baseline
11,Nervous System,"The nervous system is a highly complex part of an animal that coordinates its actions and sensory information by transmitting signals to and from different parts of its body. It consists of two main parts, the central nervous system (CNS) and the peripheral nervous system (PNS), which are composed of neurons and other specialized cells called glial cells. Neurons have special structures that allow them to send signals rapidly and precisely to other cells through nerve fibers, while glial cells provide structural and metabolic support. The nervous system also contains ganglia where neuron cell bodies are located. The system functions to receive information, process it, and send appropriate signals to different parts of the body. Malfunction of the nervous system can result in various disorders, many of which are studied by neurology, a medical specialty. Neuroscience is the field of science that focuses on the study of the nervous system, including neurons, nerve fibers, and ganglia to gain insight into how information is processed and transmitted in the nervous system.",Circuits,"['The Nervous System', 'The Brain', 'The Neural Network of Computers', 'Neural Networks', 'How the Human Brain Works', 'Human Body', 'Operating System', 'Computer Processor', 'A Distributed Computing System', 'communication networks']","[0.6394186756480351, 0.4292205986023338, 0.4036182674262383, 0.3863079429526754, 0.3617323241654515, 0.357117301882402, 0.3136151233046649, 0.30356162131771214, 0.2824426978750817, 0.28175547286020675]","['The Neural Network of Computers', 'A Distributed Computing System', 'communication networks']","[0.4036182674262383, 0.2824426978750817, 0.28175547286020675]",-1,name_properties,embedding_llm_top10_to_3
12,Immune System,"The immune system is a complex network of biological processes that protect us from a wide range of pathogens, including viruses, bacteria, parasites, and cancer cells. It consists of two major subsystems: innate and adaptive immunity. The innate immune system provides a preconfigured response to broad groups of situations and stimuli, while the adaptive immune system provides a tailored response to each stimulus by learning to recognize molecules it has previously encountered. The adaptive immunity also creates an immunological memory leading to an enhanced response to subsequent encounters with that same pathogen, which is the basis of vaccination. The immune system involves different immune cells and regulatory organs and tissues, such as lymphoid tissue. Dysfunction of the immune system can lead to autoimmune diseases, inflammatory diseases, and cancer, while immunodeficiency can result in recurring and life-threatening infections. Immunology encompasses the study of all aspects of the immune system, including antibodies and their functions.",Army,"['Immunity', 'Human Body', 'The Nervous System', 'Skin System', 'Disease', 'Firewall', 'illness', 'Healing', 'Human Hands', 'The Brain']","[0.45916873462255037, 0.3867214657342829, 0.3166722948052998, 0.31375689446602567, 0.3088967538594042, 0.277763806967812, 0.27501874769975343, 0.27061596346059297, 0.268608421122423, 0.26403453945521294]","['Human Body', 'Firewall', 'The Brain']","[0.3867214657342829, 0.277763806967812, 0.26403453945521294]",-1,name_properties,embedding_llm_top10_to_3
13,Cell Membranes,"The cell membrane is a crucial component of any living cell, serving as a protective barrier that separates the interior from the outside environment. Composed of a lipid bilayer interspersed with cholesterols and a variety of proteins and glycolipids, the membrane is selectively permeable, controlling the movement of substances in and out of the cell. In addition, it plays a critical role in several cellular processes including cell adhesion, ion conductivity, and cell signaling. It is also responsible for maintaining appropriate membrane fluidity at various temperatures. Furthermore, in the field of synthetic biology, cell membranes can be artificially reassembled. Overall, the cell membrane is a complex and essential structure that is vital to the survival and function of all living cells.",Walls,"['Walls', 'The Brain', 'Mirrors', 'Chemical Reactions', 'Neural Networks', 'Skin System', 'sponge', 'communication networks', 'Heart', 'Camera']","[0.2783277284191853, 0.2711276550236199, 0.2563361744700725, 0.25289822548042806, 0.24521810824631568, 0.23530716661056658, 0.22480394962427583, 0.22117777802373464, 0.21985966490471442, 0.21770800557093362]","['Walls', 'The Brain', 'Mirrors']","[0.2783277284191853, 0.2711276550236199, 0.2563361744700725]",1,name_properties,embedding_llm_top10_to_3
14,Protein folding,"Protein folding is the process by which a linear chain of amino acids, generated from mRNA, is transformed into the biologically functional three-dimensional structure of a protein. The folding process is essential to the function of the protein, which can only occur in its stable, native state. The amino acid sequence determines the final folded structure of the protein, although protein dynamics play a role in some functional proteins. Misfolded proteins can lead to diseases like neurodegeneration, and allergies can be caused by proteins that are incorrectly folded. The folding duration is protein-specific, with some smaller proteins folding in a single step while larger proteins may require hours. Understanding the mechanism of protein folding has been a significant challenge for computational biology.",a three-dimensional puzzle,"['Origami', 'wrinkles', 'a three-dimensional puzzle', 'Molecular Symmetry', 'Evolution', 'A Puzzle', 'The Puzzle', 'Blankets', 'Chemical Reactions', 'Drama']","[0.3167908040672754, 0.26500680287284395, 0.24725338490573004, 0.2378466258431495, 0.23684526600293399, 0.23010073144500004, 0.22873568935309418, 0.2264620218069829, 0.22149688951249052, 0.21898189358147507]","['Origami', 'a three-dimensional puzzle', 'A Puzzle']","[0.3167908040672754, 0.24725338490573004, 0.23010073144500004]",2,name_properties,embedding_llm_top10_to_3
15,Photosynthesis,"Photosynthesis is a crucial process that takes place within plants and various other organisms to convert light energy into chemical energy, which can later be released to fuel the organism's activities. Through the process of photosynthesis, carbon dioxide and water are synthesized into carbohydrate molecules such as sugars and starches, which are essential for the organism's survival. Chlorophyll, a pigment responsible for absorbing light, plays a central role in this process, which takes place in organelles called chloroplasts in plant cells. The process of photosynthesis is essential for maintaining the oxygen content of the Earth's atmosphere and providing the energy necessary for life on Earth. It is an intricate process that involves light-dependent reactions, which generate oxygen and energy carriers such as NADPH and ATP, and light-independent reactions, which use these energy carriers to synthesize sugars such as glucose. The discovery of photosynthesis has played an immense role in scientific advancements and our understanding of the natural world.",Power Generation,"['Greenhouse', 'Plants', 'Burning Energy', 'respiration', 'Sun Protection', 'Greenhouses', 'Solar Panels', 'Evolution', 'Desert', 'Planting']","[0.40179873374832886, 0.38713331957108144, 0.3451569213605799, 0.3287079556923599, 0.32241188327083287, 0.30944914943798135, 0.3039775938055247, 0.2982328283525896, 0.29730511506016233, 0.287411149577382]","['Plants', 'Solar Panels', 'respiration']","[0.38713331957108144, 0.3039775938055247, 0.3287079556923599]",-1,name_properties,embedding_llm_top10_to_3
16,Platelets,"Platelets are a crucial component of the human body's blood system. Their main function, along with coagulation factors, is to react to bleeding caused by damaged tissue or blood vessel injury by clumping and forming a blood clot. Platelets are derived from megakaryocytes found in the bone marrow or lung and circulate in the blood. Unlike other vertebrates, platelets are found only in mammals. When damage to the endothelium occurs, platelets attach to substances outside the injured tissue and aggregate in a process known as primary hemostasis. This leads to the formation of a platelet plug that can activate the coagulation cascade, resulting in fibrin deposition and linking, or secondary hemostasis. Platelets also play a role in the body's immune response to intravascular pathogens.",Construction Workers,"['A Pinball Game', 'sponge', 'air filter', 'the replicator', 'line', 'kirigami', 'Origami', 'Dominoes', 'Printers Print Documents', 'Healing']","[0.26125405382777167, 0.2531960511024323, 0.24980393038213286, 0.2495089068836893, 0.24012359116481036, 0.2342437533443585, 0.20880134544591836, 0.20635319371664923, 0.20367716549400525, 0.20064028680728563]","['sponge', 'Printers Print Documents', 'Healing']","[0.2531960511024323, 0.20367716549400525, 0.20064028680728563]",-1,name_properties,embedding_llm_top10_to_3
17,Genome,"A genome is a complete set of genetic information of an organism, consisting of DNA or RNA sequences. It includes various regions of the genome, such as regulatory sequences, non-coding DNA, and even junk DNA. Genomics is the study of genomes, and it has allowed scientists to sequence the genomes of many organisms, which has been a significant step forward in the fields of molecular biology and genetics. The genome contains important information for the organism's survival, such as protein-coding genes and control sequences. Despite the initial limitations to fully sequence the human genome, advances in sequencing technologies have made it possible to sequence the entire human genome in recent years, allowing for a better understanding of human genetics and disease.",Operating System,"['Evolution', 'Ecosystem', 'Computer Code', 'bacterial mutation', 'Computer Processor', 'Disease', 'Operating System', 'life', 'Machines', 'Pedigree Trees']","[0.38751467957878183, 0.34916924013199757, 0.33120546178370913, 0.329447280884891, 0.3139050725350053, 0.2972947685563571, 0.28373050868137994, 0.2756858313077415, 0.2695008075840307, 0.2681283629652148]","['Computer Code', 'Operating System', 'Machines']","[0.33120546178370913, 0.28373050868137994, 0.2695008075840307]",2,name_properties,embedding_llm_top10_to_3
18,Brain,"The brain is one of the most complex organs in the body, serving as the center of the nervous system for all vertebrate and most invertebrate animals. It is made up of billions of neurons connected by synapses, which work together to generate patterns of muscle activity and drive the secretion of hormones. The brain allows for sophisticated purposeful control of behavior based on complex sensory input, which requires the information integrating capabilities of a centralized brain. The operations of individual brain cells are now understood in considerable detail, but the way they cooperate in ensembles of millions is yet to be solved. Despite this, recent models in modern neuroscience treat the brain as a biological computer. Overall, the study of the brain compares the properties of brains across the entire range of animal species, with a focus on vertebrates. This article covers the way the brain stimulates the rest of the body, how neurons work together, and how the brain operates as a complex system.",Computer Processor,"['The Brain', 'How the Human Brain Works', 'The Nervous System', 'mind', 'Computer Processor', 'Final Exam', 'knowledge', 'The Neural Network of Computers', 'Crime Scene', 'CPU']","[0.4430139731917474, 0.4039650767931513, 0.3697214209053542, 0.3428869981681899, 0.328883167581992, 0.30589806477105286, 0.302658860956185, 0.2929931925418213, 0.29241234354538914, 0.29204878678193213]","['The Brain', 'The Nervous System', 'The Neural Network of Computers']","[0.4430139731917474, 0.3697214209053542, 0.2929931925418213]",-1,name_properties,embedding_llm_top10_to_3
19,Nucleus,"Nucleus is a term used to describe the central and essential component of both an atom and a eukaryotic cell. In the case of an atom, the nucleus is the small, dense region containing positively charged protons and uncharged neutrons. This is where most of an atom's mass and all of its positive charge can be found. In a eukaryotic cell, the nucleus serves as the central organelle that contains the cell's genetic information in the form of DNA. This is where important biochemical reactions occur within the cell, enabling it to carry out vital functions necessary for an organism's survival. Overall, the nucleus plays a fundamental role in both the atom and the cell, serving as their primary source of structure and function.",CPU,"['Reactor', 'atom', 'The Brain', 'The Nervous System', 'The Neural Network of Computers', 'Neural Networks', 'Computer Processor', 'A Distributed Computing System', 'Building Structure', 'Molecular Symmetry']","[0.40252537300517405, 0.4015677610204421, 0.3288172353371063, 0.3194089721719323, 0.3004581299380762, 0.28609510208274724, 0.2787626993703626, 0.26888221245130456, 0.2631490503428632, 0.2607321910774154]","['atom', 'Computer Processor', 'Building Structure']","[0.4015677610204421, 0.2787626993703626, 0.2631490503428632]",-1,name_properties,embedding_llm_top10_to_3
20,Biological Evolution,"Biological evolution is a process of change that occurs over successive generations in biological populations. This change is driven by genetic variation that exists within the population due to genetic mutation and recombination. The process is governed by evolutionary pressures such as natural selection and genetic drift, resulting in certain characteristics becoming more common or rare within the population. The theory of evolution by natural selection was conceived by Charles Darwin and Alfred Russel Wallace and is established by observable facts about living organisms. All life on Earth—including humanity—shares a last universal common ancestor, which lived approximately 3.5–3.8 billion years ago. Existing patterns of biodiversity have been shaped by repeated formations of new species, changes within species, and loss of species throughout the evolutionary history of life on Earth. Evolutionary biologists continue to study various aspects of evolution by forming and testing hypotheses based on evidence from the field or laboratory. The discoveries made in this field have influenced numerous scientific and industrial areas, including agriculture, medicine, and computer science.",Urban Evolution,"['Biological Evolution', 'Evolution', 'Ecosystem', 'natural selection', 'ecosystem', 'bacterial mutation', 'Pedigree Trees', 'Urban Evolution', 'Human Body', 'life']","[0.6932924095048573, 0.597435712137067, 0.44745363337693145, 0.39782877306093833, 0.3714104146571828, 0.34608287629931234, 0.2964553997269404, 0.2779231093875194, 0.26801106825037707, 0.24797982074042796]","['natural selection', 'bacterial mutation', 'Urban Evolution']","[0.39782877306093833, 0.34608287629931234, 0.2779231093875194]",3,name_properties,embedding_llm_top10_to_3
21,DNA Replication,"DNA replication is a critical biological process that occurs in all living organisms, ensuring that genetic information is accurately passed on from one generation to the next. The process involves the production of two identical replicas of DNA from one original DNA molecule. This is achieved through semiconservative replication, where each strand of the original DNA molecule serves as a template for the production of its counterpart. As a result, the new DNA helix is composed of an original DNA strand and a newly synthesized strand. DNA replication is initiated at specific locations in the genome called origins of replication, and involves the unwinding of DNA at the origin, synthesis of new strands by enzymes such as helicase and DNA polymerase, and proofreading and error-checking mechanisms to ensure near perfect fidelity. DNA replication is essential for cell division, growth and repair of damaged tissues, and ensuring that each new cell receives its own copy of the DNA. In vitro DNA replication can also be performed artificially using enzymes and primers to start DNA synthesis at known sequences. Recent research suggests that a preliminary form of transfer RNA could have been a replicator molecule itself in the very early development of life. Overall, DNA replication represents a fundamental process in biology, with important implications for inheritance, evolution, and the development of life itself.",Printers Print Documents,"['bacterial mutation', 'code', 'the replicator', 'program', 'Molecular Symmetry', 'The Helix Bridge', 'Baking', 'laboratory', 'Chemical Reactions', 'Pedigree Trees']","[0.3271486253729502, 0.2740527613694586, 0.2645140451099576, 0.23415237000931394, 0.21645821560169975, 0.2128314022182889, 0.20771540196000307, 0.20092080601058274, 0.20082228423122597, 0.19787740823818867]","['code', 'the replicator', 'Chemical Reactions']","[0.2740527613694586, 0.2645140451099576, 0.20082228423122597]",-1,name_properties,embedding_llm_top10_to_3
22,Food Chain,"The food chain is a crucial aspect of ecology, referring to the connected chain of trophic relations between species in an ecosystem. It describes how each species serves as both a predator and prey, transferring energy from one level of the chain to another. In addition to its ecological context, ""food chain"" can also refer to other cultural and artistic works such as comics, television episodes, plays, books, and films. Whether referring to ecological or cultural contexts, the concept of the food chain remains rooted in the important relationships between species and the transfer of energy in complex systems.",Supply Chain,"['Supply Chain', 'Circular Economy', 'Factory System', 'Factory', 'Recipes', 'Cooking', ""the factory's production line"", 'Planting', 'The Real World', 'Information Flow']","[0.4743470085650634, 0.4272782712828078, 0.3847795132873521, 0.3829893500564924, 0.33697070586254146, 0.3217290817718657, 0.3112307124560316, 0.2986182755003638, 0.29522351301572985, 0.28825453870930706]","['Supply Chain', 'Circular Economy', 'Factory System']","[0.4743470085650634, 0.4272782712828078, 0.3847795132873521]",1,name_properties,embedding_llm_top10_to_3
23,DNA Double Helix Structure,"The DNA double helix structure is a fundamental component of molecular biology and is formed by double-stranded nucleic acid molecules such as DNA. This biopolymer of nucleic acid is held together by base pairs which are responsible for its unique structure. The DNA double helix contains a major groove and minor groove, with the major groove being wider than the minor groove. This difference in widths makes it easier for proteins to bind to the DNA strand through the major groove. The discovery of the double helix structure of DNA revolutionized the field of genetics and continues to play a significant role in research today.",The Helix Bridge,"['The Helix Bridge', 'Molecular Symmetry', 'Blankets', 'Building Structure', 'Human Hands', 'a three-dimensional puzzle', 'The Puzzle', 'bacterial mutation', 'A Puzzle', 'A Jigsaw Puzzle']","[0.3773840574522065, 0.3027153019004364, 0.2522735468160944, 0.24665324890669071, 0.24576298033999874, 0.2381287204636725, 0.22239875110754959, 0.22090512174161536, 0.2155566208781811, 0.2085286979164653]","['The Helix Bridge', 'Building Structure', 'A Jigsaw Puzzle']","[0.3773840574522065, 0.24665324890669071, 0.2085286979164653]",1,name_properties,embedding_llm_top10_to_3
24,Food Chain,"The food chain is a crucial concept in ecology that explains the trophic relations between different organisms in an ecosystem. It refers to the process of the transfer of energy from one organism to another through a series of feeding relationships. The organisms are arranged in a hierarchical manner, where each level is dependent on the lower one. Predators play a significant role in the food chain, as they have the ability to hunt and kill their prey, which forms the basis of their food source. In addition to ecology, the term food chain also finds its use in various other aspects such as in movies, comics, and music albums.",Information Flow,"['Supply Chain', 'Circular Economy', 'Factory System', 'Factory', 'Recipes', 'Cooking', ""the factory's production line"", 'Planting', 'The Real World', 'Information Flow']","[0.4742951410440044, 0.42732905590651693, 0.38472145550186154, 0.3829618823709912, 0.3369131053498246, 0.3216770540966163, 0.31121882962987907, 0.2986107503054395, 0.2952204667392903, 0.28833619958680234]","['Supply Chain', 'Circular Economy', 'Factory System']","[0.4742951410440044, 0.42732905590651693, 0.38472145550186154]",-1,name_properties,embedding_llm_top10_to_3
