target,target_domain,chosen_analogy,model,original_mode,analogy_type,source_dataset,agree_overall,agree_coh,agree_map,agree_exp,gpt_coh,gpt_map,gpt_exp,gpt_avg,gemini_coh,gemini_map,gemini_exp,gemini_avg,deepseek_coh,deepseek_map,deepseek_exp,deepseek_avg,consensus_avg
Capacitor,,Water Tank,qwen3-32b,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Functional Group,,Lego piece,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Creative Design,,Painting Artwork,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Energy Loss,,Friction,qwen3-32b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Skeletal System,,Framework,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Emotion,,Facial Expressions,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Hydropower,,Water wheel,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Volcano,,Pressure cooker,grok-4-fast,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Spectral Lines,,Barcode,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Gene editing,,Molecular scissors,qwen3-14b,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Chemical reaction,,Baking,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Body of Knowledge,,Knowledge Web,llama-3.1-405b-instruct,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Deposit Formation,,Crystal growth,gemini-2.5-flash-lite,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
forest,,ecosystem,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,all_agree,none_agree,3,3,3,3.0,3,3,1,2.3333,3.0,3.0,2.0,2.6667,2.6666666666666665
commerce,,farmers' market,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Hydropower,,Water wheel,qwen3-32b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
1984,,Fake news,grok-4-fast,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Network,,Road,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
programming,,Instruction,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3,3,3,3.0,3,2,2,2.3333,3.0,2.0,3.0,2.6667,2.6666666666666665
Database,,Library,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Database,,Library,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Encryption,,Lock,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Industrial Revolution,,Handmade to machine,gpt-4.1-mini,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
boat,,sailboat,qwen3-32b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_gemini,gemini_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,2.0,2.3333,2.6666666666666665
Volcano,,Erupting Cauldron,llama-3.1-405b-instruct,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Blood sugar regulation,,Thermostat,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Sherlock Holmes,,Victorian sleuth,grok-4-fast,withsub,embedding,stage2_withsub,none_agree,all_agree,all_agree,none_agree,3,3,3,3.0,3,3,2,2.6667,3.0,3.0,1.0,2.3333,2.6666666666666665
immune desert,,desert,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Rock Metamorphosis,,Transforming Carbon to Diamond,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3,3,3,3.0,3,2,2,2.3333,3.0,2.0,3.0,2.6667,2.6666666666666665
eyes,,camera lens,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Gene Mutation,,Typo in a book,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Pyramids,,Monument,gpt-4.1-mini,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_gemini,gpt_deepseek,3,3,2,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Drama,,Act,gpt-4.1-mini,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_gemini,gpt_deepseek,3,3,2,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Activated carbon,,Charcoal,gpt-4.1-mini,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_gemini,gemini_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,2.0,2.3333,2.6666666666666665
Body of Knowledge,,Knowledge Base,meta-llama-3-1-8b-instruct,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_gemini,gemini_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,2.0,2.3333,2.6666666666666665
war,,Chess match,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Human Society,,City,meta-llama-3-1-8b-instruct,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
grounds for a building,,Foundation of a house,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Lattice,,Grid,gpt-4.1-mini,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Lattice,,Grid,gpt-4.1-mini,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
sound,,Water Waves,llama-3.1-405b-instruct,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
KNN Algorithm,,Closest friends,grok-4-fast,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Gene editing,,text editor,qwen3-32b,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
The First Law of Thermodynamics,,Bank account,gpt-4.1-mini,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Lattice,,City grid,gpt-oss-20b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Sound Wave Propagation,,Water ripples,gpt-4.1-mini,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Sound Wave Propagation,,Water ripples,gpt-4.1-mini,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Self Development,,Gardening,meta-llama-3-1-8b-instruct,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Poetry,,Song,gpt-4.1-mini,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Poetry,,Song,gpt-4.1-mini,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Lattice,,Grid,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
eyes,,camera lens,qwen3-32b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
The First Law of Thermodynamics,,Bank account,qwen3-32b,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Ancient Greece,,Ancient Rome,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,3.0,2.0,2.6667,2.6666666666666665
Internet,,Highway network,grok-4-fast,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
mountain,,hill,gpt-4.1-mini,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_gemini,gemini_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,2.0,2.3333,2.6666666666666665
Gene Mutation,,Typo,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
DNA Sequencing,,Blueprint,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Self Development,,Developing a New Skill,meta-llama-3-1-8b-instruct,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Lattice,,Grid,qwen3-32b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Hierarchical Clustering Algorithms,,Family tree,grok-4-fast,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
building,,lego,gpt-4.1-mini,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
One Hundred Years of Solitude,,Genealogical Labyrinth,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
biological clock,,Clock,gpt-4.1-nano,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3,3,3,3.0,3,2,2,2.3333,3.0,2.0,3.0,2.6667,2.6666666666666665
biological clock,,Clock,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3,3,3,3.0,3,2,2,2.3333,3.0,2.0,3.0,2.6667,2.6666666666666665
Atmosphere,,Blanket,llama-3.1-405b-instruct,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
immune desert,,desert,qwen3-32b,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Black Hole,,Black hole (in a fabric),gpt-4.1-mini,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Chemical reaction,,Baking a cake,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Polymer Structure,,Chain,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
chemical element,,Building Block,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Internet,,Highway system,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
building,,Lego,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Sperm Motility,,Swimmer,qwen3-14b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Database,,Library,gpt-4.1-mini,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Database,,Library,gpt-4.1-mini,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
theatre,,Performance,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_gemini,3,2,2,2.3333,3,3,2,2.6667,3.0,3.0,3.0,3.0,2.6666666666666665
impediments to travel,,Roadblocks,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Earth's Atmosphere,,blanket,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
High Molecular Polymers,,Long Chains,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3,3,3,3.0,3,2,2,2.3333,3.0,2.0,3.0,2.6667,2.6666666666666665
computer,,brain,gpt-4.1-mini,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
hard drive,,File cabinet,llama-3.1-405b-instruct,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
computer,,brain,gpt-4.1-mini,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Volcano,,Pressure cooker,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
boat,,Ship,gpt-4.1-nano,targetonly,embedding,stage2_targetonly,none_agree,all_agree,all_agree,none_agree,3,3,3,3.0,3,3,1,2.3333,3.0,3.0,2.0,2.6667,2.6666666666666665
Computer Networks,,Roads,gpt-4.1-mini,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Crystals,,Snowflakes,llama-3.1-405b-instruct,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
random forest,,Forest,qwen3-32b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Chemistry,,Cooking,qwen3-14b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Cloud Computing,,Utility service,qwen3-32b,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Bias-Variance Equilibrium,,Goldilocks principle,qwen3-32b,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
computer,,Brain,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Energy Loss,,Leakage,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
random forest,,Forest,qwen3-32b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
waves,,Slinky,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Cytokine Storm,,Wildfire,qwen3-14b,withsub,baseline,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Electrochemical Reaction,,Circuit,gpt-4.1-mini,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Macrophages,,Scavenger,qwen3-14b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Computer,,Brain,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Poetry,,Song,gpt-4.1-nano,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
farm,,Orchard,gpt-4.1-nano,targetonly,rerank,stage2_targetonly,none_agree,all_agree,gemini_deepseek,gpt_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,3.0,2.0,2.6667,2.6666666666666665
Chemical Separation,,Oil and Water Separation,llama-3.1-405b-instruct,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Metaverse,,Video game,gpt-4.1-mini,withsub,rerank,stage2_withsub,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Database,,Library,llama-3.1-405b-instruct,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Volcanic Eruption,,Pressure Cooker,llama-3.1-405b-instruct,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
Database,,Catalog,llama-3.1-405b-instruct,targetonly,embedding,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gpt_gemini,3,2,3,2.6667,3,3,3,3.0,3.0,2.0,2.0,2.3333,2.6666666666666665
Ensemble Learning Algorithms,,Orchestra,llama-3.1-405b-instruct,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
machine,,Machine tool,qwen3-32b,withsub,embedding,stage2_withsub,none_agree,all_agree,gpt_gemini,gemini_deepseek,3,3,3,3.0,3,3,2,2.6667,3.0,2.0,2.0,2.3333,2.6666666666666665
Immune Tolerance,,Security system,qwen3-32b,targetonly,baseline,stage2_targetonly,none_agree,all_agree,gpt_deepseek,gemini_deepseek,3,2,2,2.3333,3,3,3,3.0,3.0,2.0,3.0,2.6667,2.6666666666666665
