record_id,original_index,system_a,system_b,system_a_domain,system_b_domain,ground_truth,record_formatted,prediction_gpt_5_1,prediction_gpt_5_1_reasoning,prediction_gpt_4_1_mini,prediction_gpt_4_1_mini_reasoning,prediction_llama_3_1_405b_instruct,prediction_llama_3_1_405b_instruct_reasoning
259,258,Group Theory,Molecular Symmetry,Mathematics,Chemical,DUMMY_LABEL,"System A: Group Theory
    System B: Molecular Symmetry
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,CLASS-INCLUSION (TYPE-OF),"The analogy between Group Theory and Molecular Symmetry primarily highlights how the abstract mathematical framework of group theory is used to describe the symmetry properties of molecules. Group theory provides a set of elements and operations that satisfy certain axioms, and molecular symmetry groups are specific instances of these abstract groups applied to the spatial arrangement of atoms in molecules. This relationship is best characterized as a CLASS-INCLUSION (TYPE-OF) relation, where molecular symmetry groups are a type or application of the broader concept of group theory.",CLASS-INCLUSION (TYPE-OF),"The analogy between Group Theory and Molecular Symmetry highlights the shared mathematical structure and patterns that describe the symmetries of molecules. Group Theory provides a framework for understanding the abstract symmetries of objects, while Molecular Symmetry applies these concepts to the specific arrangement of atoms in molecules. The analogy maps the abstract concepts of Group Theory to the physical properties of molecules, demonstrating how the same mathematical principles can be used to describe different systems."
303,302,battle,illness,Philosophy,Biology,DUMMY_LABEL,"System A: battle
    System B: illness
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SIMILARITY,"The analogy between battle and illness primarily highlights the shared conceptual framework where both are seen as adversarial struggles involving opposing forces. In a battle, there are combatants, strategies, attacks, and defenses, while in illness, the body fights against pathogens or disease processes. The analogy draws on the similarity in the dynamic of conflict and resistance, emphasizing the resemblance in the pattern of opposition and struggle rather than structural components, causal mechanisms, or temporal sequences. Therefore, the dominant relational pattern is the general resemblance or shared conceptual pattern of conflict.",SIMILARITY,"The analogy between a battle and an illness highlights the shared behaviors, patterns, and general resemblance between the two systems. Both battles and illnesses involve a struggle or fight against an opposing force, whether it be an enemy or a disease. The analogy emphasizes the idea that just as a battle requires strategy, tactics, and resources to overcome the enemy, an illness requires medical treatment, care, and support to overcome the disease."
310,309,commerce,love,Economy,Philosophy,DUMMY_LABEL,"System A: commerce
    System B: love
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SIMILARITY,"The analogy compares commerce and love, two fundamentally different domains, by highlighting their shared patterns or behaviors, such as exchange, value, or interaction dynamics. The focus is on the resemblance in how these systems operate or relate rather than on their structural components, causal mechanisms, or specific functions. Therefore, the dominant relational pattern is the general resemblance or shared characteristics between the two systems.",FUNCTION (ROLE / PURPOSE),"The analogy between commerce and love may not be immediately apparent, as one is typically viewed as a financial or economic activity, while the other is an emotional or personal connection. However, both can involve transactions, exchanges, or investments, albeit of different kinds. In commerce, goods, services, or money are exchanged, often with the goal of profit or material gain. In the context of love, individuals invest emotional energy, time, and care, with the hope of receiving affection, companionship, or fulfillment in return. This analogy might highlight the idea that just as successful commerce requires mutual benefit and satisfaction among parties involved, love also thrives on mutual care, respect, and fulfillment."
316,315,machine,politics,Engineering,History,DUMMY_LABEL,"System A: machine
    System B: politics
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy between a machine and politics primarily highlights how different components or parts within each system function to maintain order, control, or operation. The machine's parts have specific roles that contribute to the overall operation of the machine, just as various political actors or institutions have roles that contribute to the functioning of a political system. The focus is on the roles and purposes of components within each system rather than on their structure, causality, or temporal development.",FUNCTION (ROLE / PURPOSE),"The analogy between a machine and politics is based on the idea that both systems have components that work together to achieve a common goal. In a machine, gears and cogs work together to produce motion or perform a task. Similarly, in politics, different individuals and groups work together to achieve a common goal, such as passing legislation or governing a country. This analogy highlights the functional relationships between components in both systems."
317,316,game,marriage,Sport,Philosophy,DUMMY_LABEL,"System A: game
    System B: marriage
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SIMILARITY,"The analogy between a game and marriage primarily highlights the shared characteristics and patterns between the two concepts. Both involve rules, strategies, challenges, and interactions that require cooperation and negotiation. The analogy emphasizes how marriage can be viewed as a complex social ""game"" with its own dynamics and behaviors, rather than focusing on structural components, causal mechanisms, or temporal sequences. Therefore, the dominant relational pattern is the general resemblance and shared behavioral patterns between the two systems.",SIMILARITY,"The analogy between a game and a marriage highlights the shared behaviors, patterns, and general resemblance between the two systems. Both involve interaction, strategy, and emotional investment. The comparison is not about the differences or specific roles within the systems but rather about the overall similarity in the way they function and the experiences they provide."
321,320,stationery,mind,Art,Biology,DUMMY_LABEL,"System A: stationery
    System B: mind
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy compares stationery items to components or functions of the mind. The focus is on how each stationery item corresponds to a mental function or role, such as a pen representing the act of writing thoughts or a notebook representing memory or organization. This mapping highlights the roles or purposes that these components serve within their respective systems rather than their structural or causal relationships. Therefore, the dominant relational pattern is about the roles or purposes of components in their systems.",FUNCTION (ROLE / PURPOSE),"The analogy between ""stationery"" and ""mind"" suggests a relationship where the mind is compared to a physical space or container (stationery) where ideas, thoughts, and information are stored, organized, and managed. This comparison highlights the idea that just as stationery helps in organizing and structuring physical documents, the mind organizes and structures thoughts and ideas. The primary focus here is on the function or role that both the mind and stationery play in their respective domains."
328,327,Fiction,Architecture,Literature,Engineering,DUMMY_LABEL,"System A: Fiction
    System B: Architecture
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy between fiction and architecture primarily revolves around the roles and purposes of their components. Fiction constructs narratives and worlds through elements like plot, characters, and setting, while architecture constructs physical spaces through elements like walls, rooms, and design. The analogy highlights how each component functions within its system to create a coherent whole, emphasizing the roles and purposes of these components rather than their structural arrangement or causal mechanisms.",FUNCTION (ROLE / PURPOSE),"The analogy between fiction and architecture can be understood through the lens of creation and design. Both involve the process of conceptualizing and building something from the ground up—whether it's a narrative or a physical structure. This process includes planning, designing, and eventually constructing or writing the final product. The analogy highlights the creative and structural aspects of both fields, suggesting a deep connection in the way creators in both domains approach their work."
341,340,Self Development,Plants,Philosophy,Biology,DUMMY_LABEL,"System A: Self Development
    System B: Plants
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,TEMPORAL (SEQUENCE / DEVELOPMENT),"The analogy compares self development to plants, focusing on the process of growth and progression over time. Both systems undergo stages of development, starting from a basic form and evolving into a more mature state. This highlights a temporal sequence or developmental progression common to both systems.",TEMPORAL (SEQUENCE / DEVELOPMENT),"The analogy between self-development and plants suggests a process of growth and improvement over time. Just as plants require nourishment, care, and time to grow, self-development involves cultivating one's skills, knowledge, and character through effort and dedication. This analogy highlights the idea that personal growth is a gradual and ongoing process, much like the growth of a plant."
363,362,Black Hole,Vortex,Physics,Geography,DUMMY_LABEL,"System A: Black Hole
    System B: Vortex
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,SIMILARITY,"The analogy between a black hole and a vortex primarily highlights their shared characteristic of drawing in surrounding matter or energy through a central point, creating a spiraling or funnel-like effect. Both systems exhibit similar dynamic behaviors in terms of how they influence their environments by pulling in material, despite differences in scale and physical nature. This analogy emphasizes the resemblance in their patterns of interaction rather than focusing on structural components, causal mechanisms, or specific functions. Therefore, the dominant relational pattern is the general resemblance or shared behavior between the two systems.",SIMILARITY,"The analogy between a black hole and a vortex is based on their shared characteristic of having a strong pull towards their centers. Both phenomena exhibit a powerful force that draws matter or objects towards them, with the black hole's gravity being an intense gravitational pull and the vortex being a rotating mass of fluid that pulls objects towards its center. This similarity in their behavior and structure makes them analogous."
396,395,MRI,Music Performance,Physics,Art,DUMMY_LABEL,"System A: MRI
    System B: Music Performance
    ","ERROR: Model 'gpt-5.1' not found. Available models: ['gpt-oss-20b', 'gpt-oss-120b', 'gpt-4.1-mini', 'gpt-4.",,FUNCTION (ROLE / PURPOSE),"The analogy between MRI and Music Performance primarily focuses on the roles and purposes of their components and processes. MRI uses magnetic fields and radio waves to create detailed images of the inside of the body, serving the function of medical diagnosis and visualization. Music performance involves musicians using instruments and their skills to produce sound for artistic expression and entertainment. The analogy likely maps the functional roles of components in MRI (such as the magnet, radio waves, and imaging process) to the roles of musicians, instruments, and the act of performing music. This highlights the roles and purposes of each element within their respective systems rather than their structure, causality, or temporal sequence.",CONTRAST,"To determine the analogy relation type between System A (MRI) and System B (Music Performance), we need to consider the potential mappings and relationships between the two systems. 

An MRI (Magnetic Resonance Imaging) is a medical imaging technique used to produce detailed images of the internal structures of the body. A Music Performance, on the other hand, is an event where musicians play musical instruments to create music for an audience.

At first glance, the two systems may seem unrelated. However, considering the component mappings and explanations, we can identify some relationships. For example, both systems involve a kind of ""imaging"" or ""representation"" - the MRI produces images of the body, while music performance can be seen as a representation of emotions, ideas, or stories through sound.

However, the primary purpose of an MRI is to diagnose medical conditions, whereas the primary purpose of a music performance is to entertain, educate, or evoke emotions. Therefore, the dominant relational pattern between the two systems is not one of similarity, but rather one of contrast."
